Title,Authors,Platform,Cited_url,Cited_count,Year
Dopamine as a robust anchor to immobilize functional molecules on the iron oxide shell of magnetic nanoparticles,"C Xu, K Xu, H Gu, R Zheng, H Liu, X Zhang, Z Guo, B Xu","Journal of the American Chemical Society 126 (32), 9938-9939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7615663238930134108,917,2004
Self-illuminating quantum dot conjugates for ,"MK So, C Xu, AM Loening, SS Gambhir, J Rao","Nature biotechnology 24 (3), 339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4908188424014851730,819,2006
Controlled PEGylation of monodisperse Fe3O4 nanoparticles for reduced non‐specific uptake by macrophage cells,"J Xie, C Xu, N Kohler, Y Hou, S Sun","Advanced Materials 19 (20), 3163-3166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3592165877657277339,658,2007
Biofunctional magnetic nanoparticles for protein separation and pathogen detection,"H Gu, K Xu, C Xu, B Xu","Chemical Communications, 941-949",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=968796253942232484,613,2006
Au–Fe,"C Xu, J Xie, D Ho, C Wang, N Kohler, EG Walsh, JR Morgan, YE Chin, ...","Angewandte Chemie International Edition 47 (1), 173-176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18257025575236345798,523,2008
PET/MRI dual-modality tumor imaging using arginine-glycine-aspartic (RGD)–conjugated radiolabeled iron oxide nanoparticles,"HY Lee, Z Li, K Chen, AR Hsu, C Xu, J Xie, S Sun, X Chen","Journal of Nuclear Medicine 49 (8), 1371-1379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16562239076820787109,519,2008
Nitrilotriacetic acid-modified magnetic nanoparticles as a general agent to bind histidine-tagged proteins,"C Xu, K Xu, H Gu, X Zhong, Z Guo, R Zheng, X Zhang, B Xu","Journal of the American Chemical Society 126 (11), 3392-3393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8053033399268915735,474,2004
Porous Hollow Fe,"K Cheng, S Peng, C Xu, S Sun","Journal of the American Chemical Society 131 (30), 10637-10644",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=553534417860536038,416,2009
Ultrasmall c(RGDyK)-Coated Fe,"J Xie, K Chen, HY Lee, C Xu, AR Hsu, S Peng, X Chen, S Sun","Journal of the American Chemical Society 130 (24), 7542-7543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3397354466481927084,400,2008
Dumbbell-like Au−Fe,"C Xu, B Wang, S Sun","Journal of the American Chemical Society 131 (12), 4216-4217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4477373397065607446,365,2009
New forms of superparamagnetic nanoparticles for biomedical applications,"C Xu, S Sun","Advanced drug delivery reviews 65 (5), 732-743",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15508899227404347906,346,2013
Recent progress in syntheses and applications of dumbbell‐like nanoparticles,"C Wang, C Xu, H Zeng, S Sun","Advanced materials 21 (30), 3045-3052",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13575625761225796614,300,2009
Linking Hydrophilic Macromolecules to Monodisperse Magnetite (Fe,"J Xie, C Xu, Z Xu, Y Hou, KL Young, SX Wang, N Pourmand, S Sun","Chemistry of Materials 18 (23), 5401-5403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12709892605613884778,215,2006
Monodisperse magnetic nanoparticles for biomedical applications,"C Xu, S Sun","Polymer International 56 (7), 821-826",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3363712770923762926,207,2007
Size and concentration effect of gold nanoparticles on X-ray attenuation as measured on computed tomography,"C Xu, GA Tung, S Sun","Chemistry of Materials 20 (13), 4167-4169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13561739813687711494,197,2008
Accelerating the translation of nanomaterials in biomedicine,"S Mitragotri, DG Anderson, X Chen, EK Chow, D Ho, AV Kabanov, ...","ACS nano 9 (7), 6644-6654",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10613919770945744779,171,2015
FePt nanoparticles as an Fe reservoir for controlled Fe release and tumor inhibition,"C Xu, Z Yuan, N Kohler, J Kim, MA Chung, S Sun","Journal of the American Chemical Society 131 (42), 15346-15351",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10169148399691325572,147,2009
pH Controlled Release of Chromone from Chromone-Fe,"B Wang, C Xu, J Xie, Z Yang, S Sun","Journal of the American Chemical Society 130 (44), 14436-14437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14662010661155585847,145,2008
A blood-resistant surgical glue for minimally invasive repair of vessels and heart defects,"N Lang, MJ Pereira, Y Lee, I Friehs, NV Vasilyev, EN Feins, K Ablasser, ...","Science translational medicine 6 (218), 218ra6-218ra6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2970973705781651434,126,2014
Tracking mesenchymal stem cells with iron oxide nanoparticle loaded poly (lactide-co-glycolide) microparticles,"C Xu, D Miranda-Nieves, JA Ankrum, ME Matthiesen, JA Phillips, I Roes, ...","Nano letters 12 (8), 4131-4139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16745460102555690989,115,2012
Synthesis and characterization of PVP-coated large core iron oxide nanoparticles as an MRI contrast agent,"HY Lee, SH Lee, C Xu, J Xie, JH Lee, B Wu, AL Koh, X Wang, R Sinclair, ...","Nanotechnology 19 (16), 165101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7618407097431370435,109,2008
A self-assembled quantum dot probe for detecting β-lactamase activity,"C Xu, B Xing, J Rao","Biochemical and Biophysical Research Communications 344 (3), 931-935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17872283761829373997,101,2006
Superparamagnetic nanoparticles as targeted probes for diagnostic and therapeutic applications,"C Xu, S Sun","Dalton Transactions, 5583-5591",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12290383266462200807,99,2009
Ultralong phosphorescence of water‐soluble organic nanoparticles for in vivo afterglow imaging,"X Zhen, Y Tao, Z An, P Chen, C Xu, R Chen, W Huang, K Pu","Advanced Materials 29 (33), 1606665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11874604229845084768,95,2017
Diffusion weighted magnetic resonance imaging and its recent trend—a survey,"GS Chilla, CH Tan, C Xu, CL Poh","Quantitative imaging in medicine and surgery 5 (3), 407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10736029773020515247,95,2015
"Janus particle synthesis, self-assembly and applications","Z Yang, AHE Muller, C Xu, PS Doyle, JM DeSimone, J Lahann, ...",Royal Society of Chemistry,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17212763467759112734,10620419885874633859",90,2012
Commercial nanoparticles for stem cell labeling and tracking,"Y Wang, C Xu, H Ow","Theranostics 3 (8), 544",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10772253964930603019,82,2013
Ultrasensitive profiling of metabolites using tyramine-functionalized graphene quantum dots,"N Li, A Than, X Wang, S Xu, L Sun, H Duan, C Xu, P Chen","ACS nano 10 (3), 3622-3629",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11857662199242210682,81,2016
Novel molecular and nanosensors for in vivo sensing,"MA Eckert, PQ Vu, K Zhang, D Kang, MM Ali, C Xu, W Zhao","Theranostics 3 (8), 583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3515384066528613428,78,2013
Detection of DNA labeled with magnetic nanoparticles using MgO-based magnetic tunnel junction sensors,"W Shen, BD Schrag, MJ Carter, J Xie, C Xu, S Sun, G Xiao","Journal of Applied Physics 103 (7), 07A306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2850330384324615035,76,2008
Nanoparticle-based monitoring of cell therapy,"C Xu, L Mu, I Roes, D Miranda-Nieves, M Nahrendorf, JA Ankrum, W Zhao, ...","Nanotechnology 22 (49), 494001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3935496407669322436,74,2011
Engineering cells with intracellular agent–loaded microparticles to control cell phenotype,"JA Ankrum, OR Miranda, KS Ng, D Sarkar, C Xu, JM Karp","Nature protocols 9 (2), 233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14195125379975033824,73,2014
"Multilayered semiconducting polymer nanoparticles with enhanced NIR fluorescence for molecular imaging in cells, zebrafish and mice","H Zhu, Y Fang, X Zhen, N Wei, Y Gao, KQ Luo, C Xu, H Duan, D Ding, ...","Chemical science 7 (8), 5118-5125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12848319400329375374,66,2016
