Title,Authors,Platform,Cited_url,Cited_count,Year
Axial anomaly and topological charge in lattice gauge theory with overlap Dirac operator,DH Adams,"Annals of Physics 296 (2), 131-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3232063682156775872,116,2002
Chiral limit of strongly coupled lattice gauge theories,"DH Adams, S Chandrasekharan","Nuclear Physics B 662 (1), 220-246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15996872833482857738,91,2003
Geometric discretization scheme applied to the Abelian Chern-Simons theory,"S Sen, S Sen, JC Sexton, DH Adams","Physical Review E 61 (3), 3174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2276136580173157676,58,2000
R-torsion and linking numbers from simplicial abelian gauge theories,DH Adams,Arxiv preprint hep-th/9612009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11096117456832247920,52,1996
Theoretical foundation for the Index Theorem on the lattice with staggered fermions,DH Adams,"Physical review letters 104 (14), 141602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10642682541024893569,50,2010
On the continuum limit of fermionic topological charge in lattice gauge theory,DH Adams,"Journal of Mathematical Physics 42, 5522",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4849174142794434185,49,2001
Accelerated overlap fermions,"W Kamleh, D Adams, DB Leinweber, AG Williams",Arxiv preprint hep-lat/0112041,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5573715782771408124,48,2001
A doubled discretisation of abelian Chern-Simons theory,DH Adams,Arxiv preprint hep-th/9704150,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15500138160904574052,41,1997
Fourth root prescription for dynamical staggered fermions,DH Adams,"Physical Review D 72 (11), 114512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3411842891991220074,38,2005
Global obstructions to gauge-invariance in chiral gauge theory on the lattice,DH Adams,"Nuclear Physics B 589 (3), 633-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9532893168698784098,36,2000
Pairs of chiral quarks on the lattice from staggered fermions,DH Adams,Physics Letters B,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6593845030736129195,35,2011
Phase and scaling properties of determinants arising in topological field theories,"DH Adams, S Sen","Physics Letters B 353 (4), 495-500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12748180255905169063,29,1995
The rooting issue for a lattice fermion formulation similar to staggered fermions but without taste mixing,DH Adams,Arxiv preprint arXiv:0802.3029,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16778367150853837902,26,2008
Simplified test of universality in lattice QCD,DH Adams,"Physical review letters 92 (16), 162002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5526737531506154261,25,2004
The semiclassical approximation for the Chern-Simons partition function,D H Adams,"Physics Letters B 417 (1-2), 53-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17063627610879714260,22,1998
Partition Function of a quadratic functional and semiclassical approximation for Witten's 3-manifold invariant,"DH Adams, S Sen",Arxiv preprint hep-th/9503095,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18053242220303897865,21,1995
Partition function of a quadratic functional and semiclassical approximation for Witten's three manifold invariant,"DH Adams, S Sen",Arxiv preprint hep-th/9503095,,21,0
Index of a family of lattice Dirac operators and its relation to the non-abelian anomaly on the lattice,DH Adams,"Physical Review Letters 86 (2), 200-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7106091196443227289,20,2001
Axial anomaly and index of the overlap hypercube operator,"DH Adams, W Bietenholz","The European Physical Journal C-Particles and Fields 34 (2), 245-253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8040486256047077420,18,2004
Testing universality and the fractional power prescription for the staggered fermion determinant,DH Adams,"Nuclear Physics B-Proceedings Supplements 140, 148-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10804647903914643094,17,2005
General bounds on the Wilson-Dirac operator,DH Adams,"Physical Review D 68 (6), 065009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14768469708800992711,17,2003
"Gauge fixing, families index theory, and topological features of the space of lattice gauge fields",DH Adams,"Nuclear Physics B 640 (3), 435-452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10273772715221216968,16,2002
Dirac operator index and topology of lattice gauge fields,DH Adams,Arxiv preprint hep-lat/0001014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6727606962643444414,13,2000
Families index theory for Overlap lattice Dirac operator. I,DH Adams,"Nuclear Physics B 624 (3), 469-484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4524271361126542093,12,2002
Renormalization group evolution for the ΔS= 1 effective Hamiltonian with N_ {f}= 2+ 1,"DH Adams, W Lee","Physical Review D 75 (7), 074502",,11,2007
Renormalization group evolution for the ΛS,"DH ADAMS, LEE WEONJONG",Physical review. D. Particles and fields 75 (7),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6464469556618606956,11,2007
A Note on the Faddeev–Popov Determinant and Chern–Simmons Perturbation Theory,DH Adams,"Letters in Mathematical Physics 42 (3), 205-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8929058202198947168,10,1997
Perturbative expansion in gauge theories on compact manifolds,DH Adams,Arxiv preprint hep-th/9602078,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8451668393697474065,10,1996
Dimensionally reduced expression for the QCD fermion determinant at finite temperature and chemical potential,DH Adams,"Physical Review D 70 (4), 045002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1566383195271822026,9,2004
Improving the locality of the overlap Dirac operator via approximate solutions of the Ginsparg-Wilson relation,DH Adams,"Nuclear Physics B-Proceedings Supplements 129, 513-515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17431025835120773980,4,2004
Improving the low-lying spectrum of the overlap kernel,"W Kamleh, D Adams, DB Leinweber, AG Williams","Nuclear Physics B-Proceedings Supplements 109 (1), 81-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11772943307908456089,4,2002
Index and overlap construction for staggered fermions.,DH Adams,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11327411215391065762,3,2011
Structure of logarithmically divergent one-loop lattice Feynman integrals,"DH Adams, W Lee","Physical Review D 77 (4), 045010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13666610697496510552,3,2008
Fermionic topological charge of families of lattice gauge fields,DH Adams,"Nuclear Physics B-Proceedings Supplements 119, 775-777",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9805718654865017546,3,2003
A topological aspect of the non-abelian anomaly for Weyl fermions on the lattice,DH Adams,Arxiv preprint hep-lat/9910036,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4410503014095848347,3,0
Overlap topological charge and axial anomaly for lattice fermions with overlap-Dirac operator,DH Adams,Arxiv preprint hep-lat/9812003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16770250307668539136,2,0
Continuum limit of the axial anomaly and index for the staggered overlap Dirac operator: An overview,"DH Adams, R Har, Y Jia, C Zielinski",arXiv preprint arXiv:1312.7230,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4006931788078620317,1,2013
Computational Efficiency of Staggered Wilson Fermions: A First Look,"DH Adams, D Nogradi, A Petrashyk, C Zielinski",arXiv preprint arXiv:1312.3265,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13947538331705168056,1,2013
Pairs of massless quarks on the lattice from staggered fermions,DH Adams,Arxiv preprint arXiv:1008.2833,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13808285050773695460,1,2010
Relation between bare lattice coupling and MS [over¯] coupling at one loop with general lattice fermions,DH Adams,"Physical Review D 78 (1), 014512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4770547147752641047,1,2008
Semiclassical Approximation in Chern—Simons Gauge Theory,DH Adams,"Geometric analysis and applications to quantum field theory, 1-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2434868480357112315,1,2002
"Families index theory, gauge fixing, and topology of the space of lattice-gauge fields: a summary",DH Adams,"Nuclear Physics B-Proceedings Supplements 109, 77-80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=792005655050550855,1,2002
A remark on Schwarz's topological field theory,"DH Adams, EM Prodanov","Letters in Mathematical Physics 51 (4), 249-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17638009028891342121,1,2000
A lattice calculation of the R-Torsion for U (1) Chern-Simons theory,"D Adams, S Sen, S Sen, J Sexton","Nuclear Physics B-Proceedings Supplements 63 (1), 492-494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15133733097223238123,1,1998
Continuum limit of the index of the staggered Wilson Dirac operator,"R Har, D Adams, Y Jia, C Zielinski",Proceedings of the 31st International Symposium on Lattice Field Theory …,,0,2013
Eradication of singularities in the next-to-leading order RG evolution for the\ Delta S= 1 effective Hamiltonian with 3 quark flavours,"DH Adams, W Lee",Arxiv preprint arXiv:0710.1926,,0,2007
General properties of logarithmically divergent one-loop lattice Feynman integrals,"J Kim, DH Adams, W Lee",Arxiv preprint arXiv:0710.1930,,0,2007
RG evolution for ,"DH Adams, W Lee",Arxiv preprint hep-lat/0701014,,0,2007
Renormalization group evolution for the ΔS= 1 effective Hamiltonian with Nf= 2+ 1.,"W Lee, DH Adams",,,0,2007
"Vacuum polarisation, beta-function, and Lambda-parameter with general lattice fermions",DH Adams,Arxiv preprint hep-lat/0602023,,0,2006
Accelerated chiral symmetry on the lattice,"W Kamleh, D Leinweber, A Williams, D Adams",,,0,2002
Inexpensive chirality on the lattice,"W Kamleh, AG Williams, D Adams",,,0,2000
Introduction to Chern-Simons gauge theory on general 3-manifolds,DH Adams,World Scientific,,0,2000
On the spectral flow of the hermitian Dirac-Wilson operator,DH Adams,Arxiv preprint hep-lat/9907005,,0,1999
Eradication of singularities in the next-to-leading order RG evolution for the∆ S= 1 effective Hamiltonian with 3 quark flavours,"DH Adams, W Lee",,,0,0
