Title,Authors,Platform,Cited_url,Cited_count,Year
"Characterization of the fasting-induced adipose factor FIAF, a novel peroxisome proliferator-activated receptor target gene","S Kersten, S Mandard, NS Tan, P Escher, D Metzger, P Chambon, ...","Journal of Biological Chemistry 275 (37), 28488-28493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9661327255781267379,530,2000
Critical roles of PPARβ/δ in keratinocyte response to inflammation,"NS Tan, L Michalik, N Noy, R Yasmin, C Pacot, M Heim, B Flühmann, ...","Genes & development 15 (24), 3263-3277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9125711530981264694,492,2001
Selective cooperation between fatty acid binding proteins and peroxisome proliferator-activated receptors in regulating transcription,"NS Tan, NS Shaw, N Vinckenbosch, P Liu, R Yasmin, B Desvergne, ...","Molecular and cellular biology 22 (14), 5114-5127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6534378904752421639,480,2002
Impaired skin wound healing in peroxisome proliferator–activated receptor (PPAR) α and PPARβ mutant mice,"L Michalik, B Desvergne, NS Tan, S Basu-Modak, P Escher, J Rieusset, ...","J Cell Biol 154 (4), 799-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4164025467720710250,480,2001
Antiapoptotic role of PPARβ in keratinocytes via transcriptional control of the Akt1 signaling pathway,"N Di-Poı̈, NS Tan, L Michalik, W Wahli, B Desvergne","Molecular cell 10 (4), 721-733",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7242280239908645123,378,2002
The direct peroxisome proliferator-activated receptor target fasting-induced adipose factor (FIAF/PGAR/ANGPTL4) is present in blood plasma as a truncated protein that is …,"S Mandard, F Zandbergen, NS Tan, P Escher, D Patsouris, W Koenig, ...","Journal of Biological Chemistry 279 (33), 34411-34420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7470178389583512916,275,2004
Reciprocal regulation of brain and muscle Arnt-like protein 1 and peroxisome proliferator-activated receptor α defines a novel positive feedback loop in the rodent liver …,"L Canaple, J Rambaud, O Dkhissi-Benyahya, B Rayet, NS Tan, L Michalik, ...","Molecular Endocrinology 20 (8), 1715-1727",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2909234987238746289,273,2006
Titanium dioxide nanomaterials cause endothelial cell leakiness by disrupting the homophilic interaction of VE–cadherin,"MI Setyawati, CY Tay, SL Chia, SL Goh, W Fang, MJ Neo, HC Chong, ...","Nature communications 4, 1673",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14819857983451051566,256,2013
PPARα governs glycerol metabolism,"D Patsouris, S Mandard, PJ Voshol, P Escher, NS Tan, LM Havekes, ...","The Journal of clinical investigation 114 (1), 94-103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8384647583897214231,248,2004
Respiratory protein–generated reactive oxygen species as an antimicrobial strategy,"N Jiang, NS Tan, B Ho, JL Ding","Nature immunology 8 (10), 1114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16374201096737126913,218,2007
The G0/G1 switch gene 2 is a novel PPAR target gene,"F Zandbergen, S Mandard, P Escher, NS Tan, D Patsouris, T Jatkoe, ...","Biochemical Journal 392 (2), 313-324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=296147247706084393,216,2005
Differentiation of trophoblast giant cells and their metabolic functions are dependent on peroxisome proliferator-activated receptor β/δ,"K Nadra, SI Anghel, E Joye, NS Tan, S Basu-Modak, D Trono, W Wahli, ...","Molecular and cellular biology 26 (8), 3266-3281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5307957186334597664,214,2006
Angiopoietin-like 4: a decade of research,"P Zhu, YY Goh, HFA Chin, S Kersten, NS Tan","Bioscience reports 32 (3), 211-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3782268987504698441,193,2012
Angiopoietin-like 4 protein elevates the prosurvival intracellular O2−: H2O2 ratio and confers anoikis resistance to tumors,"P Zhu, MJ Tan, RL Huang, CK Tan, HC Chong, M Pal, CRI Lam, ...","Cancer cell 19 (3), 401-415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5733370405663378309,193,2011
In vivo activation of PPAR target genes by RXR homodimers,"A IJpenberg, NS Tan, L Gelman, S Kersten, J Seydoux, J Xu, D Metzger, ...","The EMBO journal 23 (10), 2083-2091",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6370631521154476124,186,2004
"Biocompatible, uniform, and redispersible mesoporous silica nanoparticles for cancer‐targeted drug delivery in vivo","Q Zhang, X Wang, PZ Li, KT Nguyen, XJ Wang, Z Luo, H Zhang, NS Tan, ...","Advanced Functional Materials 24 (17), 2450-2461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7898556242374414684,183,2014
Micropatterned matrix directs differentiation of human mesenchymal stem cells towards myocardial lineage,"CY Tay, H Yu, M Pal, WS Leong, NS Tan, KW Ng, DT Leong, LP Tan","Experimental cell research 316 (7), 1159-1168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10106565528117292250,159,2010
