Title,Authors,Platform,Cited_url,Cited_count,Year
Toward a theory of individual differences and leadership: understanding the motivation to lead.,"KY Chan, F Drasgow","Journal of applied psychology 86 (3), 481",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7602189116470946300,880,2001
"Personality and leader effectiveness: A moderated mediation model of leadership self-efficacy, job demands, and job autonomy.","KY Ng, S Ang, KY Chan","Journal of Applied Psychology 93 (4), 733",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17708418095786810229,386,2008
Exploring relations between typical and maximum performance ratings and the five factor model of personality,"RE Ployhart, BC LIM, KIMYIN CHAN","Personnel Psychology 54 (4), 809-843",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14462530770312128328,249,2001
Fitting item response theory models to two personality inventories: Issues and insights,"OS Chernyshenko, S Stark, KY Chan, F Drasgow, B Williams","Multivariate Behavioral Research 36 (4), 523-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2440807889203907095,238,2001
Effects of the testing situation on item responding: Cause for concern.,"S Stark, OS Chernyshenko, KY Chan, WC Lee, F Drasgow","Journal of Applied psychology 86 (5), 943",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15460072609300623477,223,2001
An empirical analysis of measurement equivalence with the indcol measure of individualism and collectivism: Implications for valid cross‐cultural inference,"C Robert, WC Lee, KIMYIN CHAN","Personnel Psychology 59 (1), 65-99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=905665098013940916,121,2006
"Proactivity, adaptability and boundaryless career attitudes: The mediating role of entrepreneurial alertness","U Marilyn A., C Kim-Yin, S Yoke Loo, H Moon-ho Ringo, C Oleksandr S.","Journal of Vocational Behavior 86 (1), 115-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4719357568590238896,100,2015
Rating leniency and halo in multisource feedback ratings: Testing cultural assumptions of power distance and individualism-collectivism.,"KY Ng, C Koh, S Ang, JC Kennedy, KY Chan","Journal of Applied Psychology 96 (5), 1033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13557254124558214562,97,2011
"J.(2012). Entrepreneurship, professionalism, leadership: A framework and measure for understanding boundaryless careers","KY Chan, MR Ho, OS Chernyshenko, O Bedford, MA Uy, D Gomulya, ...","Journal of Vocational Behavior 81 (1), 73-88","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8876155941982577524,18040908737447202401",87,0
"Entrepreneurship, professionalism, leadership: A framework and measure for understanding boundaryless careers","KY Chan, RH Moon-ho, OS Chernyshenko, O Bedford, MA Uy, ...","Journal of Vocational Behavior 81 (1), 73-88",,81,2012
The relation between vocational interests and the motivation to lead,"KY Chan, J Rounds, F Drasgow","Journal of Vocational Behavior 57 (2), 226-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16489763303316485911,74,2000
What is the shelf life of a test? The effect of time on the psychometrics of a cognitive ability test battery.,"KY Chan, F Drasgow, LL Sawin","Journal of Applied Psychology 84 (4), 610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3891576944047481243,55,1999
Investigating the hierarchical factor structure of the fifth edition of the 16PF: An application of the Schmid-Leiman orthogonalization procedure,"OS Chernyshenko, S Stark, KY Chan","Educational and Psychological Measurement 61 (2), 290-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1389483599292407243,48,2001
"Personality and entrepreneurial, professional and leadership motivations","KY Chan, MA Uy, OS Chernyshenko, MHR Ho, YL Sam","Personality and individual differences 77, 161-166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7866124837468768494,46,2015
Comparing two career adaptability measures for career construction theory: Relations with boundaryless mindset and protean career attitudes,"KY Chan, A Uy, Marilyn, MR Ho, YL Sam, OS Chernyshenko, KYT & Yu","Journal of Vocational Behavior 87 (April), 22–31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2162192668960736866,45,2015
