Title,Authors,Platform,Cited_url,Cited_count,Year
Manifold regularized multitask learning for semi-supervised multilabel image classification,"Y Luo, D Tao, B Geng, C Xu, S Maybank","IEEE Transactions on Image Processing 22 (2), 523-536",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9617504718749272596,169,2013
Multiview vector-valued manifold regularization for multilabel image classification,"Y Luo, D Tao, C Xu, C Xu, H Liu, Y Wen","IEEE Transactions on Neural Networks and Learning Systems 24 (5), 709-722",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10941937177839447230,124,2013
Tensor canonical correlation analysis for multi-view dimension reduction,"Y Luo, D Tao, K Ramamohanarao, C Xu, Y Wen","IEEE Transactions on Knowledge and Data Engineering 27 (11), 3111-3124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18326879077955256396,123,2015
Multiview matrix completion for multilabel image classification,"Y Luo, T Liu, D Tao, C Xu","IEEE Transactions on Image Processing 24 (8), 2355-2368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8802342821687332741,100,2015
Decomposition-based transfer distance metric learning for image classification,"Y Luo, T Liu, D Tao, C Xu","IEEE Transactions on Image Processing 23 (9), 3789-3801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1237726787713680738,94,2014
Group sparse multiview patch alignment framework with view consistency for image classification,"J Gui, D Tao, Z Sun, Y Luo, X You, Y Tang","IEEE Transactions on Image Processing 23 (7), 3126-3137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16454394820272766789,83,2014
Large margin multi-modal multi-task feature extraction for image classification,"Y Luo, Y Wen, D Tao, J Gui, C Xu","IEEE Transactions on Image Processing 25 (1), 414-427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11333237457042927392,76,2016
Low-rank multiview learning in matrix completion for multilabel image classification,"M Liu, Y Luo, D Tao, C Xu, Y Wen","AAAI Conference on Artificial Intelligence, 2778-2784",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13488614805311299194,51,2015
Vector-valued multiview semi-supervised learning for multilabel image classification,"Y Luo, D Tao, C Xu, D Li, C Xu","AAAI Conference on Artificial Intelligence, 647-653",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3252896095887658897,41,2013
Pitch-density-based features and an SVM binary tree approach for multi-class audio classification in broadcast news,"L Xie, Z Fu, W Feng, Y Luo","Multimedia Systems 17 (2), 101-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14095576824112267168,41,2011
Cost-sensitive feature selection by optimizing F-measures,"M Liu, C Xu, Y Luo, C Xu, Y Wen, D Tao","IEEE Transactions on Image Processing 27 (3), 1323-1335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15696804369324201949,29,2018
Pre-trained multiview word embedding using two-side neural network,"Y Luo, J Tang, J Yan, C Xu, Z Chen","AAAI Conference on Artificial Intelligence, 1982-1988",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13402023072893758099,24,2014
Heterogeneous multitask metric learning across multiple domains,"Y Luo, Y Wen, D Tao","IEEE Transactions on Neural Networks and Learning Systems 29 (9), 4051-4064",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4430825588846721119,20,2018
Transferring knowledge fragments for learning distance metric from a heterogeneous domain,"Y Luo, Y Wen, T Liu, D Tao","IEEE Transactions on Pattern Analysis and Machine Intelligence 41 (4), 1013-1026",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15253502378507582225,16,2019
Manifold regularized multiview feature selection for web image annotation,"Y Li, X Shi, L Tong, Y Luo, J Tu, X Zhu","Pacific-Rim Conference on Multimedia, 103-112","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7645578303759783891,2622890561347945729",16,2014
On combining side information and unlabeled data for heterogeneous multi-task metric learning,"Y Luo, Y Wen, D Tao","International Joint Conference on Artificial Intelligence, 1809-1815",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8350279328872909306,12,2016
General heterogeneous transfer distance metric learning via knowledge fragments transfer,"Y Luo, Y Wen, T Liu, D Tao","International Joint Conference on Artificial Intelligence, 2450-2456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3863519339848661303,8,2017
Cost-sensitive feature selection via F-measure optimization reduction,"M Liu, X Chang, Y Luo, D Tao, C Xu, Y Wen","AAAI Conference on Artificial Intelligence, 2252-2258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9979153943242939055,7,2017
FIM: A real-time content based sample image matching system,"Y Luo, Y Li, J Tu, C Xu","International Conference on Image and Graphics, 551-555",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1049476216626084802,7,2013
Online heterogeneous transfer metric learning,"Y Luo, T Liu, Y Wen, D Tao","International Joint Conference on Artificial Intelligence, 2525-2531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12013590727729105672,6,2018
Manifold regularized transfer distance metric learning,"H Shi, Y Luo, C Xu, Y Wen","British Machine Vision Conference, 158.1-158.11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11159144206904595467,6,2015
Query difficulty guided image retrieval system,"Y Li, Y Luo, D Tao, C Xu","International Conference on Multimedia Modeling, 479-482",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13754864245116767010,6,2011
"Transfer metric learning: algorithms, applications and outlooks","Y Luo, Y Wen, LY Duan, D Tao",arXiv:1810.03944,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10503727389302769664,5,2018
Deep binary prototype multi-label learning,"X Shen, W Liu, Y Luo, YS Ong, IW Tsang","International Joint Conference on Artificial Intelligence, 2675-2681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2818787346512108442,4,2018
Exploiting high-order information in heterogeneous multi-task feature learning,"Y Luo, D Tao, Y Wen","International Joint Conference on Artificial Intelligence, 2443-2449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6372165777416390242,4,2017
Shared feature extraction for semi-supervised image classification,"Y Luo, D Tao, B Geng, C Xu, S Maybank","ACM Multimedia Conference, 1165-1168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11200198761521603346,4,2011
Towards intelligent product retrieval for TV-to-Online (T2O) application: A transfer metric learning approach,"Q Fu, Y Luo, Y Wen, D Tao, Y Li, LY Duan","IEEE Transactions on Multimedia 20 (8), 2114-2125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7665620802518855684,3,2018
Combining feature selectors in a product advertisement classification system,"Y Luo, Y Li, C Zhou, C Xu","Asian Conference on Pattern Recognition, 184-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3233886659224781489,3,2011
Knowledge-enhanced ensemble learning for word embeddings,"L Fang, Y Luo, K Feng, K Zhao, A Hu","The World Wide Web Conference, 427-437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=830308531552179512,2,2019
How to find a perfect data scientist: A distance-metric learning approach,"H Hu, Y Luo, Y Wen, YS Ong, X Zhang","IEEE Access 6, 60380-60395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12301801525467102191,2,2018
Data-driven lightweight interest point selection for large scale visual search,"F Gao, X Zhang, Y Huang, Y Luo, X Li, LY Duan","IEEE Transactions on Multimedia 20 (10), 2774 - 2787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4857638462201726932,2,2018
