Title,Authors,Platform,Cited_url,Cited_count,Year
Firme: Face and iris recognition for mobile engagement,"M De Marsico, C Galdi, M Nappi, D Riccio","Image and Vision Computing 32 (12), 1161-1172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4987731581375257201,139,2014
GANT: Gaze analysis technique for human identification,"V Cantoni, C Galdi, M Nappi, M Porta, D Riccio","Pattern Recognition 48 (4), 1027-1038",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3417675738890018269,77,2015
Multimodal authentication on smartphones: Combining iris and sensor recognition for a double check of user identity,"C Galdi, M Nappi, JL Dugelay","Pattern Recognition Letters 82, 144-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11134638741891318577,42,2016
BIRD: Watershed based iris detection for mobile devices,"AF Abate, M Frucci, C Galdi, D Riccio","Pattern Recognition Letters 57, 43-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12244993947823853255,33,2015
A new gaze analysis based soft-biometric,"C Galdi, M Nappi, D Riccio, V Cantoni, M Porta","Mexican Conference on Pattern Recognition, 136-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7734933931972390225,24,2013
Fame: face authentication for mobile encounter,"S Barra, M De Marsico, C Galdi, D Riccio, H Wechsler",2013 IEEE Workshop on Biometric Measurements and Systems for Security and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1642698228119892033,21,2013
Fire: Fast iris recognition on mobile phones by combining colour and texture features,"C Galdi, JL Dugelay","Pattern Recognition Letters 91, 44-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11311323942367891782,17,2017
Eye movement analysis for human authentication: a critical survey,"C Galdi, M Nappi, D Riccio, H Wechsler","Pattern Recognition Letters 84, 272-283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5831802441887126171,15,2016
IDEM: Iris detection on mobile devices,"M Frucci, C Galdi, M Nappi, D Riccio, GS di Baja","2014 22nd International Conference on Pattern Recognition, 1752-1757",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5684103182670499902,11,2014
Fusing iris colour and texture information for fast iris recognition on mobile devices,"C Galdi, JL Dugelay","2016 23rd International Conference on Pattern Recognition (ICPR), 160-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8863094061750995332,10,2016
Gender and age categorization using gaze analysis,"V Cantoni, M Porta, C Galdi, M Nappi, H Wechsler",2014 Tenth International Conference on Signal-Image Technology and Internet …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1295119543585239278,8,2014
Exploring new authentication protocols for sensitive data protection on smartphones,"C Galdi, M Nappi, JL Dugelay, Y Yu","IEEE Communications Magazine 56 (1), 136-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13287867402989493255,7,2018
Videos versus still images: asymmetric sensor pattern noise comparison on mobile phones,"C Galdi, F Hartung, JL Dugelay","Electronic Imaging 2017 (7), 100-103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15901557204977366419,7,2017
Secure user authentication on smartphones via sensor and face recognition on short video clips,"C Galdi, M Nappi, JL Dugelay","International Conference on Green, Pervasive, and Cloud Computing, 15-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11141186970362181615,5,2017
Recent advances in biometric technology for mobile devices,"A Das, C Galdi, H Han, R Ramachandra, JL Dugelay, A Dantcheva","2018 IEEE 9th International Conference on Biometrics Theory, Applications …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13717789948528700447,4,2018
Towards demographic categorization using gaze analysis,"C Galdi, H Wechsler, V Cantoni, M Porta, M Nappi","Pattern Recognition Letters 82, 226-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14655443413127676786,4,2016
Integrating facial makeup detection into multimodal biometric user verification system,"E Derman, C Galdi, JL Dugelay","2017 5th International Workshop on Biometrics and Forensics (IWBF), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12451056146232813806,3,2017
PROTECT Multimodal DB: fusion evaluation on a novel multimodal biometrics dataset envisaging Border Control,"AF Sequeira, L Chen, J Ferryman, C Galdi, V Chiesa, JL Dugelay, P Maik, ...",2018 International Conference of the Biometrics Special Interest Group …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12505036282070670566,2,2018
Combining hardwaremetry and biometry for human authentication via smartphones,"C Galdi, M Nappi, JL Dugelay","International Conference on Image Analysis and Processing, 406-416",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7017408763279116449,2,2015
SOCRatES: A Database of Realistic Data for SOurce Camera REcognition on Smartphones,"C Galdi, F Hartung, JL Dugelay",Proceedings of the 8th International Conference on Pattern Recognition …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16808866994573717238,1,2019
A new framework for optimal facial landmark localization on light-field images,"G Galdi, L Younes, C Guillemot, JL Dugelay",2018 Visual Communications and Image Processing (VCIP),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16629388549663616767,1,2019
Eye Movement Analysis in Biometrics,"C Galdi, M Nappi","Biometrics under Biomedical Considerations, 171-183",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9089459114070332789,1,2019
Light Fields for Face Analysis,"C Galdi, V Chiesa, C Busch, P Lobato Correia, JL Dugelay, C Guillemot","Sensors 19 (12), 2687",,0,2019
Hybrid G-PRNU: Optimal parameter selection for scale-invariant asymmetric source smartphone identification,"R Deka, C Galdi, JL Dugelay","EI 2019, IS&T International Symposium on Electronic Imaging 2019, 13-18 …",,0,2019
Conception et développement de systèmes biométriques multimodaux,C Galdi,"Paris, ENST",,0,2016
Design and development of multi-biometric systems,C Galdi,"Télécom ParisTech; Universit? degli studi (Salerne, Italie)",,0,2016
Riconoscimento dell’Iride in Condizioni Critiche,"M De Marsico, C Galdi, M Nappi, D Riccio, G Mastronardi","Mondo Digitale, 2",,0,2014
Automatic Face Image Tagging in Large Collections,"S Barra, M De Marsico, C Galdi","Face Recognition in Adverse Conditions, 336-358",,0,2014
Les nouveautés de HAL v3. 0 de A à Z (14/10/2014),"C Galdi, V Chiesa, C Busch, P Correia, JL Dugelay",,,0,0
MULTI-BIOMETRIC RECOGNITION ON MOBILE DEVICES,"AF Abate, S Barra, M De Marsico, C Galdi, M Nappi, F Narducci, ...",,,0,0
