Title,Authors,Platform,Cited_url,Cited_count,Year
Impact of packetization and scheduling on C-RAN fronthaul performance,"CY Chang, N Nikaein, T Spyropoulos","Global Communications Conference (GLOBECOM), 2016 IEEE, 1-7",,73,2016
Impact of packetization and functional split on C-RAN fronthaul performance,"CY Chang, R Schiavi, N Nikaein, T Spyropoulos, C Bonnet","Communications (ICC), 2016 IEEE International Conference on, 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10333073136839149186,73,2016
FlexCRAN: A Flexible Functional Split Framework over Ethernet Fronthaul in Cloud-RAN,"CY Chang, N Nikaein, R Knopp, T Spyropoulos, SS Kumar","Communications (ICC), 2017 IEEE International Conference on, 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12294691849024232297,37,2017
A 212MPixels/s 4096× 2160p multiview video encoder chip for 3D/quad HDTV applications,"LF Ding, WY Chen, PK Tsung, TD Chuang, HK Chiu, YH Chen, PH Hsiao, ...",2009 IEEE International Solid-State Circuits Conference-Digest of Technical …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9625325784117540872,35,2009
MEC architectural implications for LTE/LTE-A networks,"CY Chang, K Alexandris, N Nikaein, K Katsalis, T Spyropoulos",Proceedings of the Workshop on Mobility in the Evolving Internet …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2762610083391962304,29,2016
RAN runtime slicing system for flexible and dynamic service execution environment,"CY Chang, N Nikaein","IEEE Access 6, 34018-34042",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2018890349220301621,16,2018
Radio access network resource slicing for flexible service execution,"CY Chang, N Nikaein, T Spyropoulos",IEEE INFOCOM 2018-IEEE Conference on Computer Communications Workshops …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7248395202764055471,13,2018
Mosaic5G: Agile and flexible service platforms for 5G research,"N Nikaein, CY Chang, K Alexandris","ACM SIGCOMM Computer Communication Review 48 (3), 29-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10498506935880573714,10,2018
Slice orchestration for multi-service disaggregated ultra-dense RANs,"CY Chang, N Nikaein, O Arouk, K Katsalis, A Ksentini, T Turletti, ...","IEEE Communications Magazine 56 (8), 70-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9184484094265759471,10,2018
Improving the efficiency and reliability of wearable based mobile eHealth applications,"C Garcia-Perez, A Diaz-Zayas, A Rios, P Merino, K Katsalis, C Chia-Yu, ...",Pervasive and Mobile Computing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14450734214143694221,9,2017
