Title,Authors,Platform,Cited_url,Cited_count,Year
Scale-up vs Scale-out for Hadoop: Time to rethink?,"R Appuswamy, C Gkantsidis, D Narayanan, O Hodson, A Rowstron",Proceedings of the ACM Symposium on Cloud Computing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6813709250101306509,195,2013
Integrating flash-based SSDs into the storage stack,"R Appuswamy, DC Van Moolenbroek, AS Tanenbaum","012 IEEE 28th Symposium on Mass Storage Systems and Technologies (MSST), 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6718162051139461059,33,2012
The Case For Heterogeneous HTAP,"R Appuswamy, M Karpathiotakis, D Porobic, A Ailamaki",8th Biennial Conference on Innovative Data Systems Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3609593464445569358,21,2017
"Loris-a dependable, modular file-based storage stack","R Appuswamy, DC van Moolenbroek, AS Tanenbaum",2010 IEEE 16th Pacific Rim International Symposium on Dependable Computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13011205908943150239,18,2010
Scaling the Memory Power Wall With DRAM-Aware Data Management,"R Appuswamy, M Olma, A Ailamaki",Proceedings of the 11th International Workshop on Data Management on New …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16356614678325950301,14,2015
Block-level RAID Is Dead.,"R Appuswamy, DC van Moolenbroek, AS Tanenbaum",HotStorage,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18200069265476126634,14,2010
Dealing with driver failures in the storage stack,"JN Herder, DC Van Moolenbroek, R Appuswamy, B Wu, B Gras, ...","2009 Fourth Latin-American Symposium on Dependable Computing, 119-126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11330543502891701270,14,2009
"Towards a Flexible, Lightweight Virtualization Alternative","DC van Moolenbroek, R Appuswamy, AS Tanenbaum","Proceedings of International Conference on Systems and Storage, 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6860924757089016230,12,2014
Analyzing the impact of system architecture on the scalability of OLTP engines for high-contention workloads,"R Appuswamy, AC Anadiotis, D Porobic, MK Iman, A Ailamaki","Proceedings of the VLDB Endowment 11 (2), 121-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11664654921357392846,11,2017
"Cache, cache everywhere, flushing all hits down the sink: On exclusivity in multilevel, hybrid caches","R Appuswamy, DC van Moolenbroek, AS Tanenbaum","2013 IEEE 29th Symposium on Mass Storage Systems and Technologies (MSST), 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8445656977940709023,11,2013
