Title,Authors,Platform,Cited_url,Cited_count,Year
Enhanced inter-cell interference coordination challenges in heterogeneous networks,"D Lopez-Perez, I Guvenc, G De la Roche, M Kountouris, TQS Quek, ...",arXiv preprint arXiv:1112.1597,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1614736163196949147,1092,2011
Shifting the MIMO paradigm,"D Gesbert, M Kountouris, RW Heath, CB Chae, T Salzer","IEEE signal processing magazine 24 (5), 36-46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14737264440320674113,4127521389784223536",1049,2007
"Massive MIMO systems with non-ideal hardware: Energy efficiency, estimation, and capacity limits","E Björnson, J Hoydis, M Kountouris, M Debbah","IEEE Transactions on Information Theory 60 (11), 7112-7139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3853220171095510499,574,2014
Energy efficient heterogeneous cellular networks,"YS Soh, TQS Quek, M Kountouris, H Shin","IEEE Journal on selected areas in communications 31 (5), 840-850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16252021505809202247,533,2013
Modeling Heterogeneous Network Interference using Poisson Point Processes,"RW Heath Jr, M Kountouris",arXiv preprint arXiv:1207.2041,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3602650195121145305,1153530340942431800",407,2012
"Throughput optimization, spectrum allocation, and access control in two-tier femtocell networks","WC Cheung, TQS Quek, M Kountouris","IEEE Journal on Selected Areas in Communications 30 (3), 561-574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1952420332602729904,391,2012
Cache-enabled small cell networks: Modeling and tradeoffs,"E Baştuǧ, M Bennis, M Kountouris, M Debbah","EURASIP Journal on Wireless Communications and Networking 2015 (1), 41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4007855632359797746,273,2015
"Small cell networks: Deployment, PHY techniques, and resource management","TQS Quek, G de La Roche, İ Güvenç, M Kountouris",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11428764501620450881,261,2013
Coverage in multi-antenna two-tier networks,"V Chandrasekhar, M Kountouris, JG Andrews",arXiv preprint arXiv:0902.3210,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2071700369994373964,254,2009
"Downlink MIMO HetNets: Modeling, ordering results and performance analysis","HS Dhillon, M Kountouris, JG Andrews","IEEE Transactions on Wireless Communications 12 (10), 5208-5222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10511256370148274087,236,2013
Cooperative caching and transmission design in cluster-centric small cell networks,"Z Chen, J Lee, TQS Quek, M Kountouris","IEEE Transactions on Wireless Communications 16 (5), 3401-3415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15034508199192531002,192,2017
Massive MIMO and small cells: Improving energy efficiency by optimal soft-cell coordination,"E Björnson, M Kountouris, M Debbah",arXiv preprint arXiv:1304.0553,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3872643976650792037,185,2013
Shifting the MIMO paradigm: From single user to multiuser communications,"D Gesbert, M Kountouris, RW Heath Jr, CB Chae, T Salzer","IEEE signal processing magazine 24 (5), 36-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=107897199728195026,181,2007
Multi-mode transmission for the MIMO broadcast channel with imperfect channel state information,"J Zhang, M Kountouris, JG Andrews, RW Heath","IEEE Transactions on Communications 59 (3), 803-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8768065109032562285,125,2010
Deploying dense networks for maximal energy efficiency: Small cells meet massive MIMO,"E Björnson, L Sanguinetti, M Kountouris","IEEE Journal on Selected Areas in Communications 34 (4), 832-847",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1163346597679993196,113,2016
Memory-based opportunistic multi-user beamforming,"M Kountouris, D Gesbert","Proceedings. International Symposium on Information Theory, 2005. ISIT 2005 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10954443850903163066,109,2005
Random access transport capacity,"JG Andrews, S Weber, M Kountouris, M Haenggi","IEEE Transactions on Wireless Communications 9 (6), 2101-2111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2641704227202272161,106,2010
Mode switching for the multi-antenna broadcast channel based on delay and channel quantization,"J Zhang, RW Heath, M Kountouris, JG Andrews","EURASIP Journal on Advances in Signal Processing 2009, 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2728934595035311692,103,2009
Probabilistic caching in wireless D2D networks: Cache hit optimal versus throughput optimal,"Z Chen, N Pappas, M Kountouris","IEEE Communications Letters 21 (3), 584-587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15324976577561731451,97,2016
Successive interference cancellation in heterogeneous networks,"M Wildemeersch, TQS Quek, M Kountouris, A Rabbachin, CH Slump","IEEE Transactions on Communications 62 (12), 4440-4453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10756526093811504470,97,2014
Energy Efficiency Analysis of Two-Tier Heterogeneous Networks,"TQS Quek, WC Cheung, M Kountouris",Wireless Conference 2011-Sustainable Wireless Technologies (European …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1522564042296553908,92,2011
Backhauling in heterogeneous cellular networks: Modeling and tradeoffs,"DC Chen, TQS Quek, M Kountouris","IEEE Transactions on Wireless Communications 14 (6), 3194-3206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=124861628783000103,90,2015
