Title,Authors,Platform,Cited_url,Cited_count,Year
Hybrid cpu-gpu distributed framework for large scale mobile networks simulation,"BR Bilel, N Navid, MSM Bouksiaa",Proceedings of the 2012 IEEE/ACM 16th International Symposium on Distributed …,,29,2012
Hybrid cpu-gpu distributed framework for large scale mobile networks simulation,"BR Bilel, N Navid, MSM Bouksiaa",Proceedings of the 2012 IEEE/ACM 16th International Symposium on Distributed …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4691535734740567385,29,2012
OpenAirInterface large-scale wireless emulation platform and methodology,"BR Bilel, N Navid, K Raymond, B Christian",Proceedings of the 6th ACM workshop on Performance monitoring and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9711556545862126399,21,2011
Cunetsim: A gpu based simulation testbed for large scale mobile networks,"BR Bilel, N Navid",2012 International Conference on Communications and Information Technology …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5435647056160870766,12,2012
Efficient and scalable merging algorithms for wireless traces,"BB Romdhanne, D Dujovne, T Turletti, W Dabbous",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4722115228505988384,8,2009
Hybrid scheduling for event-driven simulation over heterogeneous computers,"B Ben Romdhanne, MB Mohamed Said, N Navid, B Christian","PADS 2013, 47-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=374510222770634435,7,2013
"KR, and BC Openairinterface large-scale wireless emulation platform and methodology","B Bilel, N Navid",MSWIM,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9282806086016176909,7,2011
Large-scale network simulation over heterogeneous computing architecture,BB Romdhanne,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12571944657656759029,4,2013
Cunetsim: a new simulation framework for large scale mobile networks,"BB Romdhanne, N Navid",Proceedings of the 5th International ICST Conference on Simulation Tools and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3375917433899417763,4,2012
Coordinator-Master-Worker Model For Efficient Large Scale Network Simulation,"CB Bilel Ben Romdhanne, Navid Nikaein","SIMUTOOLS 2013, http://www.simutools.org/",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12820507153735058092,3,2013
General-purpose coordinator–master–worker model for efficient large-scale simulation over heterogeneous infrastructure,"BR Bilel, N Navid","Journal of Simulation, 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8513595220386050123,1,2017
"Large-scale network simulation over heterogeneous computing architecture : Issues, opportunities and challenges","N Nikaein, ben romdhanne bilel",simutools,,0,2014
Simulation des Réseaux à Grande Echelle sur les Architectures de Calculs Hétérogènes,MT TURLETTI,Georgia Tech,,0,2013
Simulation des réseaux à grande échelle sur les architectures de calculs hétérogènes,B Ben Romdhanne,"Paris, ENST",,0,2013
Scalability demonstration of a Large Scale GPU-based Network simulator,"BR Bilel, MSM Bouksiaa, N Navid, B Christian",SIMUTOOLS,,0,2013
Scalability demonstration of a large scale GPU-based network simulator,"B Ben Romdhanne, MSM Bouksiaa, N Navid, B Christian",Proceedings of the 6th International ICST Conference on Simulation Tools and …,,0,2013
Large-scale Network Simulation over Heterogeneous Computing Architecture,"N Nikaein, BB Romdhanne",,,0,0
