Title,Authors,Platform,Cited_url,Cited_count,Year
A framework for over-the-air reciprocity calibration for TDD massive MIMO systems,"X Jiang, A Decurninge, K Gopala, F Kaltenberger, M Guillaud, D Slock, ...","IEEE Transactions on Wireless Communications 17 (9), 5975-5990",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11067253271591595049,14,2018
MIMO Communications - Motivation and a Practical Realization,"GK Krishnan, VU Reddy","IETE Technical Review 24 (4), 203-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8712194556670390075,13,2007
High performance low complexity receiver for v-blast,"GK Krishnan, VU Reddy",8th Workshop on Signal Processing Advances in Wireless Communications,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14022747654059421728,9,2007
MIMO OFDM capacity maximizing beamforming for large Doppler scenarios,"K Gopala, D Slock",2016 IEEE 17th International Workshop on Signal Processing Advances in …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7520437795263069639,5,2016
Doppler compensation and Beamforming for High Mobility OFDM transmissions in multipath,"K Gopala, D Slock","International Conference on Cognitive Radio Oriented Wireless Networks, 294-306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8188275293775516738,5,2016
High Doppler MIMO OFDM capacity maximizing spatial transceivers exploiting excess cyclic prefix,"K Gopala, D Slock","2016 International Symposium on Wireless Communication Systems (ISWCS), 491-496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7083984741932232355,3,2016
Optimal Algorithms and CRB for Reciprocity Calibration in Massive Mimo,"K Gopala, D Slock","2018 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=433709087823804478,2,2018
A Refined Analysis of the Gap between Expected Rate for Partial CSIT and the Massive MIMO Rate Limit,"K Gopala, D Slock","2018 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5243833205196311498,2,2018
Antenna Array Absolute Self-Calibration and Application to Separate Tx/Rx Array Full Duplex MIMO,"K Gopala, D Slock","2017 IEEE Globecom Workshops (GC Wkshps), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12972689306914066036,1,2017
Robust MIMO OFDM transmit beamformer design for large doppler scenarios under partial CSIT,"K Gopala, D Slock","2017 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16376442994410636538,1,2017
Sparse Bayesian Learning for a Bilinear Calibration Model and Mismatched CRB,"K Gopala, CK Thomas, D Slock","2019 27th European Signal Processing Conference (EUSIPCO), 1-5",,0,2019
Performance Analysis of Reciprocity Calibration in Massive MIMO,"K Gopala, D Slock",2019 IEEE 20th International Workshop on Signal Processing Advances in …,,0,2019
Excess Cyclic Prefix Window Optimization for High Doppler MIMO OFDM Capacity,"K Gopala, D Slock","ICASSP 2019-2019 IEEE International Conference on Acoustics, Speech and …",,0,2019
Robust LMMSE Beamformer Design by Naive UL/DL Duality and Validation for Non-Cooperative Massive MIMO,"K Gopala, D Slock","2018 IEEE 88th Vehicular Technology Conference (VTC-Fall), 1-5",,0,2018
