Title,Authors,Platform,Cited_url,Cited_count,Year
Tempering Kademlia with a robust identity based system,"LM Aiello, M Milanesio, G Ruffo, R Schifanella","2008 Eighth International Conference on Peer-to-Peer Computing, 30-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9965390962507061162,51,2008
Indexing and retrieval of multimedia metadata on a secure DHT,"W Allasia, F Gallo, M Milanesio, R Schifanella",Informatica 33 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5035958536917425292,35,2009
Avoiding eclipse attacks on Kad/Kademlia: an identity based approach,"R Fantacci, L Maccari, M Rosi, L Chisci, LM Aiello, M Milanesio","2009 IEEE International Conference on Communications, 1-5",,29,2009
Avoiding eclipse attacks on Kad/Kademlia: an identity based approach,"R Fantacci, L Maccari, M Rosi, L Chisci, LM Aiello, M Milanesio","2009 IEEE International Conference on Communications, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4886820621135865735,29,2009
An identity-based approach to secure P2P applications with Likir,"LM Aiello, M Milanesio, G Ruffo, R Schifanella","Peer-to-Peer Networking and Applications 4 (4), 420-438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14892863573654588390,13,2011
Experimental performance evaluation of cloud-based analytics-as-a-service,"F Pace, M Milanesio, D Venzano, D Carra, P Michiardi","2016 IEEE 9th International Conference on Cloud Computing (CLOUD), 196-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=638542496002692622,9,2016
Events discovery for personal video recorders,"A Basso, M Milanesio, G Ruffo","Proceedings of the 7th European Conference on Interactive TV and Video, 171-174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13349331303504529752,8,2009
Governed content distribution on dht based networks,"W Allasia, F Gallo, M Milanesio, R Schifanella",2008 Third International Conference on Internet and Web Applications and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7213102355025727773,6,2008
A totally distributed iterative scheme for web services addressing and discovery,"M Milanesio, G Ruffo, R Schifanella",PDCS’07: Proceedings of the 19th IASTED International Conference on Parallel …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4860932936099860471,6,2007
"Tagging with DHARMA, a DHT-based Approach for Resource Mapping through Approximation","LM Aiello, M Milanesio, G Ruffo, R Schifanella",2010 IEEE International Symposium on Parallel & Distributed Processing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7255666284937177729,4,2010
Digital Rights Metadata Management and Retrieval on Structured Overlay Networks,"W Allasia, F Gallo, M Milanesio, R Schifanella, F Chiariglione, A Difino",2008 Ninth International Workshop on Image Analysis for Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17417639209763402904,4,2008
Accessing and Distributing Streaming Events on DHT-based Systems,"M Milanesio, G Ruffo, F Ricchiuti, D Albertin",2006 Second International Conference on Automated Production of Cross Media …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1606192207082584411,4,2006
On collaborative filtering techniques for Live TV and radio discovery and recommendation,"A Basso, M Milanesio, A Panisson, G Ruffo","International Conference on Electronic Commerce and Web Technologies, 148-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10806550759885616653,3,2011
Iterative key based routing for web services addressing and discovery,"M Milanesio, G Ruffo","IFIP International Conference on Autonomous Infrastructure, Management and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3547900968866549003,3,2007
Design of the reasoner,"P Casas, A D’Alconzo, M Dusi, S Nikitaki, M Ahmed, S Traverso, M Mellia, ...","D4 2 (06), 2014",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17062486308390706434,2,2014
Network monitoring architecture based on home gateways,"C Casetti, Y Grunenberger, F Den Hartog, A Lakhina, H Lundgren, ...",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8144682155897272007,2,2013
From Recordings to Recommendations: Suggesting Live Events in the DVR Context.,"A Basso, M Milanesio, A Panisson, G Ruffo","PRSAT@ RecSys, 43-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14263699685982756044,2,2010
"Publishing, retrieving and streaming lectures via application level multicast","M Milanesio, G Ruffo",Advanced Int'l Conference on Telecommunications and Int'l Conference on …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7540459021055849585,2,2006
Troubleshooting web sessions with CUSUM,"C Callegari, M Milanesio, P Michiardi",2015 International Wireless Communications and Mobile Computing Conference …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16020190932434314936,1,2015
Cross-check of Analysis Modules and Reasoner Interactions,"U Manferdini, S Traverso, M Mellia, E Tego, F Matera, Z Ben Houidi, ...",,,0,2015
Design of Analysis Modules,"D Papadimitriou, Z Ben Houidi, D Rossi, M Milanesio, P Casas, ...",,,0,2013
CoDE-An application-layer framework for confidentiality in distributed environments,"J Botev, M Milanesio",7th International Conference on Collaborative Computing: Networking …,,0,2011
Collaborative Filtering without Explicit Feedbacks for Digital Recorders,"A Basso, M Milanesio, A Panisson, G Ruffo",arXiv preprint arXiv:1101.3341,,0,2011
Layering Multi-Purpose Applications over Structured and Dependable P2P Systems,M Milanesio,"Universita degli Studi di Torino, Diss",,0,2010
Collection of MXM use cases,"W Allasia, MT Andrade, M Bober, H Castro, J Chen, F Chiariglione, ...",,,0,2008
Response to MXM call for proposals,"W Allasia, MT Andrade, M Bober, H Castro, J Chen, F Chiariglione, ...",,,0,2008
Proposal of MXM technologies,"W Allasia, MT Andrade, M Bober, H Castro, J Chen, F Chiariglione, ...",,,0,2008
"Dissemination, Exploitation And Standardization First Report","PA Finamore, F Matera, E Tego, TIF Invernizzi, AZ Ben-Houidi, ...",,,0,0
Plans for Using and Disseminating mPlane Knowledge,"N Dusi, S Niccolini, E Trammell, PA Finamore, F Matera, E Tego, ...",,,0,0
Algorithm and Scheduler Design and Implementation,"PD Apiletti, E Baralis, A Finamore, L Grimaudo, S Traverso, F Guchev, ...",,,0,0
Social Aspects of Video Recording,"A Basso, M Milanesio, A Panisson",,,0,0
