Title,Authors,Platform,Cited_url,Cited_count,Year
Learned vs. hand-crafted features for pedestrian gender recognition,"G Antipov, SA Berrani, N Ruchaud, JL Dugelay","Proceedings of the 23rd ACM international conference on Multimedia, 1263-1266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12030102671057826307,65,2015
Privacy protection filter using stegoscrambling in video surveillance,"N Ruchaud, JL Dugelay",MediaEval,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10901729431557883676,13,2015
Efficient Privacy Protection in Video Surveillance by StegoScrambling,"N Ruchaud, JL Dugelay",IEEE International Workshop on Information Forensics and Security (WIFS),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9932430538095897914,8,2015
"Privacy protecting, intelligibility preserving video surveillance","N Ruchaud, JL Dugelay","2016 IEEE International Conference on Multimedia & Expo Workshops (ICMEW), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7907159674516995612,7,2016
The impact of privacy protection filters on gender recognition,"N Ruchaud, G Antipov, P Korshunov, JL Dugelay, T Ebrahimi, SA Berrani","SPIE Optical Engineering+ Applications, 959906-959906-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7554200540676043389,6,2015
Aseppi: Robust privacy protection against de-anonymization attacks,"N Ruchaud, JL Dugelay",2017 IEEE Conference on Computer Vision and Pattern Recognition Workshops …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6401390063407623689,4,2017
Overview of the MediaEval 2015 Drone Protect Task.,"A Badii, P Korshunov, H Oudi, T Ebrahimi, T Piatrik, V Eiselein, ...",MediaEval,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12060365946635776232,4,2015
Automatic Face Anonymization in Visual Data: Are we really well protected?,"N Ruchaud, JL Dugelay","Electronic Imaging 2016 (15), 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7980877935451660694,3,2016
De-genderization by body contours reshaping,"N Ruchaud, JL Dugelay","ISBA, IEEE International Conference on Identity, Security and Behavior …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12611742667196523870,2,2017
"Stereo reconstruction of semiregular meshes, and multiresolution analysis for automatic detection of dents on surfaces","JL Peyrot, F Payan, N Ruchaud, M Antonini","2014 IEEE International Conference on Image Processing (ICIP), 5417-5421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16078921555826942838,2,2014
JPEG-based scalable privacy protection and image data utility preservation,"N Ruchaud, JL Dugelay","IET Signal Processing 12 (7), 881-887",,0,2018
"ASePPI, an adaptive scrambling enabling privacy protection and intelligibility in H. 264/AVC","N Ruchaud, JL Dugelay","2017 25th European Signal Processing Conference (EUSIPCO), 946-950",,0,2017
ASePPI: protéger la vie privée tout en préservant l’utilité de la vidéosurveillance,"N RUCHAUD, JL DUGELAY",,,0,0
