Title,Authors,Platform,Cited_url,Cited_count,Year
MRI measures of middle cerebral artery diameter in conscious humans during simulated orthostasis,"JM Serrador, PA Picot, BK Rutt, JK Shoemaker, RL Bondar","Stroke 31 (7), 1672-1678",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16140381586248710592,685,2000
Rapid combined ,"SCL Deoni, BK Rutt, TM Peters",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18395545930754717948,632,2003
Experimental determination of the BOLD field strength dependence in vessels and tissue,"JS Gati, RS Menon, K Uǧurbil, BK Rutt","Magnetic resonance in medicine 38 (2), 296-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16692380380005827702,530,1997
High‐resolution ,"SCL Deoni, TM Peters, BK Rutt",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11405594957039821706,357,2005
Gleaning multicomponent ,"SCL Deoni, BK Rutt, T Arun, C Pierpaoli, DK Jones",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2898538857348796455,353,2008
Characterization of common carotid artery blood-flow waveforms in normal human subjects,"DW Holdsworth, CJD Norley, R Frayne, DA Steinman, BK Rutt","Physiological measurement 20 (3), 219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9903890329044480008,347,1999
Hemodynamics of human carotid artery bifurcations: computational studies with models reconstructed from magnetic resonance imaging of normal subjects,"JS Milner, JA Moore, BK Rutt, DA Steinman","Journal of vascular surgery 28 (1), 143-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2987606787303551616,346,1998
Polyvinyl alcohol cryogel: an ideal phantom material for MR studies of arterial flow and elasticity,"KC Chu, BK Rutt","Magnetic Resonance in Medicine 37 (2), 314-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10624579159582052777,298,1997
In vivo magnetic resonance imaging of single cells in mouse brain with optical validation,"C Heyn, JA Ronald, LT Mackenzie, IC MacDonald, AF Chambers, BK Rutt, ...",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10326792233364031543,294,2006
Temporal sampling requirements for the tracer kinetics modeling of breast disease,"E Henderson, BK Rutt, TY Lee","Magnetic resonance imaging 16 (9), 1057-1073",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4038496632604163596,286,1998
Application of the static dephasing regime theory to superparamagnetic iron‐oxide loaded cells,"CV Bowen, X Zhang, G Saab, PJ Gareau, BK Rutt",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9360530427123874989,285,2002
Reconstruction of carotid bifurcation hemodynamics and wall thickness using computational fluid dynamics and MRI,"DA Steinman, JB Thomas, HM Ladak, JS Milner, BK Rutt, JD Spence",Magnetic Resonance in Medicine: An Official Journal of the International …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10975294238495202225,5876835637625056693",274,2002
In vivo MRI of cancer cell fate at the single‐cell level in a mouse model of breast cancer metastasis to the brain,"C Heyn, JA Ronald, SS Ramadan, JA Snir, AM Barry, LT MacKenzie, ...",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7182852080485195680,270,2006
Detection threshold of single SPIO‐labeled cells with FIESTA,"C Heyn, CV Bowen, BK Rutt, PJ Foster",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7375475972977712049,249,2005
Imaging single mammalian cells with a 1.5 T clinical MRI scanner,"P Foster‐Gareau, C Heyn, A Alejski, BK Rutt",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7948831237963104411,238,2003
Variation in the carotid bifurcation geometry of young versus older adults: implications for geometric risk of atherosclerosis,"JB Thomas, L Antiga, SL Che, JS Milner, DA Hangan Steinman, ...","Stroke 36 (11), 2450-2456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8540915690247099534,216,2005
Magnetization transfer and multicomponent T2 relaxation measurements with histopathologic correlation in an experimental model of MS,"PJ Gareau, BK Rutt, SJ Karlik, JR Mitchell",Journal of Magnetic Resonance Imaging: An Official Journal of the …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17595936314473086491,198,2000
Quantitative assessment of carotid plaque composition using multicontrast MRI and registered histology,"SE Clarke, RR Hammond, JR Mitchell, BK Rutt",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4816029556944667705,188,2003
"Simultaneous MRI measurement of blood flow, blood volume, and capillary permeability in mammary tumors using two different contrast agents","E Henderson, J Sykes, D Drost, HJ Weinmann, BK Rutt, TY Lee","Journal of Magnetic Resonance Imaging 12 (6), 991-1003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1115409698300107814,169,2000
A transmit‐only/receive‐only (TORO) RF system for high‐field MRI/MRS applications,"EA Barberi, JS Gati, BK Rutt, RS Menon",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=140828585871449010,166,2000
Imaging islets labeled with magnetic nanoparticles at 1.5 Tesla,"JH Tai, P Foster, A Rosales, B Feng, C Hasilo, V Martinez, S Ramadan, ...","Diabetes 55 (11), 2931-2938",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3442194030760405463,162,2006
A fast 3D look-locker method for volumetric T1 mapping,"E Henderson, G McKinnon, TY Lee, BK Rutt","Magnetic resonance imaging 17 (8), 1163-1171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10525925132690077511,150,1999
Biodistribution of neural stem cells after intravascular therapy for hypoxic–ischemia,"AV Pendharkar, JY Chua, RH Andres, N Wang, X Gaeta, H Wang, A De, ...","Stroke 41 (9), 2064-2070",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16620725854727502353,147,2010
Thematic review series: Adipocyte Biology. Lipodystrophies: windows on adipose biology and metabolism,"RA Hegele, TR Joy, SA Al-Attar, BK Rutt","Journal of lipid research 48 (7), 1433-1444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15471031368762269114,147,2007
Cellular MRI contrast via coexpression of transferrin receptor and ferritin,"AE Deans, YZ Wadghiri, LM Bernas, X Yu, BK Rutt, DH Turnbull",Magnetic Resonance in Medicine: An Official Journal of the International …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11911253667493318529,141,2006
Reproducibility of image-based computational fluid dynamics models of the human carotid bifurcation,"JB Thomas, JS Milner, BK Rutt, DA Steinman","Annals of biomedical engineering 31 (2), 132-141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9494819512787991280,124,2003
Enhanced cell uptake of superparamagnetic iron oxide nanoparticles functionalized with dendritic guanidines,"AL Martin, LM Bernas, BK Rutt, PJ Foster, ER Gillies","Bioconjugate chemistry 19 (12), 2375-2384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6256468591740564943,123,2008
CLINICAL PERSPECTIVE,"JA Ronald, JW Chen, Y Chen, AM Hamilton, E Rodriguez, F Reynolds, ...","Circulation 120 (7), 592-599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13984862457142836691,122,2009
Effects of polar sampling in ,"ML Lauzon, BK Rutt","Magnetic resonance in medicine 36 (6), 940-949",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16558913679087128145,120,1996
