Title,Authors,Platform,Cited_url,Cited_count,Year
The Wnt signaling pathway in development and disease,"CY Logan, R Nusse","Annu. Rev. Cell Dev. Biol. 20, 781-810",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1117521506849790665,5241,2004
Wnt/β-catenin signaling and disease,"H Clevers, R Nusse","Cell 149 (6), 1192-1205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13390992122167810264,3662,2012
Wnt signaling: a common theme in animal development,"KM Cadigan, R Nusse","Genes & development 11 (24), 3286-3305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2922569732945824554,2972,1997
"Convergence of Wnt, ß-catenin, and cadherin pathways","WJ Nelson, R Nusse","Science 303 (5663), 1483-1487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6922390368337023434,2884,2004
A role for Wnt signalling in self-renewal of haematopoietic stem cells,"T Reya, AW Duncan, L Ailles, J Domen, DC Scherer, K Willert, L Hintz, ...","Nature 423 (6938), 409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10327891984542063358,2470,2003
Wnt proteins are lipid-modified and can act as stem cell growth factors,"K Willert, JD Brown, E Danenberg, AW Duncan, IL Weissman, T Reya, ...","Nature 423 (6938), 448",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2082916327809577124,2391,2003
Mechanisms of Wnt signaling in development,"A Wodarz, R Nusse","Annual review of cell and developmental biology 14 (1), 59-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16313904481436143146,2289,1998
Many tumors induced by the mouse mammary tumor virus contain a provirus integrated in the same region of the host genome,"R Nusse, HE Varmus","Cell 31 (1), 99-109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10538193730739797154,1988,1982
Molecular distinction and angiogenic interaction between embryonic arteries and veins revealed by ephrin-B2 and its receptor Eph-B4,"HU Wang, ZF Chen, DJ Anderson","Cell 93 (5), 741-753","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12559474471783217177,17798072936918621175",1777,1998
A new member of the frizzled family from Drosophila functions as a Wingless receptor,"P Bhanot, M Brink, CH Samos, JC Hsieh, Y Wang, JP Macke, D Andrew, ...","Nature 382 (6588), 225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10689656189171449805,1715,1996
"Wnt signaling: multiple pathways, multiple receptors, and multiple transcription factors","MD Gordon, R Nusse","Journal of Biological Chemistry 281 (32), 22429-22433",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2747242478225829088,1373,2006
Purified Wnt5a protein activates or inhibits β-catenin–TCF signaling depending on receptor context,"AJ Mikels, R Nusse","PLoS biology 4 (4), e115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3153659455459349966,1183,2006
The Drosophila homology of the mouse mammary oncogene int-1 is identical to the segment polarity gene wingless,"F Rijsewijk, M Schuermann, E Wagenaar, P Parren, D Weigel, R Nusse","Cell 50 (4), 649-657",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12561480553156627074,1097,1987
Wnt genes,"R Nusse, HE Varmus","Cell 69 (7), 1073-1087",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12459710737884839973,1091,1992
Towards an integrated view of Wnt signaling in development,"R van Amerongen, R Nusse","Development 136 (19), 3205-3214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9915510165807310534,1061,2009
Wnt signaling in disease and in development,R Nusse,"Cell research 15 (1), 28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12833211029998482783,1032,2005
Neu-protein overexpression in breast cancer,"MJ van de Vijver, JL Peterse, WJ Mooi, P Wisman, J Lomans, O Dalesio, ...","New England Journal of Medicine 319 (19), 1239-1245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15830632729836608563,932,1988
Ablation of insulin-producing neurons in flies: growth and diabetic phenotypes,"EJ Rulifson, SK Kim, R Nusse","Science 296 (5570), 1118-1120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1436614112940111303,923,2002
Construction of transgenic Drosophila by using the site-specific integrase from phage φC31,"AC Groth, M Fish, R Nusse, MP Calos","Genetics 166 (4), 1775-1782",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=766734083549056058,913,2004
β-catenin: a key mediator of Wnt signaling,"K Willert, R Nusse","Current opinion in genetics & development 8 (1), 95-102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6654990766071083781,850,1998
"Wnt/β-catenin signaling, disease, and emerging therapeutic modalities","R Nusse, H Clevers","Cell 169 (6), 985-999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4399897905598772364,767,2017
Wnt signaling and stem cell control,"R Nusse, C Fuerer, W Ching, K Harnish, C Logan, A Zeng, D Ten Berge, ...","Cold Spring Harbor symposia on quantitative biology 73, 59-66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3336975615214492118,763,2008
A new secreted protein that binds to Wnt proteins and inhibits their activites,"JC Hsieh, L Kodjabachian, ML Rebbert, A Rattner, PM Smallwood, ...","Nature 398 (6726), 431",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14557883352007823582,763,1999
Mode of proviral activation of a putative mammary oncogene (int-1) on mouse chromosome 15,"R Nusse, A van Ooyen, D Cox, YKT Fung, H Varmus","Nature 307 (5947), 131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7661220793407033533,664,1984
An integral program for tissue renewal and regeneration: Wnt signaling and stem cell control,"H Clevers, KM Loh, R Nusse","science 346 (6205), 1248012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2993378736700196855,647,2014
Essential requirement for Wnt signaling in proliferation of adult small intestine and colon revealed by adenoviral expression of Dickkopf-1,"F Kuhnert, CR Davis, HT Wang, P Chu, M Lee, J Yuan, R Nusse, CJ Kuo","Proceedings of the National Academy of Sciences 101 (1), 266-271",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5940249414891406426,624,2004
Telomerase modulates Wnt signalling by association with target gene chromatin,"JI Park, AS Venteicher, JY Hong, J Choi, S Jun, M Shkreli, W Chang, ...","Nature 460 (7251), 66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13681162972602872151,566,2009
Wnt signaling regulates B lymphocyte proliferation through a LEF-1 dependent mechanism,"T Reya, M O'Riordan, R Okamura, E Devaney, K Willert, R Nusse, ...","Immunity 13 (1), 15-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5882053353459877954,472,2000
The dishevelled protein is modified by wingless signaling in Drosophila.,"S Yanagawa, F Van Leeuwen, A Wodarz, J Klingensmith, R Nusse","Genes & Development 9 (9), 1087-1097",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6805026154687947614,444,1995
A transcriptional response to Wnt protein in human embryonic carcinoma cells,"J Willert, M Epping, JR Pollack, PO Brown, R Nusse","BMC developmental biology 2 (1), 8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11484881566952875357,439,2002
Distribution of the wingless gene product in Drosophila embryos: a protein involved in cell-cell communication,"M van den Heuvel, R Nusse, P Johnston, PA Lawrence","Cell 59 (4), 739-749",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17196744520545144029,437,1989
The Drosophila segment polarity gene dishevelled encodes a novel protein required for response to the wingless signal.,"J Klingensmith, R Nusse, N Perrimon","Genes & development 8 (1), 118-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14735057143350948710,413,1994
Embryonic stem cells require Wnt proteins to prevent differentiation to epiblast stem cells,"D Ten Berge, D Kurek, T Blauwkamp, W Koole, A Maas, E Eroglu, RK Siu, ...","Nature cell biology 13 (9), 1070",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7607140980359223343,399,2011
dishevelled and armadillo act in the wingless signalling pathway in Drosophila,"J Noordermeer, J Klingensmith, N Perrimon, R Nusse","Nature 367 (6458), 80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14585606529815308210,396,1994
"Wnts as ligands: processing, secretion and reception","AJ Mikels, R Nusse","Oncogene 25 (57), 7461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9244520688172692026,393,2006
Dishevelled 2 recruits ß-arrestin 2 to mediate Wnt5A-stimulated endocytosis of Frizzled 4,"W Chen, D ten Berge, J Brown, S Ahn, LA Hu, WE Miller, MG Caron, ...","Science 301 (5638), 1391-1394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7979651134764957667,393,2003
A new nomenclature for int-1 and related genes: the Wnt gene family,"R Nusse, A Brown, J Papkoff, P Scambler, G Shackleford, A McMahon, ...","Cell 64 (2), 231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2042900037925875234,392,1991
Wnt signaling mediates self-organization and axis formation in embryoid bodies,"D ten Berge, W Koole, C Fuerer, M Fish, E Eroglu, R Nusse","Cell stem cell 3 (5), 508-518",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10811814571549526119,383,2008
Amplification of the neu (c-erbB-2) oncogene in human mammmary tumors is relatively frequent and is often accompanied by amplification of the linked c-erbA oncogene.,"M Van de Vijver, R Van de Bersselaar, P Devilee, C Cornelisse, J Peterse, ...","Molecular and cellular biology 7 (5), 2019-2023",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6201922398113238748,380,1987
Wnt-induced dephosphorylation of axin releases β-catenin from the axin complex,"K Willert, S Shibamoto, R Nusse","Genes & development 13 (14), 1768-1773",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2238723964927391447,376,1999
Wnt proteins are self-renewal factors for mammary stem cells and promote their long-term expansion in culture,"YA Zeng, R Nusse","Cell stem cell 6 (6), 568-577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17076349995398359759,363,2010
