Title,Authors,Platform,Cited_url,Cited_count,Year
Fermi large area telescope second source catalog,"PL Nolan, AA Abdo, M Ackermann, M Ajello, A Allafort, E Antolini, ...","The Astrophysical Journal Supplement Series 199 (2), 31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14200394053579205515,1470,2012
Fermi large area telescope third source catalog,"F Acero, M Ackermann, M Ajello, A Albert, WB Atwood, M Axelsson, ...","The Astrophysical Journal Supplement Series 218 (2), 23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11711056510126736734,1400,2015
Fermi large area telescope first source catalog,"AA Abdo, M Ackermann, M Ajello, A Allafort, E Antolini, WB Atwood, ...","The Astrophysical Journal Supplement Series 188 (2), 405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15236665364345628976,1210,2010
Searching for dark matter annihilation from Milky Way dwarf spheroidal galaxies with six years of Fermi Large Area Telescope data,"M Ackermann, A Albert, B Anderson, WB Atwood, L Baldini, G Barbiellini, ...","Physical Review Letters 115 (23), 231301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5328729700123796938,756,2015
Measurement of separate cosmic-ray electron and positron spectra with the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Allafort, WB Atwood, L Baldini, G Barbiellini, ...","Physical review letters 108 (1), 011103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5119251917792196274,702,2012
Detection of the characteristic pion-decay signature in supernova remnants,"M Ackermann, M Ajello, A Allafort, L Baldini, J Ballet, G Barbiellini, ...","Science 339 (6121), 807-811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15416450853716343624,699,2013
The second catalog of active galactic nuclei detected by the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Allafort, E Antolini, WB Atwood, M Axelsson, ...","The Astrophysical Journal 743 (2), 171","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2319836680806026192,2664564787759271462,16007385225674043716",676,2011
Constraining dark matter models from a combined analysis of Milky Way satellites with the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Albert, WB Atwood, L Baldini, J Ballet, ...","Physical Review Letters 107 (24), 241302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7747471527448382382,652,2011
Fermi-LAT observations of the diffuse γ-ray emission: Implications for cosmic rays and the interstellar medium,"M Ackermann, M Ajello, WB Atwood, L Baldini, J Ballet, G Barbiellini, ...","The Astrophysical Journal 750 (1), 3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5675265881337331575,590,2012
Dark matter constraints from observations of 25 Milky Way satellite galaxies with the Fermi Large Area Telescope,"M Ackermann, A Albert, B Anderson, L Baldini, J Ballet, G Barbiellini, ...","Physical Review D 89 (4), 042001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4613797567194975343,528,2014
The spectrum of isotropic diffuse gamma-ray emission between 100 MeV and 820 GeV,"M Ackermann, M Ajello, A Albert, WB Atwood, L Baldini, J Ballet, ...","The Astrophysical Journal 799 (1), 86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5523281043893997552,490,2015
The third catalog of active galactic nuclei detected by the Fermi Large Area Telescope,"M Ackermann, M Ajello, WB Atwood, L Baldini, J Ballet, G Barbiellini, ...","The Astrophysical Journal 810 (1), 14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7834714520075309113,442,2015
Gamma-ray flares from the Crab Nebula,"AA Abdo, M Ackermann, M Ajello, A Allafort, L Baldini, J Ballet, ...","Science 331 (6018), 739-742",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15247192976941754388,369,2011
Fermi-LAT observations of high-energy γ-ray emission toward the galactic center,"M Ajello, A Albert, WB Atwood, G Barbiellini, D Bastieri, K Bechtol, ...","The Astrophysical Journal 819 (1), 44",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1260414147845748702,321,2016
Search for gamma-ray spectral lines with the Fermi Large Area Telescope and dark matter implications,"M Ackermann, M Ajello, A Albert, A Allafort, L Baldini, G Barbiellini, ...","Physical Review D 88 (8), 082002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4843942089175097838,312,2013
Fermi LAT search for dark matter in gamma-ray lines and the inclusive photon spectrum,"M Ackermann, M Ajello, A Albert, L Baldini, G Barbiellini, K Bechtol, ...","Physical Review D 86 (2), 022002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4602643003218770745,290,2012
GeV observations of star-forming galaxies with the Fermi large area telescope,"M Ackermann, M Ajello, A Allafort, L Baldini, J Ballet, D Bastieri, K Bechtol, ...","The Astrophysical Journal 755 (2), 164","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16157355969547088774,5599996734493207307",278,2012
The first Fermi-LAT gamma-ray burst catalog,"M Ackermann, M Ajello, K Asano, M Axelsson, L Baldini, J Ballet, ...","The Astrophysical Journal Supplement Series 209 (1), 11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3461896092708549411,274,2013
Observations of the young supernova remnant RX J1713. 7–3946 with the Fermi Large Area Telescope,"AA Abdo, M Ackermann, M Ajello, A Allafort, L Baldini, J Ballet, ...","The Astrophysical Journal 734 (1), 28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15057690367684009414,274,2011
Fermi Large Area Telescope observations of markarian 421: The missing piece of its spectral energy distribution,"AA Abdo, M Ackermann, M Ajello, L Baldini, J Ballet, G Barbiellini, ...","The Astrophysical Journal 736 (2), 131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17196440742271786110,273,2011
The spectrum and morphology of the Fermi bubbles,"M Ackermann, A Albert, WB Atwood, L Baldini, J Ballet, G Barbiellini, ...","The Astrophysical Journal 793 (1), 64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6934532430871279465,268,2014
Development of the model of galactic interstellar emission for standard point-source analysis of Fermi large area telescope data,"F Acero, M Ackermann, M Ajello, A Albert, L Baldini, J Ballet, G Barbiellini, ...","The Astrophysical Journal Supplement Series 223 (2), 26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14494891516229559933,258,2016
Updated search for spectral lines from Galactic dark matter interactions with pass 8 data from the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Albert, B Anderson, WB Atwood, L Baldini, ...","Physical Review D 91 (12), 122002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16356286857210574068,256,2015
