Title,Authors,Platform,Cited_url,Cited_count,Year
Encyclopedia of Nanoscience and Nanotechnology; Volume 10,HS Nalwa,American scientific publishers,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1818223449015974353,9710682606639038015,8612142003581491690,4597511682912094981,5313280387082093338,5597372239440174423,7110658414537668120",1646,2004
Radiation effects in crystalline ceramics for the immobilization of high-level nuclear waste and plutonium,"WJ Weber, RC Ewing, CRA Catlow, TD De La Rubia, LW Hobbs, ...","Journal of Materials Research 13 (6), 1434-1484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12557950772926106413,875,1998
Nuclear waste disposal—pyrochlore ,"RC Ewing, WJ Weber, J Lian","Journal of Applied Physics 95 (11), 5949-5971",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14727212196996346935,848,2004
"The crystal chemistry of hexavalent uranium: polyhedron geometries, bond-valence parameters, and polymerization of polyhedra","PC Burns, RC Ewing, FC Hawthorne","Canadian Mineralogist 35, 1551-1570",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17663201151892498413,800,1997
Radiation effects in nuclear waste forms for high-level radioactive waste,"RC Ewing, WJ Weber, FW Clinard Jr","Progress in nuclear energy 29 (2), 63-127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=705179668943411831,655,1995
Infection of phytoplankton by viruses and reduction of primary productivity,"CA Suttle, AM Chan, MT Cottrell","Nature 347 (6292), 467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17709440673253215036,600,1990
Radioactive waste forms for the future,"W Lutze, RC Ewing",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17841386213424091543,507,1988
Solubility of gold in arsenian pyrite,"M Reich, SE Kesler, S Utsunomiya, CS Palenik, SL Chryssoulis, ...","Geochimica et Cosmochimica Acta 69 (11), 2781-2796",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18266204886013462190,502,2005
Alpha-decay event damage in zircon,"T Murakami, BC Chakoumakos, RC Ewing, GR Lumpkin, WJ Weber","American Mineralogist 76 (9-10), 1510-1532",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3924747505501748846,431,1991
U (super 6+) minerals and inorganic phases; a comparison and hierarchy of crystal structures,"PC Burns, ML Miller, RC Ewing","The Canadian Mineralogist 34 (4), 845-880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14479241486416118634,429,1996
Radiation stability of gadolinium zirconate: a waste form for plutonium disposition,"SX Wang, BD Begg, LM Wang, RC Ewing, WJ Weber, KVG Kutty","Journal of Materials Research 14 (12), 4470-4473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10787709173131024266,412,1999
Radiation effects in glasses used for immobilization of high-level waste and plutonium disposition,"WJ Weber, RC Ewing, CA Angell, GW Arnold, AN Cormack, JM Delaye, ...","Journal of Materials Research 12 (8), 1948-1978",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2467959851876000330,406,1997
"Colloid transport of plutonium in the far-field of the Mayak Production Association, Russia","AP Novikov, SN Kalmykov, S Utsunomiya, RC Ewing, F Horreard, ...","Science 314 (5799), 638-641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10314919376461306725,400,2006
Nuclear waste forms for actinides,RC Ewing,"Proceedings of the National Academy of Sciences 96 (7), 3432-3439",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4299283181029866571,400,1999
The radiation-induced crystalline-to-amorphous transition in zircon,"WJ Weber, RC Ewing, LM Wang","Journal of Materials Research 9 (3), 688-698",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8372558611965567503,393,1994
The corrosion of uraninite under oxidizing conditions,"RJ Finch, RC Ewing","Journal of Nuclear Materials 190, 133-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9459206393765736562,374,1992
Radiation damage in zircon and monazite,"A Meldrum, LA Boatner, WJ Weber, RC Ewing","Geochimica et Cosmochimica Acta 62 (14), 2509-2520",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2658403852956137118,347,1998
