Title,Authors,Platform,Cited_url,Cited_count,Year
Winnowing: local algorithms for document fingerprinting,"S Schleimer, DS Wilkerson, A Aiken",Proceedings of the 2003 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15531635073862264328,1300,2003
A First Step Towards Automated Detection of Buffer Overrun Vulnerabilities.,"DA Wagner, JS Foster, EA Brewer, A Aiken","NDSS, 2000-02",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17262100897237995449,943,2000
Scalable statistical bug isolation,"B Liblit, M Naik, AX Zheng, A Aiken, MI Jordan","Acm Sigplan Notices 40 (6), 15-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10828310841273541921,875,2005
Bug Isolation via Remote Program Sampling,A Aiken,Proceedings of the ACM SIGPLAN 2003 Conference on Programming Language …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4312323899178748607,6784595733186703946",682,2003
Titanium: a high‐performance Java dialect,"K Yelick, L Semenzato, G Pike, C Miyamoto, B Liblit, A Krishnamurthy, ...","Concurrency and Computation: Practice and Experience 10 (11‐13), 825-836",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9106964012460968998,652,1998
Sequoia: programming the memory hierarchy,"K Fatahalian, DR Horn, TJ Knight, L Leem, M Houston, JY Park, M Erez, ...","Proceedings of the 2006 ACM/IEEE Conference on Supercomputing, 83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17056421116815730373,595,2006
Effective static race detection for Java,"M Naik, A Aiken, J Whaley","ACM Sigplan Notices 41 (6), 308-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17846737599902958449,577,2006
Static Detection of Security Vulnerabilities in Scripting Languages.,"Y Xie, A Aiken","USENIX Security Symposium 15, 179-192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4592457517669371244,462,2006
Flow-sensitive type qualifiers,"JS Foster, T Terauchi, A Aiken","ACM SIGPLAN Notices 37 (5), 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3750604795051928557,422,2002
Type inclusion constraints and type inference,"A Aiken, EL Wimmers","FPCA 93, 31-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14141309422577653625,408,1993
Legion: Expressing locality and independence with logical regions,"M Bauer, S Treichler, E Slaughter, A Aiken",SC'12: Proceedings of the International Conference on High Performance …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11545629441140746019,401,2012
Optimal loop parallelization,"A Aiken, A Nicolau",Cornell University,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5418482017239191930,354,1988
A theory of type qualifiers,"JS Foster, M Fähndrich, A Aiken","ACM SIGPLAN Notices 34 (5), 192-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12914813087052097456,347,1999
Apposcopy: Semantics-based detection of android malware through static analysis,"Y Feng, S Anand, I Dillig, A Aiken",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15404927880362883152,310,2014
"Behavior of database production rules: Termination, confluence, and observable determinism","A Aiken, J Widom, JM Hellerstein","ACM SIGMOD Record 21 (2), 59-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15966427785111056152,310,1992
Soft typing with conditional types,"A Aiken, EL Wimmers, TK Lakshman",Proceedings of the 21st ACM SIGPLAN-SIGACT symposium on Principles of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14160489224126597751,295,1994
Secure information flow as a safety problem,"T Terauchi, A Aiken","International Static Analysis Symposium, 352-367",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12298866554709865658,273,2005
Attack-Resistant Trust Metrics for Public Key Certification.,"R Levien, A Aiken","USENIX Security Symposium, 229-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=318996448053472927,273,1998
Memory management with explicit regions,"D Gay, A Aiken","ACM SIGPLAN Notices 33 (5), 313-323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=448690512026259107,257,1998
Liszt: a domain specific language for building portable mesh-based PDE solvers,"Z DeVito, N Joubert, F Palacios, S Oakley, M Medina, M Barrientos, ...",Proceedings of 2011 International Conference for High Performance Computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11546469924168842438,256,2011
Partial online cycle elimination in inclusion constraint graphs,"M Fähndrich, JS Foster, Z Su, A Aiken","ACM SIGPLAN Notices 33 (5), 85-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14651964035644456478,250,1998
Scalable error detection using boolean satisfiability,"Y Xie, A Aiken","Acm Sigplan Notices 40 (1), 351-363",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3669922566477457583,237,2005
Perfect pipelining: A new loop parallelization technique,"A Aiken, A Nicolau","European Symposium on Programming, 221-235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14493689030753509365,237,1988
Static analysis techniques for predicting the behavior of active database rules,"A Aiken, JM Hellerstein, J Widom","ACM Transactions on Database Systems (TODS) 20 (1), 3-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17351492385617906124,221,1995
Conditional must not aliasing for static race detection,"M Naik, A Aiken","ACM SIGPLAN Notices 42 (1), 327-338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7736414747285590777,216,2007
Solving systems of set constraints,"A Aiken, EL Wimmers",[1992] Proceedings of the Seventh Annual IEEE Symposium on Logic in Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11857407415186096779,199,1992
Stochastic superoptimization,"E Schkufza, R Sharma, A Aiken","ACM SIGPLAN Notices 48 (4), 305-316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5109458307600639962,194,2013
Introduction to set constraint-based program analysis,A Aiken,"Science of Computer Programming 35 (2-3), 79-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1853031590990028340,190,1999
