Title,Authors,Platform,Cited_url,Cited_count,Year
Evaluation of solution-processed reduced graphene oxide films as transparent conductors,"HA Becerril, J Mao, Z Liu, RM Stoltenberg, Z Bao, Y Chen","ACS nano 2 (3), 463-470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2998491581593518586,2939,2008
Soluble and processable regioregular poly (3‐hexylthiophene) for thin film field‐effect transistor applications with high mobility,"Z Bao, A Dodabalapur, AJ Lovinger","Applied Physics Letters 69 (26), 4108-4110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1720537853297968975,2079,1996
Skin-like pressure and strain sensors based on transparent elastic films of carbon nanotubes,"DJ Lipomi, M Vosgueritchian, BCK Tee, SL Hellstrom, JA Lee, CH Fox, ...","Nature nanotechnology 6 (12), 788",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12043729840534183781,2076,2011
Highly sensitive flexible pressure sensors with microstructured rubber dielectric layers,"SCB Mannsfeld, BCK Tee, RM Stoltenberg, CVHH Chen, S Barman, ...","Nature materials 9 (10), 859",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5647043825694756023,1760,2010
Large-scale complementary integrated circuits based on organic transistors,"B Crone, A Dodabalapur, YY Lin, RW Filas, Z Bao, A LaDuca, ...","Nature 403 (6769), 521-523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17389943499090480496,1422,2000
"25th anniversary article: the evolution of electronic skin (e‐skin): a brief history, design considerations, and recent progress","ML Hammock, A Chortos, BCK Tee, JBH Tok, Z Bao","Advanced materials 25 (42), 5997-6038",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11216848713417153589,1237,2013
like electronic displays: Large-area rubber-stamped plastic sheets of electronics and microencapsulated electrophoretic inks,"JA Rogers, Z Bao, K Baldwin, A Dodabalapur, B Crone, VR Raju, V Kuck, ...","Proceedings of the National Academy of Sciences 98 (9), 4835-4840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12727594128665967358,1216,2001
Flexible polymer transistors with high pressure sensitivity for application in electronic skin and health monitoring,"G Schwartz, BCK Tee, J Mei, AL Appleton, DH Kim, H Wang, Z Bao","Nature communications 4, 1859",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8612285691744593456,1114,2013
Solution-Processed Graphene/MnO,"G Yu, L Hu, M Vosgueritchian, H Wang, X Xie, JR McDonough, X Cui, ...","Nano letters 11 (7), 2905-2911",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11589113974025228359,1103,2011
"Synthetic chemistry for ultrapure, processable, and high-mobility organic transistor semiconductors","HE Katz, Z Bao, SL Gilat","Accounts of Chemical Research 34 (5), 359-369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2171367087376775272,1024,2001
