Title,Authors,Platform,Cited_url,Cited_count,Year
Coesite-bearing eclogite from the Dabie Mountains in central China,"X Wang, JG Liou, HK Mao","Geology 17 (12), 1085-1088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18337433453513525613,732,1989
Blueschists and eclogites of the world and their exhumation,"S Maruyama, JG Liou, M Terabayashi","International geology review 38 (6), 485-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7913602578034524871,600,1996
An outline of the plate tectonics of China,"ZM Zhang, JG Liou, RG Coleman","Geological Society of America Bulletin 95 (3), 295-312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3978931918026733282,599,1984
High-pressure minerals from deeply subducted metamorphic rocks,JG Liou,"Ultrahigh-pressure mineralogy, 33-96","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1274910208764238554,3970718011904011605",465,1998
"Petrology of ultrahigh‐pressure rocks from the southern Su‐Lu region, eastern China","RUY ZHANG, T Hirajima, S Banno, B Cong, JG Liou","Journal of Metamorphic Geology 13 (6), 659-675",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7844523041829603213,357,1995
Phase equilibria and mixed parageneses of metabasites in lowgrade metamorphism,"JG Liou, S Maruyama, M Cho","Mineralogical Magazine 49 (352), 321-333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3672001062833938715,342,1985
Contrasting plate-tectonic styles of the Qinling-Dabie-Sulu and Franciscan metamorphic belts,"WG Ernst, JG Liou","Geology 23 (4), 353-356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14124387651532758162,328,1995
Global UHP metamorphism and continental subduction/collision: the Himalayan model,"JG Liou, T Tsujimori, RY Zhang, I Katayama, S Maruyama","International Geology Review 46 (1), 1-27","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9035231778798278499,932147359022729874",326,2004
Experimental studies of the phase relations between greenschist and amphibolite in a basaltic system,"JG Liou, S Kuniyoshi, K Ito","American Journal of Science 274 (6), 613-632",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6377863268809166201,318,1974
A new petrogenetic grid for low‐grade metabasites,"M Frey, C Capitani, JG Liou","Journal of Metamorphic Geology 9 (4), 497-509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4490224636263352147,314,1991
"P—T Stabilities of Laumontite, Wairakite, Lawsonite, and Related Minerals in the System CaAl2Si2O8-SiO2-H2O",JG Liou,"Journal of Petrology 12 (2), 379-411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6190217953125366570,314,1971
"Triassic collision of western Tianshan orogenic belt, China: evidence from SHRIMP U–Pb dating of zircon from HP/UHP eclogitic rocks","L Zhang, Y Ai, X Li, D Rubatto, B Song, S Williams, S Song, D Ellis, ...","Lithos 96 (1-2), 266-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15629282553123107675,290,2007
"Regional ultrahigh-pressure coesite-bearing eclogitic terrane in central China: evidence from country rocks, gneiss, marble, and metapelite","X Wang, JG Liou","Geology 19 (9), 933-936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15237038236167263459,285,1991
"SHRIMP U–Pb ages of ultrahigh‐pressure and retrograde metamorphism of gneisses, south‐western Sulu terrane, eastern China","F Liu, Z Xu, JG Liou, B Song","Journal of Metamorphic Geology 22 (4), 315-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11237845243706180081,284,2004
"Synthesis and stability relations of epidote, Ca2Al2FeSi3O12 (OH)",JG Liou,"Journal of Petrology 14 (3), 381-413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2221968979522216805,283,1973
"Metamorphism and tectonics of high-pressure and ultra-high-pressure belts in the Dabie-Sulu region, China",JG Liou,The tectonic evolution of Asia,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9126497303150651511,277,1996
Ultrahigh-pressure minerals and metamorphic terranes–the view from China,"JG Liou, WG Ernst, RY Zhang, T Tsujimori, BM Jahn","Journal of Asian Earth Sciences 35 (3-4), 199-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3091995495467535987,273,2009
"Petrochemical constraints for dual origin of garnet peridotites from the Dabie-Sulu UHP terrane, eastern-central China",RY Zhang,"J. Metamorphic Geol. 18, 149-166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14134693215647357300,271,2000
The Dabie–Sulu continental collision zone: a comprehensive review,"RY Zhang, JG Liou, WG Ernst","Gondwana Research 16 (1), 1-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18341607077258651433,269,2009
Zircon as the best mineral for ,"FL Liu, JG Liou","Journal of Asian Earth Sciences 40 (1), 1-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=560857223856627773,265,2011
