Title,Authors,Platform,Cited_url,Cited_count,Year
The earth mover's distance as a metric for image retrieval,"Y Rubner, C Tomasi, LJ Guibas","International journal of computer vision 40 (2), 99-121","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10542731551887619271,18083898286369953217",4172,2000
Wireless sensor networks: an information processing approach,"F Zhao, LJ Guibas, L Guibas",Morgan Kaufmann,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1987460348589557815,1993,2004
Primitives for the manipulation of general subdivisions and the computation of Voronoi,"L Guibas, J Stolfi","ACM transactions on graphics (TOG) 4 (2), 74-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7826462381296695723,1850,1985
A metric for distributions with applications to image databases,"Y Rubner, C Tomasi, LJ Guibas",Sixth International Conference on Computer Vision (IEEE Cat. No. 98CH36271 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10060589948641931058,1676,1998
Pointnet: Deep learning on point sets for 3d classification and segmentation,"CR Qi, H Su, K Mo, LJ Guibas",Proceedings of the IEEE Conference on Computer Vision and Pattern …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1958213547177282284,9948468129909567177",1660,2017
Handbook of discrete and computational geometry,"CD Toth, J O'Rourke, JE Goodman",Chapman and Hall/CRC,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7389921783150863989,1544,2017
A concise and provably informative multi‐scale signature based on heat diffusion,"J Sun, M Ovsjanikov, L Guibas","Computer graphics forum 28 (5), 1383-1392",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11757824169843380100,1240,2009
Shapenet: An information-rich 3d model repository,"AX Chang, T Funkhouser, L Guibas, P Hanrahan, Q Huang, Z Li, ...",arXiv preprint arXiv:1512.03012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1341601736562194564,967,2015
Pointnet++: Deep hierarchical feature learning on point sets in a metric space,"CR Qi, L Yi, H Su, LJ Guibas","Advances in neural information processing systems, 5099-5108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12360107934915291237,949,2017
A dichromatic framework for balanced trees,"LJ Guibas, R Sedgewick","19th Annual Symposium on Foundations of Computer Science (sfcs 1978), 8-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15492704282541535846,833,1978
