Title,Authors,Platform,Cited_url,Cited_count,Year
HIV/AIDS Surveillance,"Centers for Disease Control (US), ...","US Department of Health and Human Services, Public Health Service, Centers …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14048413673204201329,17493974753514138721,15785153199624586410,14956378989539888910,12777117604768420579,2697221375965786686,9060208204584853230,15553842373916494594,1929980017103317195,14599334346887664726,623608225435511096,15085433030232254633,8166538656640936976,9933852392514774593,6442624070279451223,4935354231341198992,4210523216926722246,5498913838295672253,16007673487051563031,10982876395671572933,3554404531381445511",13209,1990
2002 guidelines for the use of antimicrobial agents in neutropenic patients with cancer,"WT Hughes, D Armstrong, GP Bodey, EJ Bow, AE Brown, T Calandra, ...","Clinical Infectious Diseases, 730-751",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7326075924658894140,1766,2002
Principles and practice of pediatric oncology,"PA Pizzo, DG Poplack",Lippincott Williams & Wilkins,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2944067521673566773,1379,2015
2006 update of recommendations for the use of white blood cell growth factors: an evidence-based clinical practice guideline,"TJ Smith, J Khatcheressian, GH Lyman, H Ozer, JO Armitage, L Balducci, ...","J Clin Oncol 24 (19), 3187-3205","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7558253280816636875,18414847038795847604",1352,2006
Management of fever in patients with cancer and treatment-induced neutropenia,PA Pizzo,"New England Journal of Medicine 328 (18), 1323-1332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8391969959566769629,1075,1993
Empiric antibiotic and antifungal therapy for cancer patients with prolonged fever and granulocytopenia,"PA Pizzo, KJ Robichaud, FA Gill, FG Witebsky","The American journal of medicine 72 (1), 101-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12591684414967765425,964,1982
Pneumocystis carinii pneumonia: a comparison between patients with the acquired immunodeficiency syndrome and patients with other immunodeficiencies,"JA KOVACS, JW HIEMENZ, ABEM MACHER, D STOVER, HW MURRAY, ...","Annals of internal medicine 100 (5), 663-671",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10597444291167628879,919,1984
"2000 update of recommendations for the use of hematopoietic colony-stimulating factors: evidence-based, clinical practice guidelines. American Society of Clinical Oncology …","H Ozer, JO Armitage, CL Bennett, J Crawford, GD Demetri, PA Pizzo, ...",Journal of clinical oncology: official journal of the American Society of …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14693626060239359437,1649585817286315119,7381255250539897574,15500362879394277483",825,2000
1997 guidelines for the use of antimicrobial agents in neutropenic patients with unexplained fever,"WT Hughes, D Armstrong, GP Bodey, AE Brown, JE Edwards, R Feld, ...","Clinical Infectious Diseases 25 (3), 551-573",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17678842338900312638,718,1997
A randomized trial comparing ceftazidime alone with combination antibiotic therapy in cancer patients with fever and neutropenia,"PA Pizzo, JW Hathorn, J Hiemenz, M Browne, J Commers, D Cotton, ...","New England Journal of Medicine 315 (9), 552-558",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4455849237307935214,701,1986
From the Infectious Diseases Society of America: guidelines for the use of antimicrobial agents in neutropenic patients with unexplained fever,"WT Hughes, D Armstrong, GR Bodey, R Feld, GL Mandell, JD Meyers, ...","Journal of Infectious Diseases 161 (3), 381-396",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3541332139831061473,608,1990
"The character of curriculum studies: Bildung, currere, and the recurring question of the subject",W Pinar,Springer,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6585884911174925908,8693914425008201249,12626934263000779566,9135105900526595830,8996878328490872584,1632547750711155226,4070975826777589064,10997935196947828192",571,2011
Effect of continuous intravenous infusion of zidovudine (AZT) in children with symptomatic HIV infection,"PA Pizzo, J Eddy, J Falloon, FM Balis, RF Murphy, H Moss, P Wolters, ...","New England Journal of Medicine 319 (14), 889-896",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10076079485222618158,560,1988
Lymphoid organs function as major reservoirs for human immunodeficiency virus.,"G Pantaleo, C Graziosi, L Butini, PA Pizzo, SM Schnittman, DP Kotler, ...","Proceedings of the National Academy of Sciences 88 (21), 9838-9842",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14106625397695181444,530,1991
A double-blind comparison of empirical oral and intravenous antibiotic therapy for low-risk febrile patients with neutropenia during cancer chemotherapy,"A Freifeld, D Marchigiani, T Walsh, S Chanock, L Lewis, J Hiemenz, ...","New England Journal of Medicine 341 (5), 305-311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16238474713797578805,480,1999
Hepatic candidiasis in cancer patients: the evolving picture of the syndrome,"M THALER, B PASTAKIA, TH SHAWKER, T O'LEARY, PA PIZZO","Annals of internal medicine 108 (1), 88-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12205649803936779829,440,1988
Fever in immunocompromised patients,PA Pizzo,"New England Journal of Medicine 341 (12), 893-900",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=125031776486109335,373,1999
Vascular catheter-associated fungemia in patients with cancer: analysis of 155 episodes,"JA Lecciones, JW Lee, EE Navarro, FG Witebsky, D Marshall, ...","Clinical infectious diseases 14 (4), 875-883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10272179559583085093,372,1992
Fever in the pediatric and young adult patient with cancer: a prospective study of 1001 episodes,"PA Pizzo, KJ Robichaud, R Wesley, JR Commers","Medicine 61 (3), 153-165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6435853199046021943,370,1982
Dying in America: Improving quality and honoring individual preferences near the end of life,Institute of Medicine (US). Committee on Approaching Death: Addressing Key ...,National Academies Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=399195337648093168,7054604207919752463,5224050856311603800,1691049840497869101",368,2015
"Trichosporon beigelii, an emerging pathogen resistant to amphotericin B.","TJ Walsh, GP Melcher, MG Rinaldi, J Lecciones, DA McGough, P Kelly, ...","Journal of Clinical Microbiology 28 (7), 1616-1622",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5855339484599108908,349,1990
Granulocyte colony-stimulating factor enhances the phagocytic and bactericidal activity of normal and defective human neutrophils,"E Roilides, TJ Walsh, PA Pizzo, M Rubin","Journal of Infectious Diseases 163 (3), 579-583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18262027583969742295,348,1991
