Title,Authors,Platform,Cited_url,Cited_count,Year
Sequestration of hydrophobic organic contaminants by geosorbents,"RG Luthy, GR Aiken, ML Brusseau, SD Cunningham, PM Gschwend, ...","Environmental Science & Technology 31 (12), 3341-3347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3721294249951342489,1165,1997
Solubilization of polycyclic aromatic hydrocarbons in micellar nonionic surfactant solutions,"DA Edwards, RG Luthy, Z Liu","Environmental Science & Technology 25 (1), 127-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4479961979358992003,962,1991
Sorption of perfluorinated surfactants on sediments,"CP Higgins, RG Luthy","Environmental science & technology 40 (23), 7251-7256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3435563324496063683,812,2006
Quantitative determination of perfluorochemicals in sediments and domestic sludge,"CP Higgins, JA Field, CS Criddle, RG Luthy","Environmental science & technology 39 (11), 3946-3956",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10340852897602280500,548,2005
"Microscale location, characterization, and association of polycyclic aromatic hydrocarbons on harbor sediment particles","U Ghosh, JS Gillette, RG Luthy, RN Zare","Environmental Science & Technology 34 (9), 1729-1736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3129978047333107088,369,2000
Inhibition of phenanthrene mineralization by nonionic surfactants in soil-water systems,"S Laha, RG Luthy","Environmental Science & Technology 25 (11), 1920-1930",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1926856116800250683,367,1991
Oxidation of aniline and other primary aromatic amines by manganese dioxide,"S Laha, RG Luthy","Environmental Science & Technology 24 (3), 363-373",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2154607136157834901,349,1990
Fluorochemical mass flows in a municipal wastewater treatment facility,"MM Schultz, CP Higgins, CA Huset, RG Luthy, DF Barofsky, JA Field","Environmental science & technology 40 (23), 7350-7357",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13678236889650936273,335,2006
Addition of carbon sorbents to reduce PCB and PAH bioavailability in marine sediments: Physicochemical tests,"JR Zimmerman, U Ghosh, RN Millward, TS Bridges, RG Luthy","Environmental Science & Technology 38 (20), 5458-5464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1039540454677628607,331,2004
PCB and PAH speciation among particle types in contaminated harbor sediments and effects on PAH bioavailability,"U Ghosh, JR Zimmerman, RG Luthy","Environmental science & technology 37 (10), 2209-2217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1524088474071098502,328,2003
Degradation of polycyclic aromatic hydrocarbon compounds under various redox conditions in soil-water systems.,"JR Mihelcic, RG Luthy","Appl. Environ. Microbiol. 54 (5), 1182-1187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9550178648432580687,325,1988
In-situ sorbent amendments: a new direction in contaminated sediment management,"U Ghosh, RG Luthy, G Cornelissen, D Werner, CA Menzie","Environmental Science & Technology 45 (4), 1163-1168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10347767464930664475,324,2011
