Title,Authors,Platform,Cited_url,Cited_count,Year
"Acoustic wave sensors: theory, design and physico-chemical applications","DS Ballantine Jr, RM White, SJ Martin, AJ Ricco, ET Zellers, GC Frye, ...",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2059059684209959849,1651,1996
Resistance of polyaniline films as a function of electrochemical potential and the fabrication of polyaniline-based microelectronic devices,"EW Paul, AJ Ricco, MS Wrighton","The Journal of Physical Chemistry 89 (8), 1441-1447","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11816869407724546998,4185587035639988880",1256,1985
Point of care diagnostics: status and future,"V Gubala, LF Harris, AJ Ricco, MX Tan, DE Williams","Analytical chemistry 84 (2), 487-515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15286011511432950428,852,2011
Detection of water in the LCROSS ejecta plume,"A Colaprete, P Schultz, J Heldmann, D Wooden, M Shirley, K Ennico, ...","science 330 (6003), 463-468",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18327607071703243024,597,2010
New organic materials suitable for use in chemical sensor arrays,"RM Crooks, AJ Ricco","Accounts of Chemical Research 31 (5), 219-227",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8556345981083083422,343,1998
Effect of surface roughness on the response of thickness-shear mode resonators in liquids,"SJ Martin, GC Frye, AJ Ricco, SD Senturia","Analytical Chemistry 65 (20), 2910-2922",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4160635771671094824,333,1993
Microfluidic chip having integrated electrodes,"M Zhao, P Vanysek, A Ricco, HS Lackritz, Z Qun, U Nguyen, TO Bjornson","US Patent 6,939,451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11668522542839368720,306,2005
Stand-alone self-powered integrated microfluidic blood analysis system (SIMBAS),"IK Dimov, L Basabe-Desmonts, JL Garcia-Cordero, BM Ross, AJ Ricco, ...","Lab on a Chip 11 (5), 845-850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9286424276452582421,301,2011
Surface acoustic wave gas sensor based on film conductivity changes,"AJ Ricco, SJ Martin, TE Zipperian","Sensors and Actuators 8 (4), 319-333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11687385072350355160,298,1985
Characterization of SH acoustic plate mode liquid sensors,"SJ Martin, AJ Ricco, TM Niemczyk, GC Frye","Sensors and actuators 20 (3), 253-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1377831141778187780,293,1989
Cubesats: Cost-effective science and technology platforms for emerging and developing nations,"K Woellert, P Ehrenfreund, AJ Ricco, H Hertzfeld","Advances in Space Research 47 (4), 663-684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5206741791009025902,290,2011
