Title,Authors,Platform,Cited_url,Cited_count,Year
Pore-and solid-diffusion kinetics in fixed-bed adsorption under constant-pattern conditions,"KR Hall, LC Eagleton, A Acrivos, T Vermeulen","Industrial & Engineering Chemistry Fundamentals 5 (2), 212-223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8356112739974672776,2715,1966
The shear-induced migration of particles in concentrated suspensions,"D Leighton, A Acrivos","Journal of Fluid Mechanics 181, 415-439",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4834844294452711614,1261,1987
On the viscosity of a concentrated suspension of solid spheres,"NA Frankel, A Acrivos","Chemical Engineering Science 22 (6), 847-853",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5196749203954732999,826,1967
Slow flow past periodic arrays of cylinders with application to heat transfer,"AS Sangani, A Acrivos","International journal of Multiphase flow 8 (3), 193-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8059904122422835927,658,1982
The rheological properties of suspensions of rigid particles,"DJ Jeffrey, A Acrivos","AIChE Journal 22 (3), 417-432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=340257419538031806,592,1976
Stokes flow past a particle of arbitrary shape: a numerical method of solution,"GK Youngren, A Acrivos","Journal of fluid Mechanics 69 (2), 377-403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14285134321202003104,580,1975
Steady flows in rectangular cavities,"F Pan, A Acrivos","Journal of Fluid Mechanics 28 (4), 643-655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11922141425174225535,545,1967
Shear‐induced structure in a concentrated suspension of solid spheres,"F Gadala‐Maria, A Acrivos","Journal of Rheology 24 (6), 799-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8112469037853714413,530,1980
Measurement of shear-induced self-diffusion in concentrated suspensions of spheres,"D Leighton, A Acrivos","Journal of Fluid Mechanics 177, 109-131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9434090902067672945,515,1987
A numerical study of the deformation and burst of a viscous drop in an extensional flow,"JM Rallison, A Acrivos","Journal of Fluid Mechanics 89 (1), 191-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=160428323913923950,475,1978
Momentum and heat transfer in laminar boundary‐layer flows of non‐Newtonian fluids past external surfaces,"A Acrivos, MJ Shah, EE Petersen","AIChE Journal 6 (2), 312-317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9574836836490549852,475,1960
Solitary internal waves in deep water,"RE Davis, A Acrivos","Journal of Fluid Mechanics 29 (3), 593-607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16667863612895766338,459,1967
Slow flow through a periodic array of spheres,"AS Sangani, A Acrivos","International Journal of Multiphase Flow 8 (4), 343-360",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17462474105372607269,456,1982
Heat and mass transfer from single spheres in Stokes flow,"A Acrivos, TD Taylor","The Physics of Fluids 5 (4), 387-394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11763540604413189892,450,1962
On the deformation and drag of a falling viscous drop at low Reynolds number,"TD Taylor, A Acrivos","Journal of Fluid Mechanics 18 (3), 466-476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1955103324445843575,437,1964
Sedimentation of noncolloidal particles at low Reynolds numbers,"RH Davis, A Acrivos","Annual Review of Fluid Mechanics 17 (1), 91-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16134699898763023038,433,1985
The instability of the steady flow past spheres and disks,"R Natarajan, A Acrivos","Journal of Fluid Mechanics 254, 323-344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5769845883393977249,346,1993
Viscous resuspension,"D Leighton, A Acrivos","Chemical engineering science 41 (6), 1377-1384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5914170781456069075,344,1986
The constitutive equation for a dilute emulsion,"NA Frankel, A Acrivos","Journal of Fluid Mechanics 44 (1), 65-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7944110297151877505,335,1970
Deformation and burst of a liquid droplet freely suspended in a linear shear field,"D Barthes-Biesel, A Acrivos","Journal of Fluid Mechanics 61 (1), 1-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5301477928833129306,308,1973
A theoretical analysis of laminar natural convection heat transfer to non‐Newtonian fluids,A Acrivos,"AIChE Journal 6 (4), 584-590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2845965988317398241,296,1960
Rotational friction coefficients for ellipsoids and chemical molecules with the slip boundary condition,"GK Youngren, A Acrivos","The Journal of Chemical Physics 63 (9), 3846-3848",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7982709046767984005,287,1975
Deformation and breakup of a single slender drop in an extensional flow,"A Acrivos, TS Lo","Journal of Fluid Mechanics 86 (4), 641-672",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15024965616709344787,267,1978
On the flow of a non‐Newtonian liquid on a rotating disk,"A Acrivos, MJ Shah, EE Petersen","Journal of Applied Physics 31 (6), 963-968",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=274283259781825372,247,1960
Steady flow in a channel or tube with an accelerating surface velocity. An exact solution to the Navier—Stokes equations with reverse flow,"JF Brady, A Acrivos","journal of Fluid Mechanics 112, 127-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7847045295240976130,229,1981
Enhanced sedimentation in settling tanks with inclined walls,"A Acrivos, E Herbolzheimer","Journal of fluid mechanics 92 (3), 435-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17266796580166156584,229,1979
The effective conductivity of a periodic array of spheres,"AS Sangani, A Acrivos",Proceedings of the Royal Society of London. A. Mathematical and Physical …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11427281285501738867,224,1983
Long slender drops in a simple shear flow,"EJ Hinch, A Acrivos","Journal of fluid mechanics 98 (2), 305-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6913308886194835711,215,1980
The lift on a small sphere touching a plane in the presence of a simple shear flow,"D Leighton, A Acrivos","Zeitschrift für angewandte Mathematik und Physik ZAMP 36 (1), 174-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14793442825776487096,203,1985
The effect of surface active agents on convection cells induced by surface tension,"JC Berg, A Acrivos","Chemical Engineering Science 20 (8), 737-745",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16840243570406181794,200,1965
The effective elastic moduli of composite materials containing spherical inclusions at non-dilute concentrations,"C Hsiao-Sheng, A Acrivos","International Journal of Solids and Structures 14 (5), 349-364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8825976825929470788,191,1978
Evaporative convection,"JC Berg, A Acrivos, M Boudart","Advances in Chemical Engineering 6, 61-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12578502309616155946,185,1966
Singular perturbation refinement to quasi-steady state approximation in chemical kinetics,"JR Bowen, A Acrivos, AK Oppenheim","Chemical Engineering Science 18 (3), 177-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1047054140232771421,171,1963
Flow distributions in manifolds,"A Acrivos, BD Babcock, RL Pigford","Chemical Engineering Science 10 (1-2), 112-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14569188840450645050,170,1959
The influence of surfactants on the creeping motion of bubbles,"RE Davis, A Acrivos","Chemical Engineering Science 21 (8), 681-685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7603424732020813198,161,1966
Nature of the Neutral State in Surface‐Tension Driven Convection,"A Vidal, A Acrivos","The Physics of Fluids 9 (3), 615-616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9864208009433315936,158,1966
On the shape of a gas bubble in a viscous extensional flow,"GK Youngren, A Acrivos","Journal of fluid mechanics 76 (3), 433-442",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5100651193541108032,151,1976
Method of characteristics technique. Application to heat and mass transfer problems,A Acrivos,"Industrial & Engineering Chemistry 48 (4), 703-710",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15260947792144404480,150,1956
Apparent wall slip velocity coefficients in concentrated suspensions of noncolloidal particles,"SC Jana, B Kapoor, A Acrivos","Journal of Rheology 39 (6), 1123-1132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2600265219434531648,145,1995
Asymptotic expansions for laminar forced-convection heat and mass transfer,"A Acrivos, JD Goddard","Journal of Fluid Mechanics 23 (2), 273-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13420906038554595738,141,1965
