Title,Authors,Platform,Cited_url,Cited_count,Year
QIIME allows analysis of high-throughput community sequencing data,"JG Caporaso, J Kuczynski, J Stombaugh, K Bittinger, FD Bushman, ...","Nature methods 7 (5), 335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16903127068530972426,17885,2010
Delivery mode shapes the acquisition and structure of the initial microbiota across multiple body habitats in newborns,"MG Dominguez-Bello, EK Costello, M Contreras, M Magris, G Hidalgo, ...","Proceedings of the National Academy of Sciences 107 (26), 11971-11975",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4949011726465570174,2946,2010
Bacterial community variation in human body habitats across space and time,"EK Costello, CL Lauber, M Hamady, N Fierer, JI Gordon, R Knight","Science 326 (5960), 1694-1697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13709550709851960684,2412,2009
The application of ecological theory toward an understanding of the human microbiome,"EK Costello, K Stagaman, L Dethlefsen, BJM Bohannan, DA Relman","Science 336 (6086), 1255-1262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7362689782712910673,854,2012
Moving pictures of the human microbiome,"JG Caporaso, CL Lauber, EK Costello, D Berg-Lyons, A Gonzalez, ...","Genome biology 12 (5), R50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17167873594521034428,750,2011
Cohabiting family members share microbiota with one another and with their dogs,"SJ Song, C Lauber, EK Costello, CA Lozupone, G Humphrey, ...","elife 2, e00458",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6536529823882958167,521,2013
Forensic identification using skin bacterial communities,"N Fierer, CL Lauber, N Zhou, D McDonald, EK Costello, R Knight","Proceedings of the National Academy of Sciences 107 (14), 6477-6481",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4616179242620221068,480,2010
Temporal and spatial variation of the human microbiota during pregnancy,"DB DiGiulio, BJ Callahan, PJ McMurdie, EK Costello, DJ Lyell, ...","Proceedings of the National Academy of Sciences 112 (35), 11060-11065",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7270526094558284198,394,2015
Minimum information about a marker gene sequence (MIMARKS) and minimum information about any (x) sequence (MIxS) specifications,"P Yilmaz, R Kottmann, D Field, R Knight, JR Cole, L Amaral-Zettler, ...","Nature biotechnology 29 (5), 415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6467629625193510740,389,2011
"Time series community genomics analysis reveals rapid shifts in bacterial species, strains, and phage during infant gut colonization","I Sharon, MJ Morowitz, BC Thomas, EK Costello, DA Relman, JF Banfield","Genome research 23 (1), 111-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12111204470073671092,324,2013
Global patterns in the biogeography of bacterial taxa,"DR Nemergut, EK Costello, M Hamady, C Lozupone, L Jiang, SK Schmidt, ...","Environmental microbiology 13 (1), 135-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1886482586258249363,300,2011
Supervised classification of human microbiota,"D Knights, EK Costello, R Knight","FEMS microbiology reviews 35 (2), 343-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2643094541243215366,289,2011
Biogeochemical consequences of rapid microbial turnover and seasonal succession in soil,"SK Schmidt, EK Costello, DR Nemergut, CC Cleveland, SC Reed, ...","Ecology 88 (6), 1379-1385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6246178392317068588,278,2007
Distinct distal gut microbiome diversity and composition in healthy children from Bangladesh and the United States,"A Lin, EM Bik, EK Costello, L Dethlefsen, R Haque, DA Relman, U Singh","PloS one 8 (1), e53838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7452682292733471999,218,2013
Regulation of myocardial ketone body metabolism by the gut microbiota during nutrient deprivation,"PA Crawford, JR Crowley, N Sambandam, BD Muegge, EK Costello, ...","Proceedings of the National Academy of Sciences 106 (27), 11276-11281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8411225382986296011,206,2009
"The earliest stages of ecosystem succession in high-elevation (5000 metres above sea level), recently deglaciated soils","SK Schmidt, SC Reed, DR Nemergut, A Stuart Grandy, CC Cleveland, ...","Proceedings of the Royal Society B: Biological Sciences 275 (1653), 2793-2802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10050765636019157929,205,2008
Sources of bacteria in outdoor air across cities in the midwestern United States,"RM Bowers, AP Sullivan, EK Costello, JL Collett, R Knight, N Fierer","Appl. Environ. Microbiol. 77 (18), 6350-6356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2346311274889961367,200,2011
Strain-resolved community genomic analysis of gut microbial colonization in a premature infant,"MJ Morowitz, VJ Denef, EK Costello, BC Thomas, V Poroyko, DA Relman, ...","Proceedings of the National Academy of Sciences 108 (3), 1128-1133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15924827455168904911,186,2011
Postprandial remodeling of the gut microbiota in Burmese pythons,"EK Costello, JI Gordon, SM Secor, R Knight","The ISME journal 4 (11), 1375",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7665485053051535478,168,2010
Genetically dictated change in host mucus carbohydrate landscape exerts a diet-dependent effect on the gut microbiota,"PC Kashyap, A Marcobal, LK Ursell, SA Smits, ED Sonnenburg, ...","Proceedings of the National Academy of Sciences 110 (42), 17059-17064",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4990633576747609837,159,2013
Direct sequencing of the human microbiome readily reveals community differences,"J Kuczynski, EK Costello, DR Nemergut, J Zaneveld, CL Lauber, ...","Genome biology 11 (5), 210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=769878638943615705,157,2010
Structure and function of alpine and arctic soil microbial communities,"DR Nemergut, EK Costello, AF Meyer, MY Pescador, MN Weintraub, ...","Research in microbiology 156 (7), 775-784",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7907308632946319576,132,2005
"Fumarole-supported islands of biodiversity within a hyperarid, high-elevation landscape on Socompa Volcano, Puna de Atacama, Andes","EK Costello, SRP Halloy, SC Reed, P Sowell, SK Schmidt","Appl. Environ. Microbiol. 75 (3), 735-747",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1036583939475482412,126,2009
"Microbial diversity in alpine tundra wet meadow soil: novel Chloroflexi from a cold, water‐saturated environment","EK Costello, SK Schmidt","Environmental microbiology 8 (8), 1471-1486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8446392001504275436,123,2006
Distinct cutaneous bacterial assemblages in a sampling of South American Amerindians and US residents,"MJ Blaser, MG Dominguez-Bello, M Contreras, M Magris, G Hidalgo, ...","The ISME journal 7 (1), 85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16533012943538089944,95,2013
Biphasic assembly of the murine intestinal microbiota during early development,"IG Pantoja-Feliciano, JC Clemente, EK Costello, ME Perez, MJ Blaser, ...","The ISME journal 7 (6), 1112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9481399890249659895,91,2013
Marine mammals harbor unique microbiotas shaped by and yet distinct from the sea,"EM Bik, EK Costello, AD Switzer, BJ Callahan, SP Holmes, RS Wells, ...","Nature communications 7, 10516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3100546393125120431,85,2016
Replication and refinement of a vaginal microbial signature of preterm birth in two racially distinct cohorts of US women,"BJ Callahan, DB DiGiulio, DSA Goltsman, CL Sun, EK Costello, ...","Proceedings of the National Academy of Sciences 114 (37), 9966-9971",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4187442958763520591,82,2017
Microbiome assembly across multiple body sites in low-birthweight infants,"EK Costello, EM Carlisle, EM Bik, MJ Morowitz, DA Relman","MBio 4 (6), e00782-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=489545577480975525,79,2013
Soil CO,"KR Freeman, MY Pescador, SC Reed, EK Costello, MS Robeson, ...","Environmental Microbiology 11 (3), 674-686",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9054036792996172888,77,2009
The bacterial microbiota in the oral mucosa of rural Amerindians,"M Contreras, EK Costello, G Hidalgo, M Magris, R Knight, ...","Microbiology 156 (11), 3282-3287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12506606876807300255,55,2010
The rate and pattern of cladogenesis in microbes,"AP Martin, EK Costello, AF Meyer, DR Nemergut, SK Schmidt","Evolution 58 (5), 946-955",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13369918386389159695,48,2004
Evolution of seismic layer 2B across the Juan de Fuca Ridge from hydrophone streamer 2‐D traveltime tomography,"KR Newman, MR Nedimović, JP Canales, SM Carbotte","Geochemistry, Geophysics, Geosystems 12 (5)","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6740460830219442209,288470921137385349",24,2011
Environmental DNA sequencing primers for eutardigrades and bdelloid rotifers,"MS Robeson, EK Costello, KR Freeman, J Whiting, B Adams, AP Martin, ...","BMC ecology 9 (1), 25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16458037315704161719,23,2009
The “minimum information about an environmental sequence”(MIENS) specification,"P Sterk, J Gordon, O White, A Johnston, S Nakielny, G Weinstock, ...","Nature Precedings, 1-1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=489291461274013742,11,2010
"Candidatus Mycoplasma girerdii replicates, diversifies, and co-occurs with Trichomonas vaginalis in the oral cavity of a premature infant","EK Costello, CL Sun, EM Carlisle, MJ Morowitz, JF Banfield, DA Relman","Scientific reports 7 (1), 3764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7731404809839690084,7,2017
Population health: Immaturity in the gut microbial community,"EK Costello, DA Relman","Nature 510 (7505), 344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13158945179077890598,6,2014
Alpine tundra soil at spring snow melt harboprs novel and abundant groups of chloroflexi bacteria,"EK Costello, SK Schmidt",ASM General Meeting,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15053448378279044480,4,2003
Reply to Putignani et al.: Vagina as a major source of natural inoculum for the newborn,"MG Dominguez-Bello, EK Costello, R Knight","Proceedings of the National Academy of Sciences 107 (42), E160-E160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564315132130962386,3,2010
Profound Seasonal Changes in Microbial Diversity and Function in an Alpine Environment,"S Schmidt, A Martin, C Schadt, D Lipson, A Meyer, E Costello, ...",New York: Mc-Graw Hill,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2901505289840099508,3,2005
Application of Phylogenetic Techniques in Studies of Soil Microbial Communities,"RT Jones, EK Costello, AP Martin","Manual of Environmental Microbiology, Third Edition, 608-617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12100282608667143011,2,2007
"Microbiota Assembly, Structure, and Dynamics Among Tsimane Horticulturalists of the Bolivian Amazon","DD Sprockett, M Martin, EK Costello, AR Burns, SP Holmes, M Gurven, ...","bioRxiv, 779074",,0,2019
"Besser, TE, TC McGuire, CC Gay, and LC Pritchett. 1988. Transfer of functional immunoglobulin G (IgG) antibody into the gastrointestinal tract accounts for IgG clearance in …","MG Dominguez-Bello, EK Costello, M Contreras, M Magris, G Hidalgo, ...","Effects of colostrum management practices on the neonatal dairy calf 59, 105",,0,2017
The mind-body-microbial continuum.,"A Getahun, A Tesfaye, D Muleta, MFD Jesus Raposo, A De Morais, ...","Singapore Journal of Chemical Biology 6 (1), 527-543",,0,2016
Immaturity in the gut microbial community Delayed microbiota maturation in undernourished Bangladeshi children,"EK Costello, DA Relman","NATURE-LONDON- 510 (7505), 344-344",,0,2014
"Relationships among vitamin D, 25-hydroxyvitamin D, and vitamin D-binding protein concentrations in the plasma and milk of human subjects","J Neu, J Neu, M Mshvildadze, V Mai, J Penders, C Thijs, C Vink, ...","Breastfeeding Medicine 7 (6), 556-577",,0,2012
The effects of iron fortification on the gut microbiota in African children: A randomized controlled trial in Cote d'Ivoire.,"S Helmyati, M Juffrie, ES Rahayu, BJI Kandarina, GD Brinkworth, ...","Pakistan Journal of Nutrition 14 (11), 1493-1502",,0,2009
Environmental DNA Sequencing Primers for Eutardigrades and Bdelloid Rotifers,"BJ Adams, J Whiting, EK Costello, KR Freeman, AP Martin, MS Robeson, ...",BioMed Central,,0,2009
Plant as a source of natural antiviral agents.,"IH Attitalla, P Brouqui, F Bacellar, G Baranton, RJ Birtles, A Bjoersdorff, ...","Pakistan Journal of Biological Sciences 14 (24), 1108-1132",,0,2004
The earliest stages of ecosystem succession in high-elevation,"AWH Weintraub, EK Costello, AF Meyer, JC Neff, AM Martin",,,0,0
