Title,Authors,Platform,Cited_url,Cited_count,Year
The Average Star Formation Histories of Galaxies in Dark Matter Halos from z= 0-8,"PS Behroozi, RH Wechsler, C Conroy","The Astrophysical Journal 770 (1), 57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10239722453330611389,1439,2013
Candels: the cosmic assembly near-infrared deep extragalactic legacy survey,"NA Grogin, DD Kocevski, SM Faber, HC Ferguson, AM Koekemoer, ...","The Astrophysical Journal Supplement Series 197 (2), 35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5618508779226196673,1378,2011
"CANDELS: The Cosmic Assembly Near-infrared Deep Extragalactic Legacy Survey—The Hubble Space Telescope Observations, Imaging Data Products, and Mosaics","AM Koekemoer, SM Faber, HC Ferguson, NA Grogin, DD Kocevski, ...","The Astrophysical Journal Supplement Series 197 (2), 36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2814892824998047865,1328,2011
Concentrations of dark halos from their assembly histories,"RH Wechsler, JS Bullock, JR Primack, AV Kravtsov, A Dekel","The Astrophysical Journal 568 (1), 52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1299423851950151398,1079,2002
The dark side of the halo occupation distribution,"AV Kravtsov, AA Berlind, RH Wechsler, AA Klypin, S Gottlöber, B Allgood, ...","The Astrophysical Journal 609 (1), 35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3373006330770467620,816,2004
A comprehensive analysis of uncertainties affecting the stellar mass-halo mass relation for 0< z< 4,"PS Behroozi, C Conroy, RH Wechsler","The Astrophysical Journal 717 (1), 379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18358784307139682979,764,2010
The ROCKSTAR phase-space temporal halo finder and the velocity offsets of cluster cores,"PS Behroozi, RH Wechsler, HY Wu","The Astrophysical Journal 762 (2), 109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10676635961149210878,740,2013
Modeling luminosity-dependent galaxy clustering through cosmic time,"C Conroy, RH Wechsler, AV Kravtsov","The Astrophysical Journal 647 (1), 201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10463033429504274216,644,2006
"A MaxBCG Catalog of 13,823 Galaxy Clusters from the Sloan Digital Sky Survey","BP Koester, TA McKay, J Annis, RH Wechsler, A Evrard, L Bleem, ...","The Astrophysical Journal 660 (1), 239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11144188666777019655,618,2007
"The shape of dark matter haloes: dependence on mass, redshift, radius and formation","B Allgood, RA Flores, JR Primack, AV Kravtsov, RH Wechsler, ...","Monthly Notices of the Royal Astronomical Society 367 (4), 1781-1796",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12392063330831693597,484,2006
"Connecting galaxies, halos, and star formation rates across cosmic time","C Conroy, RH Wechsler","The Astrophysical Journal 696 (1), 620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1021482552834376933,482,2009
redMaPPer I: Algorithm and SDSS Dr8 Catalog,"ES Rykoff, E Rozo, MT Busha, CE Cunha, A Finoguenov, A Evrard, J Hao, ...",arXiv preprint arXiv:1303.3562,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6144392850902118506,475,2013
Cosmological constraints from the Sloan Digital Sky Survey maxBCG cluster catalog,"E Rozo, RH Wechsler, ES Rykoff, JT Annis, MR Becker, AE Evrard, ...","The Astrophysical Journal 708 (1), 645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9200681710353430232,471,2010
Cosmological constraints from the Sloan Digital Sky Survey maxBCG cluster catalog,"E Rozo, RH Wechsler, ES Rykoff, JT Annis, MR Becker, AE Evrard, ...","The Astrophysical Journal 708 (1), 645",,471,2009
"New constraints on the evolution of the stellar-to-dark matter connection: a combined analysis of galaxy-galaxy lensing, clustering, and stellar mass functions from z= 0.2 to z= 1","A Leauthaud, J Tinker, K Bundy, PS Behroozi, R Massey, J Rhodes, ...","The Astrophysical Journal 744 (2), 159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7577515226668362939,466,2012
"The dependence of halo clustering on halo formation history, concentration, and occupation","RH Wechsler, AR Zentner, JS Bullock, AV Kravtsov, B Allgood","The Astrophysical Journal 652 (1), 71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3537979120878775034,436,2006
Eight New Milky Way Companions Discovered in First-Year Dark Energy Survey Data,"K Bechtol, A Drlica-Wagner, E Balbinot, A Pieres, JD Simon, B Yanny, ...",arXiv preprint arXiv:1503.02584,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1950541693604597410,405,2015
The Dark Energy Survey: more than dark energy–an overview,"T Abbott, FB Abdalla, J Aleksić, S Allam, A Amara, D Bacon, E Balbinot, ...","Monthly Notices of the Royal Astronomical Society 460 (2), 1270-1299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2296063904730389515,361,2016
The origin of angular momentum in dark matter halos,"M Vitvitska, AA Klypin, AV Kravtsov, RH Wechsler, JR Primack, JS Bullock","The Astrophysical Journal 581 (2), 799",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15698730755960936780,352,2002
