Title,Authors,Platform,Cited_url,Cited_count,Year
"A double-difference earthquake location algorithm: Method and application to the northern Hayward fault, California","F Waldhauser, WL Ellsworth","Bulletin of the Seismological Society of America 90 (6), 1353-1368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4363252693912981373,2821,2000
Injection-induced earthquakes,WL Ellsworth,"Science 341 (6142), 1225942",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4416119344358391796,1402,2013
"Monitoring velocity variations in the crust using earthquake doublets: An application to the Calaveras Fault, California","G Poupinet, WL Ellsworth, J Frechet","Journal of Geophysical Research: Solid Earth 89 (B7), 5719-5731",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16700305738987316510,928,1984
Initial reference models in local earthquake tomography,"E Kissling, WL Ellsworth, D Eberhart‐Phillips, U Kradolfer","Journal of Geophysical Research: Solid Earth 99 (B10), 19635-19646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6507872896461240870,919,1994
"Seismicity remotely triggered by the magnitude 7.3 Landers, California, earthquake","DP Hill, PA Reasenberg, A Michael, WJ Arabaz, G Beroza, D Brumbaugh, ...","Science 260 (5114), 1617-1623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15009429266925431219,870,1993
Seismic evidence for an earthquake nucleation phase,"WL Ellsworth, GC Beroza","Science 268 (5212), 851-855",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17238464710212630309,395,1995
A Brownian model for recurrent earthquakes,"MV Matthews, WL Ellsworth, PA Reasenberg","Bulletin of the Seismological Society of America 92 (6), 2233-2250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2239356419901095383,388,2002
Implications for prediction and hazard assessment from the 2004 Parkfield earthquake,"WH Bakun, B Aagaard, B Dost, WL Ellsworth, JL Hardebeck, RA Harris, ...","Nature 437 (7061), 969",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15416139260265699013,339,2005
"Fault structure and mechanics of the Hayward fault, California, from double‐difference earthquake locations","F Waldhauser, WL Ellsworth","Journal of Geophysical Research: Solid Earth 107 (B3), ESE 3-1-ESE 3-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4030088134607334462,247,2002
"Earthquake history, 1769-1989",WL Ellsworth,"United States Geological Survey, Professional Paper;(USA) 1515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7008834513394338340,239,1990
"The October 17, 1989, Loma Prieta, California, earthquake and its aftershocks: Geometry of the sequence from high‐resolution locations","LD Dietz, WL Ellsworth","Geophysical Research Letters 17 (9), 1417-1420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9634628631352723359,223,1990
Apparent break in earthquake scaling due to path and site effects on deep borehole recordings,"S Ide, GC Beroza, SG Prejean, WL Ellsworth",Journal of Geophysical Research: Solid Earth 108 (B5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10948024814926053586,217,2003
A physically-based earthquake recurrence model for estimation of long-term earthquake probabilities,"WL Ellsworth, MV Matthews, RM Nadeau, SP Nishenko, PA Reasenberg, ...","US Geol. Surv. Open-File Rept. 99 522, 23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14727767699351978871,215,1999
Detailed observations of California foreshock sequences: Implications for the earthquake initiation process,"DA Dodge, GC Beroza, WL Ellsworth","Journal of Geophysical Research: Solid Earth 101 (B10), 22371-22392",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1966494923273901605,208,1996
High‐resolution image of Calaveras fault seismicity,"DP Schaff, GHR Bokelmann, GC Beroza, F Waldhauser, WL Ellsworth","Journal of Geophysical Research: Solid Earth 107 (B9), ESE 5-1-ESE 5-16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5633992570666715194,205,2002
Optimizing correlation techniques for improved earthquake location,"DP Schaff, GHR Bokelmann, WL Ellsworth, E Zanzerkia, F Waldhauser, ...","Bulletin of the Seismological Society of America 94 (2), 705-721",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2839579804171851944,188,2004
Coping with earthquakes induced by fluid injection,"A McGarr, B Bekins, N Burkardt, J Dewey, P Earle, W Ellsworth, S Ge, ...","Science 347 (6224), 830-831",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1513749636064236946,187,2015
"Three‐dimensional crust and mantle structure of Kilauea Volcano, Hawaii","WL Ellsworth, RY Koyanagi","Journal of Geophysical Research 82 (33), 5379-5394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1074112162593935186,170,1977
Fault healing inferred from time dependent variations in source properties of repeating earthquakes,"C Marone, JE Vidale, WL Ellsworth","Geophysical Research Letters 22 (22), 3095-3098",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6928629462859277072,167,1995
"Foreshock sequence of the 1992 Landers, California, earthquake and its implications for earthquake nucleation","DA Dodge, GC Beroza, WL Ellsworth","Journal of Geophysical Research: Solid Earth 100 (B6), 9865-9880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2934694426452193893,166,1995
Rapid solution of ray tracing problems in heterogeneous media,"CH Thurber, WL Ellsworth","Bulletin of the Seismological Society of America 70 (4), 1137-1148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13680482009046720698,165,1980
The 1906 San Francisco earthquake and the seismic cycle,"WL Ellsworth, AG Lindh, WH Prescott, DG Herd","Earthquake prediction: An international review 4, 126-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4361246392664139319,162,1981
"Observations of earthquake source parameters at 2 km depth in the Long Valley caldera, eastern California","SG Prejean, WL Ellsworth","Bulletin of the Seismological Society of America 91 (2), 165-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=981825949858073860,156,2001
"Aftershocks of the Coyote Lake, California, earthquake of August 6, 1979: A detailed study","P Reasenberg, WL Ellsworth","Journal of Geophysical Research: Solid Earth 87 (B13), 10637-10655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2668603204240300931,150,1982
"Streaks, multiplets, and holes: High‐resolution spatio‐temporal behavior of Parkfield seismicity","F Waldhauser, WL Ellsworth, DP Schaff, A Cole",Geophysical Research Letters 31 (18),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7839375751881896415,148,2004
"The 1989 earthquake swarm beneath Mammoth Mountain, California: An initial look at the 4 May through 30 September activity","DP Hill, WL Ellsworth, MJS Johnston, JO Langbein, DH Oppenheimer, ...","Bulletin of the Seismological Society of America 80 (2), 325-339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7643330450658683894,144,1990
2017 one‐year seismic‐hazard forecast for the central and eastern United States from induced and natural earthquakes,"MD Petersen, CS Mueller, MP Moschetti, SM Hoover, AM Shumway, ...","Seismological Research Letters 88 (3), 772-783","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13011080584922785894,5363665204797220769",143,2017
Three-dimensional structure of the crust and mantle beneath the island of Hawaii.,WL Ellsworth,Massachusetts Institute of Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16997391918002425104,143,1978
Imaging the complexity of an active normal fault system: The 1997 Colfiorito (central Italy) case study,"L Chiaraluce, WL Ellsworth, C Chiarabba, M Cocco",Journal of Geophysical Research: Solid Earth 108 (B6),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17180872599847870708,141,2003
"Causal factors for seismicity near Azle, Texas","MJ Hornbach, HR DeShon, WL Ellsworth, BW Stump, C Hayward, ...","Nature communications 6, 6728",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5862379832701290159,136,2015
Introduction to special section: preparing for the San Andreas Fault Observatory at Depth,"S Hickman, M Zoback, W Ellsworth",Geophysical Research Letters 31 (12),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12398827779403906285,136,2004
