Title,Authors,Platform,Cited_url,Cited_count,Year
Laterally driven polysilicon resonant microstructures,"WC Tang, TCH Nguyen, RT Howe","Sensors and actuators 20 (1-2), 25-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12988047994797676720,1553,1989
Critical review: Adhesion in surface micromechanical structures,"R Maboudian, RT Howe",Journal of Vacuum Science & Technology B: Microelectronics and Nanometer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14586563970096086095,944,1997
Surface micromachining for microelectromechanical systems,"JM Bustillo, RT Howe, RS Muller","Proceedings of the IEEE 86 (8), 1552-1574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12117652602116491368,874,1998
Electrostatic-comb drive of lateral polysilicon resonators,"WC Tang, TCH Nguyen, MW Judy, RT Howe","Sensors and Actuators A: Physical 21 (1-3), 328-331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13881121492108476253,617,1990
Alkyltrichlorosilane-based self-assembled monolayer films for stiction reduction in silicon micromachines,"U Srinivasan, MR Houston, RT Howe, R Maboudian","Journal of Microelectromechanical Systems 7 (2), 252-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10604642924472504638,546,1998
Microstructure to substrate self-assembly using capillary forces,"U Srinivasan, D Liepmann, RT Howe","Journal of Microelectromechanical Systems 10 (1), 17-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1691596386441948351,531,2001
An integrated CMOS micromechanical resonator high-Q oscillator,"CTC Nguyen, RT Howe","IEEE Journal of Solid-State Circuits 34 (4), 440-455",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3661566104899990842,496,1999
Laterally driven resonant microstructures,"WC Tang, RT Howe","US Patent 5,025,346",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8240336934633103650,430,1991
Surface micromachined accelerometers,"BE Boser, RT Howe","IEEE Journal of solid-state circuits 31 (3), 366-375",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16245708345383213754,415,1996
Electrostatic comb drive levitation and control method,DCG Fpked,Journal of Microelectromechanical systems 1 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2323371135361999341,380,1992
Supercritical carbon dioxide drying of microstructures,GT MULHERNM,"Tech. Digest 7th Int. Conf. Solid-State Sensors and Actuators, Yokohama …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13849762709580888171,347,1993
Photon-enhanced thermionic emission for solar concentrator systems,"JW Schwede, I Bargatin, DC Riley, BE Hardin, SJ Rosenthal, Y Sun, ...","Nature materials 9 (9), 762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10141848446188913097,344,2010
Microelectromechanical filters for signal processing,"L Lin, RT Howe, AP Pisano","Journal of Microelectromechanical systems 7 (3), 286-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2180175796647610642,341,1998
A vacuum packaged surface micromachined resonant accelerometer,"AA Seshia, M Palaniapan, TA Roessig, RT Howe, RW Gooch, ...","Journal of Microelectromechanical systems 11 (6), 784-793",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=527624327002542150,340,2002
Surface micromachined Z-axis vibratory rate gyroscope,"WA Clark, RT Howe, R Horowitz","Tech. Dig. Solid-State Sensor and Actuator Workshop, 283-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10844179294812524855,336,1996
Surface micromachining for microsensors and microactuators,RT Howe,Journal of Vacuum Science & Technology B: Microelectronics Processing and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12429202444375753411,336,1988
Resonant-microbridge vapor sensor,"RT Howe, RS Muller","IEEE Transactions on Electron Devices 33 (4), 499-506",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5332475479563719748,331,1986
Microfabricated structures for the ,"MG Allen, M Mehregany, RT Howe, SD Senturia","Applied Physics Letters 51 (4), 241-243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7879112453767864540,310,1987
An integrated force-balanced capacitive accelerometer for low-g applications,"KHL Chau, SR Lewis, Y Zhao, RT Howe, SF Bart, RG Marcheselli","Sensors and Actuators A: Physical 54 (1-3), 472-476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4111650932051259803,283,1996
Design and calibration of a microfabricated floating-element shear-stress sensor,"MA Schmidt, RT Howe, SD Senturia, JH Haritonidis","IEEE Transactions on Electron Devices 35 (6), 750-757",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18009575151260724737,268,1988
Polycrystalline silicon germanium films for forming micro-electromechanical systems,"RT Howe, A Franke, TJ King","US Patent 6,210,988",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16678880044937896788,257,2001
Viscous damping model for laterally oscillating microstructures,"YH Cho, AP Pisano, RT Howe","Journal of Microelectromechanical Systems 3 (2), 81-87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11397931276848744637,250,1994
Surface-micromachined resonant accelerometer,"TA Roessig, RT Howe, AP Pisano, JH Smith",Proceedings of International Solid State Sensors and Actuators Conference …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3490921328335979514,242,1997
Technologies for cofabricating MEMS and electronics,"GK Fedder, RT Howe, TJK Liu, EP Quevy","Proceedings of the IEEE 96 (2), 306-322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3798250291959077715,241,2008
Micromachined vibratory rate gyroscope,"WA Clark, T Juneau, RT Howe","US Patent 6,067,858",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15458604787934350438,236,2000
Polycrystalline silicon micromechanical beams,"RT Howe, RS Muller","Journal of the Electrochemical Society 130 (6), 1420-1423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18212615844307266618,233,1983
Silicon micromechanics: sensors and actuators on a chip,"RT Howe, RS Muller, KJ Gabriel, WSN Trimmer","IEEE Spectrum 27 (7), 29-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12186778161982414840,229,1990
Microassembly technologies for MEMS,"MB Cohn, KF Boehringer, JM Noworolski, A Singh, CG Keller, ...","Microelectronic Structures and MEMS for Optical Processing IV 3513, 2-16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=617574290129171381,223,1998
Parallel microassembly with electrostatic force fields,"KF Bohringer, K Goldberg, M Cohn, R Howe, A Pisano",Proceedings. 1998 IEEE International Conference on Robotics and Automation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=171919030342423408,216,1998
"Surface micromachined, digitally force-balanced accelerometer with integrated CMOS detection circuitry","W Yun, RT Howe, PR Gray","Technical Digest IEEE Solid-State Sensor and Actuator Workshop, 126-131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8907514044278710368,198,1992
Batch transfer of microstructures using flip-chip solder bonding,"A Singh, DA Horsley, MB Cohn, AP Pisano, RT Howe","Journal of Microelectromechanical Systems 8 (1), 27-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8842056916762404133,196,1999
Selective etching of silicon carbide films,"D Gao, RT Howe, R Maboudian","US Patent 7,151,277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3299742711669444752,191,2006
Design considerations for micromachined electric actuators,"SF Bart, TA Lober, RT Howe, JH Lang, MF Schlecht","Sensors and Actuators 14 (3), 269-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3602847980511189406,191,1988
A planar air levitated electrostatic actuator system,"KSJ Pister, RS Fearing, RT Howe","IEEE Proceedings on Micro Electro Mechanical Systems, An Investigation of …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3668379278333447777,189,1990
Alkene based monolayer films as anti-stiction coatings for polysilicon MEMS,"WR Ashurst, C Yau, C Carraro, C Lee, GJ Kluth, RT Howe, R Maboudian","Sensors and Actuators A: Physical 91 (3), 239-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2209367932368880542,187,2001
Microtransport induced by ultrasonic Lamb waves,"RM Moroney, RM White, RT Howe","Applied physics letters 59 (7), 774-776",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13137606632995861528,182,1991
The effect of release-etch processing on surface microstructure stiction,"RL Alley, GJ Cuan, RT Howe, K Komvopoulos","Technical Digest IEEE Solid-State Sensor and Actuator Workshop, 202-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15547364109395395257,181,1992
A micromachining-based technology for enhancing germanium light emission via tensile strain,"JR Jain, A Hryciw, TM Baer, DAB Miller, ML Brongersma, RT Howe","Nature Photonics 6 (6), 398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2517281831125030251,178,2012
Three-dimensional integration of nanotechnologies for computing and data storage on a single chip,"MM Shulaker, G Hills, RS Park, RT Howe, K Saraswat, HSP Wong, S Mitra","Nature 547 (7661), 74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1088092429333928878,177,2017
Dynamics and control of micromachined gyroscopes,"AM Shkel, R Horowitz, AA Seshia, S Park, RT Howe",Proceedings of the 1999 American Control Conference (Cat. No. 99CH36251) 3 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7245480799184363541,176,1999
Dual-mass micromachined vibratory rate gyroscope,"AA Seshia, RT Howe","US Patent 6,250,156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2462602570552089331,174,2001
Polycrystalline silicon-germanium films for integrated microsystems,"AE Franke, JM Heck, TJ King, RT Howe","Journal of microelectromechanical systems 12 (2), 160-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4173990111283769993,171,2003
Wafer-to-wafer transfer of microstructures using break-away tethers,"MB Cohn, RT Howe","US Patent 6,142,358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1995686646624567989,167,2000
Q-controlled microresonators and tunable electronic filters using such resonators,"CTC Nguyen, RT Howe","US Patent 5,491,604",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6156179485743870638,167,1996
A review of the chemical reaction mechanism and kinetics for hydrofluoric acid etching of silicon dioxide for surface micromachining applications,"DJ Monk, DS Soane, RT Howe","Thin Solid Films 232 (1), 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17923275323601865683,164,1993
A micro strain gauge with mechanical amplifier,"L Lin, AP Pisano, RT Howe","Journal of Microelectromechanical Systems 6 (4), 313-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6901188412505165770,160,1997
Microbioreactor arrays with parametric control for high‐throughput experimentation,"MM Maharbiz, WJ Holtz, RT Howe, JD Keasling","Biotechnology and bioengineering 85 (4), 376-381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3497943069691877997,159,2004
Design considerations for complementary nanoelectromechanical logic gates,"K Akarvardar, D Elata, R Parsa, GC Wan, K Yoo, J Provine, P Peumans, ...","2007 IEEE International Electron Devices Meeting, 299-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=290965287335260248,157,2007
Electrostatic charge and field sensors based on micromechanical resonators,"PS Riehl, KL Scott, RS Muller, RT Howe, JA Yasaitis","Journal of microelectromechanical systems 12 (5), 577-589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5886623320925214200,157,2003
Mechanical elasticity of single and double clamped silicon nanobeams fabricated by the vapor-liquid-solid method,"A San Paulo, J Bokor, RT Howe, R He, P Yang, D Gao, C Carraro, ...","Applied Physics Letters 87 (5), 053111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11638417426182321684,152,2005
Polysilicon integrated microsystems: technologies and applications,"RT Howe, BE Boser, AP Pisano","Sensors and Actuators A: Physical 56 (1-2), 167-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4026632173001673747,147,1996
Ultrasonically induced microtransport,"RM Moroney, RM White, RT Howe","[1991] Proceedings. IEEE Micro Electro Mechanical Systems, 277-282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13514911241377700957,146,1991
Thermal budget limits of quarter-micrometer foundry CMOS for post-processing MEMS devices,"H Takeuchi, A Wung, X Sun, RT Howe, TJ King","IEEE transactions on Electron Devices 52 (9), 2081-2086",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12628323864042662851,143,2005
An integrated microelectromechanical resonant output gyroscope,"AA Seshia, RT Howe, S Montague",Technical Digest. MEMS 2002 IEEE International Conference. Fifteenth IEEE …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15615114997539730022,142,2002
Novel microstructures for the ,"M Mehregany, RT Howe, SD Senturia","Journal of Applied Physics 62 (9), 3579-3584",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5054096601705624184,142,1987
"Embedded interconnect and electrical isolation for high-aspect-ratio, SOI inertial instruments","TJ Brosnihan, JM Bustillo, AP Pisano, RT Howe",Proceedings of International Solid State Sensors and Actuators Conference …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11711932594872326009,141,1997
Microsensors,RS Muller,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1229547554152788640,139,1991
Microelectromechanical signal processor fabrication,"L Lin, CT Nguyen, RT Howe, AP Pisano","US Patent 5,589,082",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13785199733904389077,138,1996
Microelectronics: an integrated approach,"RT Howe, CG Sodini",Prentice Hall,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15471179805644305926,136,1997
