Title,Authors,Platform,Cited_url,Cited_count,Year
A framework for variation discovery and genotyping using next-generation DNA sequencing data,"MA DePristo, E Banks, R Poplin, KV Garimella, JR Maguire, C Hartl, ...","Nature genetics 43 (5), 491",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4035323650711877053,6817,2011
A map of human genome variation from population-scale sequencing,1000 Genomes Project Consortium,"Nature 467 (7319), 1061","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2802397011957847088,13019153432776752081",6696,2010
"Analysis of protein-coding genetic variation in 60,706 humans","M Lek, KJ Karczewski, EV Minikel, KE Samocha, E Banks, T Fennell, ...","Nature 536 (7616), 285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2171397182876627101,5399,2016
The genotype-tissue expression (GTEx) project,"J Lonsdale, J Thomas, M Salvatore, R Phillips, E Lo, S Shad, R Hasz, ...","Nature genetics 45 (6), 580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=63038959008730260,2649,2013
The Genotype-Tissue Expression (GTEx) pilot analysis: multitissue gene regulation in humans,GTEx Consortium,"Science 348 (6235), 648-660","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11118511400587581405,1239238651581888248",2066,2015
Transcriptome and genome sequencing uncovers functional variation in humans,"T Lappalainen, M Sammeth, MR Friedländer, P AC‘t Hoen, J Monlong, ...","Nature 501 (7468), 506",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4942312837083650346,1246,2013
Deep resequencing of GWAS loci identifies independent rare variants associated with inflammatory bowel disease,"MA Rivas, M Beaudoin, A Gardet, C Stevens, Y Sharma, CK Zhang, ...","Nature genetics 43 (11), 1066",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16523774787217101221,648,2011
The genetic architecture of type 2 diabetes,"C Fuchsberger, J Flannick, TM Teslovich, A Mahajan, V Agarwala, ...","Nature 536 (7614), 41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14108507324513120726,603,2016
Testing for an unusual distribution of rare variants,"BM Neale, MA Rivas, BF Voight, D Altshuler, B Devlin, M Orho-Melander, ...","PLoS genetics 7 (3), e1001322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8142862199870248300,566,2011
Demographic history and rare allele sharing among human populations,"S Gravel, BM Henn, RN Gutenkunst, AR Indap, GT Marth, AG Clark, F Yu, ...","Proceedings of the National Academy of Sciences 108 (29), 11983-11988",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11025770357227130872,461,2011
Exome sequencing identifies rare ,"R Do, NO Stitziel, HH Won, AB Jørgensen, S Duga, PA Merlini, A Kiezun, ...","Nature 518 (7537), 102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5782690383735695421,441,2015
"High-throughput, pooled sequencing identifies mutations in ","SE Calvo, EJ Tucker, AG Compton, DM Kirby, G Crawford, NP Burtt, ...","Nature genetics 42 (10), 851",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5584674925195751838,312,2010
Rare and low-frequency coding variants alter human adult height,"E Marouli, M Graff, C Medina-Gomez, KS Lo, AR Wood, TR Kjaer, RS Fine, ...","Nature 542 (7640), 186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3582478707273158269,276,2017
Genetic analysis of human traits in vitro: drug response and gene expression in lymphoblastoid cell lines,"E Choy, R Yelensky, S Bonakdar, RM Plenge, R Saxena, PL De Jager, ...","PLoS genetics 4 (11), e1000287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17379390577034308030,228,2008
Mosaic ,"E Ruark, K Snape, P Humburg, C Loveday, I Bajrami, R Brough, ...","Nature 493 (7432), 406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13968002533361801343,194,2013
Whole-exome sequencing identifies rare and low-frequency coding variants associated with LDL cholesterol,"LA Lange, Y Hu, H Zhang, C Xue, EM Schmidt, ZZ Tang, C Bizon, ...","The American Journal of Human Genetics 94 (2), 233-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4771707597930686512,175,2014
Effect of predicted protein-truncating genetic variants on the human transcriptome,"MA Rivas, M Pirinen, DF Conrad, M Lek, EK Tsang, KJ Karczewski, ...","Science 348 (6235), 666-669",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6073576747248986498,157,2015
Landscape of X chromosome inactivation across human tissues,"T Tukiainen, AC Villani, A Yen, MA Rivas, JL Marshall, R Satija, M Aguirre, ...","Nature 550 (7675), 244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1259726001954990466,141,2017
"Deep resequencing of GWAS loci identifies rare variants in CARD9, IL23R and RNF186 that are associated with ulcerative colitis","M Beaudoin, P Goyette, G Boucher, KS Lo, MA Rivas, C Stevens, ...","PLoS genetics 9 (9), e1003723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16321641057175960840,133,2013
Choice of transcripts and software has a large effect on variant annotation,"DJ McCarthy, P Humburg, A Kanapin, MA Rivas, K Gaulton, JB Cazier, ...","Genome medicine 6 (3), 26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4628215405013921077,132,2014
The landscape of genomic imprinting across diverse adult human tissues,"Y Baran, M Subramaniam, A Biton, T Tukiainen, EK Tsang, MA Rivas, ...","Genome research 25 (7), 927-936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10978638464940111018,123,2015
"Association between variants of PRDM1 and NDP52 and Crohn's disease, based on exome sequencing and functional studies","D Ellinghaus, H Zhang, S Zeissig, S Lipinski, A Till, T Jiang, B Stade, ...","Gastroenterology 145 (2), 339-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7199892862765356831,119,2013
Genetic adaptation of fatty-acid metabolism: a human-specific haplotype increasing the biosynthesis of long-chain omega-3 and omega-6 fatty acids,"A Ameur, S Enroth, Å Johansson, G Zaboli, W Igl, ACV Johansson, ...","The American Journal of Human Genetics 90 (5), 809-820",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14347089452542271987,116,2012
The power of gene-based rare variant methods to detect disease-associated variation and test hypotheses about complex disease,"L Moutsianas, V Agarwala, C Fuchsberger, J Flannick, MA Rivas, ...","PLoS genetics 11 (4), e1005165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18275713970282226513,101,2015
Rare variants in PPARG with decreased activity in adipocyte differentiation are associated with increased risk of type 2 diabetes,"AR Majithia, J Flannick, P Shahinian, M Guo, MA Bray, P Fontanillas, ...","Proceedings of the National Academy of Sciences 111 (36), 13127-13132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7854606735526198611,101,2014
Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity,"V Turcot, Y Lu, HM Highland, C Schurmann, AE Justice, RS Fine, ...","Nature genetics 50 (1), 26","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18407618758646748259,4797718048562233165",98,2018
Fine mapping in 94 inbred mouse strains using a high-density haplotype resource,"A Kirby, HM Kang, CM Wade, C Cotsapas, E Kostem, B Han, N Furlotte, ...","Genetics 185 (3), 1081-1095",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2496476380365495964,96,2010
"Rare, low-frequency, and common variants in the protein-coding sequence of biological candidate genes from GWASs contribute to risk of rheumatoid arthritis","D Diogo, F Kurreeman, EA Stahl, KP Liao, N Gupta, JD Greenberg, ...","The American Journal of Human Genetics 92 (1), 15-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10345270342154151471,83,2013
Identification and functional characterization of G6PC2 coding variants influencing glycemic traits define an effector transcript at the G6PC2-ABCB11 locus,"A Mahajan, X Sim, HJ Ng, A Manning, MA Rivas, HM Highland, AE Locke, ...","PLoS genetics 11 (1), e1004876","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15922846236494967716,10864390773279385789",68,2015
Large-scale GWAS identifies multiple loci for hand grip strength providing biological insights into muscular fitness,"SM Willems, DJ Wright, FR Day, K Trajanoska, PK Joshi, JA Morris, ...","Nature communications 8, 16015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3105947922363178004,40,2017
Assessing allele-specific expression across multiple tissues from RNA-seq read data,"M Pirinen, T Lappalainen, NA Zaitlen, GTEx Consortium, ET Dermitzakis, ...","Bioinformatics 31 (15), 2497-2504",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5459262873515032478,40,2015
