Title,Authors,Platform,Cited_url,Cited_count,Year
Magnetic resonance imaging profiles predict clinical response to early reperfusion: the diffusion and perfusion imaging evaluation for understanding stroke evolution (DEFUSE) study,"GW Albers, VN Thijs, L Wechsler, S Kemp, G Schlaug, E Skalabrin, ...",Annals of Neurology: Official Journal of the American Neurological …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16116295965753317705,1206,2006
"Effect of treatment delay, age, and stroke severity on the effects of intravenous thrombolysis with alteplase for acute ischaemic stroke: a meta-analysis of individual patient …","J Emberson, KR Lees, P Lyden, L Blackwell, G Albers, E Bluhmki, T Brott, ...","The Lancet 384 (9958), 1929-1935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4442458379305743414,1178,2014
Thrombectomy for stroke at 6 to 16 hours with selection by perfusion imaging,"GW Albers, MP Marks, S Kemp, S Christensen, JP Tsai, ...","New England Journal of Medicine 378 (8), 708-718",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13290267156645387817,1019,2018
MRI profile and response to endovascular reperfusion after stroke (DEFUSE 2): a prospective cohort study,"MG Lansberg, M Straka, S Kemp, M Mlynash, LR Wechsler, TG Jovin, ...","The Lancet Neurology 11 (10), 860-867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12997077003112630616,622,2012
Primary and secondary prevention of cardiovascular disease: antithrombotic therapy and prevention of thrombosis: American College of Chest Physicians evidence-based clinical …,"PO Vandvik, AM Lincoff, JM Gore, DD Gutterman, FA Sonnenberg, ...","Chest 141 (2), e637S-e668S","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18170002381752595162,17821141680069346950",566,2012
Antithrombotic and thrombolytic therapy for ischemic stroke: antithrombotic therapy and prevention of thrombosis: American College of Chest Physicians Evidence-Based Clinical …,"MG Lansberg, MJ O'Donnell, P Khatri, ES Lang, MN Nguyen-Huynh, ...","Chest 141 (2), e601S-e636S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10036470945430572711,464,2012
Antithrombotic and thrombolytic therapy for ischemic stroke: American College of Chest Physicians evidence-based clinical practice guidelines,"GW Albers, P Amarenco, JD Easton, RL Sacco, P Teal","Chest 133 (6), 630S-669S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16322897653108757021,422,2008
MRI abnormalities associated with partial status epilepticus,"MG Lansberg, MW O’Brien, AM Norbash, ME Moseley, M Morrell, ...","Neurology 52 (5), 1021-1021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3223127542309629527,388,1999
"Evolution of apparent diffusion coefficient, diffusion-weighted, and T2-weighted signal intensity of acute stroke","MG Lansberg, VN Thijs, MW O'Brien, JO Ali, AJ De Crespigny, DC Tong, ...","American Journal of Neuroradiology 22 (4), 637-644",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9883204393992458226,306,2001
Optimal Tmax threshold for predicting penumbral tissue in acute stroke,"JM Olivot, M Mlynash, VN Thijs, S Kemp, MG Lansberg, L Wechsler, ...","Stroke 40 (2), 469-475",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8045838383781179483,286,2009
"Stroke Thrombolysis Trialists’ Collaborative Group. Effect of treatment delay, age, and stroke severity on the effects of intravenous thrombolysis with alteplase for acute …","J Emberson, KR Lees, P Lyden, L Blackwell, G Albers, E Bluhmki, T Brott, ...","Lancet 384 (9958), 1929-1935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18168277523298972992,282,2014
Comparison of diffusion-weighted MRI and CT in acute stroke,"MG Lansberg, GW Albers, C Beaulieu, MP Marks","Neurology 54 (8), 1557-1561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8344044243994194780,266,2000
Efficacy and safety of tissue plasminogen activator 3 to 4.5 hours after acute ischemic stroke: a metaanalysis,"MG Lansberg, E Bluhmki, VN Thijs","Stroke 40 (7), 2438-2441",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4143938157619668437,257,2009
Antithrombotic therapy in peripheral artery disease: antithrombotic therapy and prevention of thrombosis: American College of Chest Physicians Evidence-Based Clinical Practice …,"P Alonso-Coello, S Bellmunt, C McGorrian, SS Anand, R Guzman, ...","Chest 141 (2), e669S-e690S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14152559182396414408,241,2012
Symptomatic intracerebral hemorrhage following thrombolytic therapy for acute ischemic stroke: a review of the risk factors,"MG Lansberg, GW Albers, CAC Wijman","Cerebrovascular diseases 24 (1), 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3610621397475751271,229,2007
Is early ischemic lesion volume on diffusion-weighted imaging an independent predictor of stroke outcome? A multivariable analysis,"VN Thijs, MG Lansberg, C Beaulieu, MP Marks, ME Moseley, GW Albers","Stroke 31 (11), 2597-2602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4766881857253114496,222,2000
Risk factors of symptomatic intracerebral hemorrhage after tPA therapy for acute stroke,"MG Lansberg, VN Thijs, R Bammer, S Kemp, CAC Wijman, MP Marks, ...","Stroke 38 (8), 2275-2278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9610895395794861512,220,2007
RAPID automated patient selection for reperfusion therapy: a pooled analysis of the Echoplanar Imaging Thrombolytic Evaluation Trial (EPITHET) and the Diffusion and Perfusion …,"MG Lansberg, J Lee, S Christensen, M Straka, DA De Silva, M Mlynash, ...","Stroke 42 (6), 1608-1614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10321719617209241980,198,2011
Risk for symptomatic intracerebral hemorrhage after thrombolysis assessed by diffusion‐weighted magnetic resonance imaging,"OC Singer, MC Humpich, J Fiehler, GW Albers, MG Lansberg, A Kastrup, ...",Annals of Neurology: Official Journal of the American Neurological …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17089268567064294454,192,2008
Refining the definition of the malignant profile: insights from the DEFUSE-EPITHET pooled data set,"M Mlynash, MG Lansberg, DA De Silva, J Lee, S Christensen, M Straka, ...","Stroke 42 (5), 1270-1275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17158801661124644784,187,2011
Treatment time-specific number needed to treat estimates for tissue plasminogen activator therapy in acute stroke based on shifts over the entire range of the modified Rankin Scale,"MG Lansberg, M Schrooten, E Bluhmki, VN Thijs, JL Saver","Stroke 40 (6), 2079-2084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8912008907237431120,181,2009
Optimal definition for PWI/DWI mismatch in acute ischemic stroke patients,"W Kakuda, MG Lansberg, VN Thijs, SM Kemp, R Bammer, LR Wechsler, ...","Journal of cerebral blood flow & metabolism 28 (5), 887-891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17130711856357450663,164,2008
Approach to outcome measurement in the prevention of thrombosis in surgical and medical patients: Antithrombotic Therapy and Prevention of Thrombosis: American College of Chest …,"GH Guyatt, JW Eikelboom, MK Gould, DA Garcia, M Crowther, MH Murad, ...","Chest 141 (2), e185S-e194S","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12588526283916107563,1666155330683657807",160,2012
