Title,Authors,Platform,Cited_url,Cited_count,Year
"The variable discharge of cortical neurons: implications for connectivity, computation, and information coding","MN Shadlen, WT Newsome","Journal of neuroscience 18 (10), 3870-3896",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14915381792940969800,2056,1998
The analysis of visual motion: a comparison of neuronal and psychophysical performance,"KH Britten, MN Shadlen, WT Newsome, JA Movshon","Journal of Neuroscience 12 (12), 4745-4765",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1959251457679630736,1878,1992
A selective impairment of motion perception following lesions of the middle temporal visual area (MT),"WT Newsome, EB Pare","Journal of Neuroscience 8 (6), 2201-2211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16783019727820517892,1674,1988
Neural basis of a perceptual decision in the parietal cortex (area LIP) of the rhesus monkey,"MN Shadlen, WT Newsome","Journal of neurophysiology 86 (4), 1916-1936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5835274856014069439,1527,2001
"Noise, neural codes and cortical organization","MN Shadlen, WT Newsome","Current opinion in neurobiology 4 (4), 569-579",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15172043211236428277,1446,1994
Visual processing in monkey extrastriate cortex,"JHR Maunsell, WT Newsome","Annual review of neuroscience 10 (1), 363-401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=387071905897850395,1437,1987
Correlated neuronal discharge rate and its implications for psychophysical performance,"E Zohary, MN Shadlen, WT Newsome","Nature 370 (6485), 140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7140482714450318170,1137,1994
Neuronal correlates of a perceptual decision,"WT Newsome, KH Britten, JA Movshon","Nature 341 (6237), 52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3686812671648246117,1136,1989
The analysis of moving patterns,JA Movshon,"Pattern recognition mechanisms, 117-151","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7909673324687651278,713310532942055786",1038,1986
Cortical microstimulation influences perceptual judgements of motion direction,"CD Salzman, KH Britten, WT Newsome","Nature 346 (6280), 174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12722359111643215122,1005,1990
Matching behavior and the representation of value in the parietal cortex,"LP Sugrue, GS Corrado, WT Newsome","science 304 (5678), 1782-1787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13302920880865618933,977,2004
A relationship between behavioral choice and the visual responses of neurons in macaque MT,"KH Britten, WT Newsome, MN Shadlen, S Celebrini, JA Movshon","Visual neuroscience 13 (1), 87-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1919749533565018782,969,1996
"The visual field representation in striate cortex of the macaque monkey: asymmetries, anisotropies, and individual variability","DC Van Essen, WT Newsome, JHR Maunsell","Vision research 24 (5), 429-448",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8312444357901693573,894,1984
A computational analysis of the relationship between neuronal and behavioral responses to visual motion,"MN Shadlen, KH Britten, WT Newsome, JA Movshon","Journal of Neuroscience 16 (4), 1486-1510",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7913657521125114749,859,1996
Sense and the single neuron: probing the physiology of perception,"AJ Parker, WT Newsome","Annual review of neuroscience 21 (1), 227-277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9041184619916256328,801,1998
Deficits in visual motion processing following ibotenic acid lesions of the middle temporal visual area of the macaque monkey,"WT Newsome, RH Wurtz, MR Dursteler, A Mikami","Journal of Neuroscience 5 (3), 825-840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8632378082034972780,776,1985
Stimulus onset quenches neural variability: a widespread cortical phenomenon,"MM Churchland, MY Byron, JP Cunningham, LP Sugrue, MR Cohen, ...","Nature neuroscience 13 (3), 369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5164929508757710403,718,2010
Relation of cortical areas MT and MST to pursuit eye movements. II. Differentiation of retinal from extraretinal inputs,"WT Newsome, RH Wurtz, H Komatsu","Journal of neurophysiology 60 (2), 604-620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9652468824179994974,712,1988
