Title,Authors,Platform,Cited_url,Cited_count,Year
Information and legislative organization,K Krehbiel,University of Michigan Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9935057078217091557,2674,1992
Pivotal politics: A theory of US lawmaking,K Krehbiel,University of Chicago Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10836378356183530133,5790146576363157625",2257,1998
Collective decisionmaking and standing committees: An informational rationale for restrictive amendment procedures,"TW Gilligan, K Krehbiel","Journal of Law, Economics, & Organization 3 (2), 287-335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1192428332826686806,922,1987
Where's the Party?,K Krehbiel,"British Journal of Political Science 23 (2), 235-266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9422781389211231686,879,1993
Asymmetric information and legislative rules with a heterogeneous committee,"TW Gilligan, K Krehbiel","American Journal of Political Science, 459-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14743708547683479655,746,1989
Organization of informative committees by a rational legislature,"TW Gilligan, K Krehbiel","American Journal of Political Science, 531-564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=505314855879482923,521,1990
Are congressional committees composed of preference outliers?,K Krehbiel,"American political Science review 84 (1), 149-163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14505780015329122664,356,1990
Institutionalism as a Methodology,"D Diermeier, K Krehbiel","Journal of theoretical politics 15 (2), 123-144","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=97848511900661679,15815316562346455137",346,2003
Party discipline and measures of partisanship,K Krehbiel,"American Journal of Political Science 44 (2), 206-221",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17439115809590236610,323,2000
Dynamics of cosponsorship,"D Kessler, K Krehbiel","American Political Science Review 90 (3), 555-566",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7857497966309009248,309,1996
Institutional and partisan sources of gridlock: A theory of divided and unified government,K Krehbiel,"Journal of Theoretical Politics 8 (1), 7-40","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7437194819349083300,16971841046645587194",281,1996
Spatial models of legislative choice,K Krehbiel,"Legislative Studies Quarterly 13 (3), 259-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8305152003787509111,256,1988
The budget process and the size of the budget,"J Ferejohn, K Krehbiel","American Journal of Political Science, 296-320","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14323865742646504234,15289811236167541611",255,1987
"Golden parachutes, rubber checks, and strategic retirements from the 102d House","T Groseclose, K Krehbiel","American Journal of Political Science, 75-99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5312405529719799722,245,1994
Why are congressional committees powerful?,"K Krehbiel, KA Shepsle, BR Weingast","American Political Science Review 81 (3), 929-945",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18382914413452992775,237,1987
Cosponsors and Wafflers from A to Z,K Krehbiel,"American Journal of Political Science 39 (4), 906",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2029146878008893905,209,1995
Paradoxes of parties in congress,K Krehbiel,"Legislative Studies Quarterly 24, 31-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12722395695357773842,165,1999
The analysis of committee power: An application to Senate voting on the minimum wage,"K Krehbiel, D Rivers","American Journal of Political Science 32 (4), 1151-1174","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9993975408906146956,12305568401514771651,8561609965783115610",144,1988
Supreme Court appointments as a move‐the‐median game,K Krehbiel,"American Journal of Political Science 51 (2), 231-240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8222107771983309080,140,2007
Gatekeeping,"C Crombez, T Groseclose, K Krehbiel","The Journal of Politics 68 (2), 322-334","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4958872791238903370,6817086706584630481,11898637012323560153,10999913429887947111,9992754840852173333,7647496629952012164,3122530302610235821",129,2006
Restrictive rules reconsidered,K Krehbiel,"American Journal of Political Science, 919-944",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7935997764080250933,115,1997
Legislative organization,K Krehbiel,"Journal of Economic Perspectives 18 (1), 113-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3159693872051173266,105,2004
The incumbency effect in congressional elections: A test of two explanations,"K Krehbiel, JR Wright","American Journal of Political Science 27 (1), 140-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4839318077232906131,105,1983
Constituency characteristics and legislative preferences,K Krehbiel,"Public Choice 76 (1-2), 21-37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9196890008900707424,97,1993
Sophisticated voting in congress: a reconsideration,"K Krehbiel, D Rivers","The Journal of Politics 52 (2), 548-578",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8342954137918788227,83,1990
Complex rules and congressional outcomes: An event study of energy tax legislation,"TW Gilligan, K Krehbiel","The Journal of Politics 50 (3), 625-654","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12442645949828481657,8477002934726810663,3322774083488825453,1540129823233310554",74,1988
