Title,Authors,Platform,Cited_url,Cited_count,Year
"The media equation: How people respond to computers, television, and new media like real people and places.","B Reeves, C Nass",Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6576824601195483652,17890344168566247347,18301279180556900368,14510314232491825715,6492147570124852740,14057725445897907062,6070329585216555829,934893416955228851,14405238680101375825,11948902199648389324,11720033774226710603,10837480758549283241",7269,1996
Can computer personalities be human personalities?,"C Nass, Y Moon, BJ Fogg, B Reeves, C Dryer","Conference companion on Human factors in computing systems, 228-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=864602350884574179,758,1995
The new videomalaise: Effects of televised incivility on political trust,"DC Mutz, B Reeves","American Political Science Review 99 (1), 1-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12411958538097557563,746,2005
Voice user interface with personality,"KJ Surace, GM White, BB Reeves, CI Nass, MD Campbell, RD Albert, ...","US Patent 6,144,938","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4597122571930060470,17658784675605379559,4337481222846036620",669,2000
Total Engagement: How Games and Virtual Worlds Are Changing the Way People Work and Businesses Compete,"B Reeves, JL Read",Harvard Business Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9210997186872909779,632,2009
"Negative video as structure: Emotion, attention, capacity, and memory","A Lang, J Newhagen, B Reeves","Journal of Broadcasting & Electronic Media 40 (4), 460-477",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11155255905462392924,457,1996
The evening's bad news: Effects of compelling negative television news images on memory,"JE Newhagen, B Reeves","Journal of Communication 42 (2), 25-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5302017269473313927,425,1992
Voice user interface with personality,"KJ Surace, GM White, BB Reeves, CI Nass, MD Campbell, RD Albert, ...","US Patent 6,334,103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10474476342941112919,390,2001
Learning theories and education: Toward a decade of synergy.,"J Bransford, R Stevens, D Schwartz, A Meltzoff, R Pea, J Roschelle, N Vye, ...",Lawrence Erlbaum Associates Publishers,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7910152657766461834,352,2006
The effects of screen size and message content on attention and arousal,"B Reeves, A Lang, EY Kim, D Tatar","Media Psychology 1 (1), 49-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7594515820464925069,306,1999
Historical trends in research on children and the media: 1900–1960.,"E Wartella, B Reeves",Journal of Communication,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6024045695055790263,292,1985
"The effects of animated characters on anxiety, task performance, and evaluations of user interfaces","R Rickenberg, B Reeves",Proceedings of the SIGCHI conference on Human Factors in Computing Systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15627854021045375185,277,2000
A bio-informational theory of emotion: Motion and image size effects on viewers.,"BH Detenber, B Reeves",Journal of Communication,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9226228390881464364,266,1996
Attention to television: Intrastimulus effects of movement and scene changes on alpha variation over time,"B Reeves, E Thorson, ML Rothschild, D McDonald, J Hirsch, R Goldstein","International Journal of Neuroscience 27 (3-4), 241-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9472887841938286567,231,1985
Leadership's online labs,"B Reeves, TW Malone, T O'DRISCOLL","Harvard Business Review 86 (5), 58-66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8655195772615161287,218,2008
On the nature of mass media effects,"JM McLeod, B Reeves","Television and social behavior: Beyond violence and children, 17-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17997310747280571343,215,1980
Positive and negative political advertising: Effectiveness of ads and perceptions of candidates.,"M Basil, C Schooler, B Reeves","Lawrence Erlbaum Associates, Inc",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11499357546889423300,204,1991
Computer agents versus avatars: Responses to interactive game characters controlled by a computer or other player,"S Lim, B Reeves","International Journal of Human-Computer Studies 68 (1-2), 57-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2628026059483925711,203,2010
Foundations and opportunities for an interdisciplinary science of learning.,"JD Bransford, B Barron, RD Pea, A Meltzoff, P Kuhl, P Bell, R Stevens, ...",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15775224006558207219,196,2006
