Title,Authors,Platform,Cited_url,Cited_count,Year
Web caching and Zipf-like distributions: Evidence and implications,"L Breslau, P Cao, L Fan, G Phillips, S Shenker","Ieee Infocom 1 (1), 126-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4293384466395003604,3800,1999
Search and replication in unstructured peer-to-peer networks,"Q Lv, P Cao, E Cohen, K Li, S Shenker","Proceedings of the 16th international conference on Supercomputing, 84-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17818466769784722704,2525,2002
Summary cache: a scalable wide-area web cache sharing protocol,"L Fan, P Cao, J Almeida, AZ Broder","IEEE/ACM Transactions on Networking (TON) 8 (3), 281-293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11855432447002963865,1889,2000
Cost-aware www proxy caching algorithms.,"P Cao, S Irani","Usenix symposium on internet technologies and systems 12 (97), 193-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=161562794791208817,1386,1997
Summary cache: A scalable wide-area web cache sharing protocol,"L Fan, P Cao, J Almeida, AZ Broder","ACM SIGCOMM Computer Communication Review 28 (4), 254-265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18066790496670563714,849,1998
Maintaining strong cache consistency in the world wide web,"P Cao, C Liu","IEEE Transactions on Computers 47 (4), 445-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11136044468571547469,532,1998
Improving traffic locality in BitTorrent via biased neighbor selection,"R Bindal, P Cao, W Chan, J Medved, G Suwala, T Bates, A Zhang",26th IEEE International Conference on Distributed Computing Systems (ICDCS …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11087278535632400279,507,2006
A study of integrated prefetching and caching strategies,"P Cao, EW Felten, AR Karlin, K Li","ACM SIGMETRICS Performance Evaluation Review 23 (1), 188-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=291417735334566743,453,1995
Active cache: Caching dynamic contents on the web,"P Cao, J Zhang, K Beach",Proceedings of the IFIP International Conference on Distributed Systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2218217472558436873,391,2009
Web pre fetching between low-bandwidth clients and proxies: potential and performance,"L Fan, P Cao, W Lin, Q Jacobson","SIGMETRICS 99 (5), 99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17329445182658992479,385,1999
Efficient top-k query calculation in distributed networks,"P Cao, Z Wang",Proceedings of the twenty-third annual ACM symposium on Principles of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17743452248902214257,317,2004
"Implementation and performance of integrated application-controlled file caching, prefetching, and disk scheduling","P Cao, EW Felten, AR Karlin, K Li","ACM Transactions on Computer Systems (TOCS) 14 (4), 311-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1994725549324594567,294,1996
Reducing energy consumption of disk storage using power-aware cache management,"Q Zhu, FM David, CF Devaraj, Z Li, Y Zhou, P Cao",10th International Symposium on High Performance Computer Architecture (HPCA …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13282757342766328238,289,2004
The TickerTAIP parallel RAID architecture,"P Cao, SB Lin, S Venkataraman, J Wilkes","ACM Transactions on Computer Systems (TOCS) 12 (3), 236-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16661628201228608025,283,1994
Providing differentiated levels of service in web content hosting,"J Almeida, M Dabu, A Manikutty, P Cao",University of Wisconsin-Madison Department of Computer Sciences,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4973120635102357818,210,1998
Implementation and performance of application-controlled file caching,"P Cao, EW Felten, K Li",Proceedings of the 1st USENIX conference on Operating Systems Design and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13985719218907561090,203,1994
Application-Controlled File Caching Policies.,"P Cao, EW Felten, K Li","USENIX Summer, 171-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14911117698914085951,192,1994
A trace-driven comparison of algorithms for parallel prefetching and caching,"T Kimbrel, A Tomkins, RH Patterson, B Bershad, P Cao, EW Felten, ...","OSDI, 19-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13486306032584464906,180,1996
Adaptive page replacement based on memory reference behavior,"G Glass, P Cao","ACM SIGMETRICS Performance Evaluation Review 25 (1), 115-126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13360027772797340057,170,1997
On the implications of Zipf's law for web caching,"L Breslau, P Cao, L Fan, G Phillips, S Shenker",University of Wisconsin-Madison Department of Computer Sciences,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13066508987158819377,139,1998
NS-2 TCP-Linux: an NS-2 TCP implementation with congestion control algorithms from Linux,"DX Wei, P Cao","Proceeding from the 2006 workshop on ns-2: the IP network simulator, 9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12760340561012232222,131,2006
Hash-AV: Fast Virus Signature matching by Cache-Resident Filters,"O Erdogan, P Cao","Int. J. Secur. Netw 2, 50-59","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11854097595164212209,3516717170548012306,9118061290386424597",117,2007
Cytogenetic analysis of human bone marrow‐derived mesenchymal stem cells passaged ,"ZX Zhang, LX Guan, K Zhang, S Wang, PC Cao, YH Wang, Z Wang, ...","Cell biology international 31 (6), 645-648",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1410163579991668636,115,2007
Active query caching for database web servers,"Q Luo, JF Naughton, R Krishnamurthy, P Cao, Y Li","International Workshop on the World Wide Web and Databases, 92-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1460854026560219781,104,2000
Measuring proxy performance with the wisconsin proxy benchmark,"J Almeida, P Cao","Computer Networks And ISDN Systems 30 (22-23), 2179-2192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13501958499715621989,101,1998
Hash-AV: Fast Virus Signature matching by Cache-Resident Filters,"O Erdogan, P Cao","Int. J. Secur. Netw 2, 50-59",,78,2007
Hash-AV: Fast Virus Signature matching by Cache-Resident Filters,"O Erdogan, P Cao","Int. J. Secur. Netw 2, 50-59",,78,2007
Persistent connection behavior of popular browsers,"Z Wang, P Cao",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15006386836964681343,71,1998
WCIP: Web cache invalidation protocol,"D Li, P Cao, M Dahlin",IETF Internet Draft,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13801625481643634046,63,2000
"The TickerTAIP parallel RAID architecture, 1993, 12 pages",P Cao,"Princeton, NJ",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12540077310938568969,58,0
TCP pacing revisited,"D Wei, P Cao, S Low, C EAS","Proceedings of IEEE INFOCOM 2, 3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4772016536373231422,53,2006
Integrated parallel prefetching and caching,"T Kimbrel, P Cao, EW Felten, AR Karlin, K Li","ACM SIGMETRICS Performance Evaluation Review 24 (1), 262-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13582320369158574659,51,1996
Application-controlled file caching and prefetching,P Cao,Princeton University,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16254698839208807632,40,1996
Time for a tcp benchmark suite,"DX Wei, P Cao, SH Low",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13594398254018219828,37,2005
Flow-cookies: Using bandwidth amplification to defend against DDoS flooding attacks,"M Casado, P Cao, A Akella, N Provos","200614th IEEE International Workshop on Quality of Service, 286-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1490165033625813213,32,2006
Can self-organizing P2P file distribution provide QoS guarantees?,"R Bindal, P Cao","ACM SIGOPS Operating Systems Review 40 (3), 22-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4823870166044266244,31,2006
Potential and limits of web prefetching between low-bandwidth clients and proxies,"Q Jacobson, P Cao",University of Wisconsin-Madison Department of Computer Sciences,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13707203371055494637,30,1998
