Title,Authors,Platform,Cited_url,Cited_count,Year
The large area telescope on the Fermi gamma-ray space telescope mission,"WB Atwood, AA Abdo, M Ackermann, W Althouse, B Anderson, ...","The Astrophysical Journal 697 (2), 1071",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15337853610723244392,3583,2009
Measurement of the Cosmic Ray ,"AA Abdo, M Ackermann, M Ajello, WB Atwood, M Axelsson, L Baldini, ...","Physical Review Letters 102 (18), 181101","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8881552529538659931,13170949725607574204",1923,2009
Fermi large area telescope first source catalog,"AA Abdo, M Ackermann, M Ajello, A Allafort, E Antolini, WB Atwood, ...","The Astrophysical Journal Supplement Series 188 (2), 405","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15236665364345628976,7318177601427028258,13031160409272659149",1560,2010
Fermi large area telescope second source catalog,"PL Nolan, AA Abdo, M Ackermann, M Ajello, A Allafort, E Antolini, ...","The Astrophysical Journal Supplement Series 199 (2), 31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14200394053579205515,1470,2012
Fermi large area telescope third source catalog,"F Acero, M Ackermann, M Ajello, A Albert, WB Atwood, M Axelsson, ...","The Astrophysical Journal Supplement Series 218 (2), 23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11711056510126736734,1400,2015
The first Fermi Large Area Telescope catalog of gamma-ray pulsars,"AA Abdo, M Ackermann, M Ajello, WB Atwood, M Axelsson, L Baldini, ...","The Astrophysical Journal Supplement Series 187 (2), 460","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17595063456809834827,15316751009997699819,3664270006145799105,11303227520544628567",898,2010
Fermi/large area telescope bright gamma-ray source list,"AA Abdo, M Ackermann, M Ajello, WB Atwood, M Axelsson, L Baldini, ...","The Astrophysical Journal Supplement Series 183 (1), 46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1977933971059691579,9589717030786550576",791,2009
Measurement of separate cosmic-ray electron and positron spectra with the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Allafort, WB Atwood, L Baldini, G Barbiellini, ...","Physical review letters 108 (1), 011103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5119251917792196274,702,2012
Detection of the characteristic pion-decay signature in supernova remnants,"M Ackermann, M Ajello, A Allafort, L Baldini, J Ballet, G Barbiellini, ...","Science 339 (6121), 807-811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15416450853716343624,699,2013
The spectral energy distribution of Fermi bright blazars,"AA Abdo, M Ackermann, I Agudo, M Ajello, HD Aller, MF Aller, ...","The Astrophysical Journal 716 (1), 30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1699705783480542492,682,2010
The second catalog of active galactic nuclei detected by the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Allafort, E Antolini, WB Atwood, M Axelsson, ...","The Astrophysical Journal 743 (2), 171","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2319836680806026192,2664564787759271462,16007385225674043716",676,2011
Constraining dark matter models from a combined analysis of Milky Way satellites with the Fermi Large Area Telescope,"M Ackermann, M Ajello, A Albert, WB Atwood, L Baldini, J Ballet, ...","Physical Review Letters 107 (24), 241302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7747471527448382382,652,2011
