Title,Authors,Platform,Cited_url,Cited_count,Year
First lasing and operation of an ångstrom-wavelength free-electron laser,"P Emma, R Akre, J Arthur, R Bionta, C Bostedt, J Bozek, A Brachmann, ...","nature photonics 4 (9), 641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10549923165718406413,2615,2010
Principles of the quantum control of molecular processes,"M Shapiro, P Brumer","Principles of the Quantum Control of Molecular Processes, by Moshe Shapiro …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4713837352354181528,17793335241959217393",1278,2003
Above-threshold ionization with subpicosecond laser pulses,"RR Freeman, PH Bucksbaum, H Milchberg, S Darack, D Schumacher, ...","Physical review letters 59 (10), 1092",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3486910542917286790,831,1987
Femtosecond electronic response of atoms to ultra-intense X-rays,"L Young, EP Kanter, B Kraessig, Y Li, AM March, ST Pratt, R Santra, ...","Nature 466 (7302), 56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17631165061726104636,689,2010
Weak interactions of leptons and quarks,"ED Commins, PH Bucksbaum",cambridge university press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7367715662208591886,15725733794677087055",672,1983
Softening of the H 2+ molecular bond in intense laser fields,"PH Bucksbaum, A Zavriyev, HG Muller, DW Schumacher","Physical review letters 64 (16), 1883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18179851275734757112,630,1990
Controlling the shape of a quantum wavefunction,"TC Weinacht, J Ahn, PH Bucksbaum","Nature 397 (6716), 233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14561927801543174279,518,1999
Generation of high-power sub-single-cycle 500-fs electromagnetic pulses,"D You, RR Jones, PH Bucksbaum, DR Dykaar","Optics letters 18 (4), 290-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11588967738865019587,498,1993
High harmonic generation from multiple orbitals in N2,"BK McFarland, JP Farrell, PH Bucksbaum, M Gühr","Science 322 (5905), 1232-1235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10673692153409046449,460,2008
Time-resolved x-ray diffraction from coherent phonons during a laser-induced phase transition,"AM Lindenberg, I Kang, SL Johnson, T Missalla, PA Heimann, Z Chang, ...","Physical review letters 84 (1), 111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15761633240894945873,429,2000
"Ionization and dissociation of H 2 in intense laser fields at 1.064 μm, 532 nm, and 355 nm","A Zavriyev, PH Bucksbaum, HG Muller, DW Schumacher","Physical Review A 42 (9), 5500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12584396408358312034,386,1990
Ultrafast bond softening in bismuth: mapping a solid's interatomic potential with X-rays,"DM Fritz, DA Reis, B Adams, RA Akre, J Arthur, C Blome, PH Bucksbaum, ...","Science 315 (5812), 633-636",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4393247464927893164,357,2007
Atomic-scale visualization of inertial dynamics,"AM Lindenberg, J Larsson, K Sokolowski-Tinten, KJ Gaffney, C Blome, ...","Science 308 (5720), 392-395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10661532589333730763,354,2005
Ionization of Rydberg atoms by subpicosecond half-cycle electromagnetic pulses,"RR Jones, D You, PH Bucksbaum","Physical review letters 70 (9), 1236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10626987952550114165,350,1993
Information storage and retrieval through quantum phase,"J Ahn, TC Weinacht, PH Bucksbaum","Science 287 (5452), 463-465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5092329608218518603,346,2000
Clocking femtosecond X rays,"AL Cavalieri, DM Fritz, SH Lee, PH Bucksbaum, DA Reis, J Rudati, ...","Physical review letters 94 (11), 114801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1036468315489779056,310,2005
Light-induced vibrational structure in H 2+ and D 2+ in intense laser fields,"A Zavriyev, PH Bucksbaum, J Squier, F Saline","Physical review letters 70 (8), 1077",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3045997820027644563,310,1993
Investigations of above-threshold ionization using subpicosecond laser pulses,"RR Freeman, PH Bucksbaum","Journal of Physics B: Atomic, Molecular and Optical Physics 24 (2), 325",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8294494939443220634,310,1991
Rings in above-threshold ionization: A quasiclassical analysis,"M Lewenstein, KC Kulander, KJ Schafer, PH Bucksbaum","Physical Review A 51 (2), 1495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6523380698401302956,305,1995
Coherent control using adaptive learning algorithms,"BJ Pearson, JL White, TC Weinacht, PH Bucksbaum","Physical Review A 63 (6), 063412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10450368285697012687,263,2001
Phase dependence of intense field ionization: a study using two colors,"DW Schumacher, F Weihe, HG Muller, PH Bucksbaum","Physical review letters 73 (10), 1344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4984534045752508127,235,1994
Nonlinear atomic response to intense ultrashort x rays,"G Doumy, C Roedig, SK Son, CI Blaga, AD DiChiara, R Santra, N Berrah, ...","Physical Review Letters 106 (8), 083002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18401900970656520984,224,2011
Measurement of the amplitude and phase of a sculpted Rydberg wave packet,"TC Weinacht, J Ahn, PH Bucksbaum","Physical Review Letters 80 (25), 5508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1767524676741197655,221,1998
