Title,Authors,Platform,Cited_url,Cited_count,Year
T cells expressing CD19 chimeric antigen receptors for acute lymphoblastic leukaemia in children and young adults: a phase 1 dose-escalation trial,"DW Lee, JN Kochenderfer, M Stetler-Stevenson, YK Cui, C Delbrook, ...","The Lancet 385 (9967), 517-528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9416039584394878400,1481,2015
Tumor regression in patients with metastatic synovial cell sarcoma and melanoma using genetically engineered lymphocytes reactive with NY-ESO-1,"PF Robbins, RA Morgan, SA Feldman, JC Yang, RM Sherry, ME Dudley, ...","Journal of Clinical Oncology 29 (7), 917",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10893578580847412259,1274,2011
"Age, thymopoiesis, and CD4+ T-lymphocyte regeneration after intensive chemotherapy","CL Mackall, TA Fleisher, MR Brown, MP Andrich, CC Chen, IM Feuerstein, ...","New England Journal of Medicine 332 (3), 143-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14265636504535220939,1119,1995
Current concepts in the diagnosis and management of cytokine release syndrome,"DW Lee, R Gardner, DL Porter, CU Louis, N Ahmed, M Jensen, SA Grupp, ...","Blood 124 (2), 188-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17492543877755869613,846,2014
Interleukin-7: from bench to clinic,"TJ Fry, CL Mackall","Blood, The Journal of the American Society of Hematology 99 (11), 3892-3904",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16525622805870747297,556,2002
The many faces of IL-7: from lymphopoiesis to peripheral T cell maintenance,"TJ Fry, CL Mackall","The Journal of Immunology 174 (11), 6571-6576",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5654642065098241942,553,2005
4-1BB costimulation ameliorates T cell exhaustion induced by tonic signaling of chimeric antigen receptors,"AH Long, WM Haso, JF Shern, KM Wanhainen, M Murgai, M Ingaramo, ...","Nature medicine 21 (6), 581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6350647089302207335,488,2015
A potential role for interleukin-7 in T-cell homeostasis,"TJ Fry, E Connick, J Falloon, MM Lederman, DJ Liewehr, J Spritzler, ...","Blood 97 (10), 2983-2990",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11997366379481497776,455,2001
Administration of rhIL-7 in humans increases in vivo TCR repertoire diversity by preferential expansion of naive T cell subsets,"C Sportès, FT Hakim, SA Memon, H Zhang, KS Chua, MR Brown, ...","Journal of Experimental Medicine 205 (7), 1701-1714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1983384333575166215,437,2008
Thymic-independent T cell regeneration occurs via antigen-driven expansion of peripheral T cells resulting in a repertoire that is limited in diversity and prone to skewing.,"CL Mackall, CV Bare, LA Granger, SO Sharrow, JA Titus, RE Gress","The Journal of Immunology 156 (12), 4609-4616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12552617100672685876,432,1996
