Title,Authors,Platform,Cited_url,Cited_count,Year
Ultra-fast excited state dynamics in green fluorescent protein: multiple states and proton transfer,"M Chattoraj, BA King, GU Bublitz, SG Boxer","Proceedings of the National Academy of Sciences 93 (16), 8362-8367","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14568247389000252959,13242166605329718923",915,1996
"Photoinduced Electron Transfer: Photoinduced electron transfer reactions, inorganic substrates and applications","MA Fox, M Chanon",Elsevier Science Limited,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7994126448781326168,805,1988
Formation and spreading of lipid bilayers on planar glass supports,"PS Cremer, SG Boxer","The Journal of Physical Chemistry B 103 (13), 2554-2559",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=101978915920725428,790,1999
Micropatterning fluid lipid bilayers on solid supports,"JT Groves, N Ulman, SG Boxer","Science 275 (5300), 651-653",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=658687019934322497,665,1997
"Stark spectroscopy: applications in chemistry, biology, and materials science","GU Bublitz, SG Boxer","Annual review of physical chemistry 48 (1), 213-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4085128525592420512,560,1997
Model membrane systems and their applications,"YHM Chan, SG Boxer","Current opinion in chemical biology 11 (6), 581-587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=965734939573242567,458,2007
Probing protein electrostatics with a synthetic fluorescent amino acid,"BE Cohen, TB McAnaney, ES Park, YN Jan, SG Boxer, LY Jan","Science 296 (5573), 1700-1703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17569038073670778059,414,2002
Micropattern formation in supported lipid membranes,"JT Groves, SG Boxer","Accounts of chemical research 35 (3), 149-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2118310274476411487,411,2002
Architecture and function of membrane proteins in planar supported bilayers: a study with photosynthetic reaction centers,"J Salafsky, JT Groves, SG Boxer","Biochemistry 35 (47), 14773-14781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7710029014369627535,372,1996
Brownian ratchets: Molecular separations in lipid bilayers supported on patterned arrays,"A Van Oudenaarden, SG Boxer","Science 285 (5430), 1046-1048",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=926411571905054225,330,1999
Dielectric asymmetry in the photosynthetic reaction center,"MA Steffen, K Lao, SG Boxer","Science 264 (5160), 810-816",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12115420217880917445,298,1994
Early steps of supported bilayer formation probed by single vesicle fluorescence assays,"JM Johnson, T Ha, S Chu, SG Boxer","Biophysical journal 83 (6), 3371-3379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11673413820073283709,287,2002
Arrays of mobile tethered vesicles on supported lipid bilayers,"C Yoshina-Ishii, SG Boxer","Journal of the American Chemical Society 125 (13), 3696-3697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13834829053508439704,286,2003
Studies of the electronic structure of metallocene-based second-order nonlinear optical dyes,"S Barlow, HE Bunting, C Ringham, JC Green, GU Bublitz, SG Boxer, ...","Journal of the American Chemical Society 121 (15), 3715-3723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8604623521924953188,279,1999
Molecular transport and organization in supported lipid membranes,SG Boxer,"Current opinion in chemical biology 4 (6), 704-709",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14071015468562252714,274,2000
Advances in imaging secondary ion mass spectrometry for biological samples,"SG Boxer, ML Kraft, PK Weber","Annual review of biophysics 38, 53-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3342649026450032625,273,2009
Phase separation of lipid membranes analyzed with high-resolution secondary ion mass spectrometry,"ML Kraft, PK Weber, ML Longo, ID Hutcheon, SG Boxer","Science 313 (5795), 1948-1951",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12239155444043722764,270,2006
Electric fields at the active site of an enzyme: Direct comparison of experiment with theory,"IT Suydam, CD Snow, VS Pande, SG Boxer","Science 313 (5784), 200-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12756391858086331135,268,2006
Green fluorescent protein variants as ratiometric dual emission pH sensors. 1. Structural characterization and preliminary application,"GT Hanson, TB McAnaney, ES Park, MEP Rendell, DK Yarbrough, S Chu, ...","Biochemistry 41 (52), 15477-15488",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14230459513114432996,258,2002
Stark realities,SG Boxer,"The Journal of Physical Chemistry B 113 (10), 2972-2983",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1373193650438354298,247,2009
Vibrational stark effects of nitriles I. Methods and experimental results,"SS Andrews, SG Boxer","The Journal of Physical Chemistry A 104 (51), 11853-11863",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1277068400202222877,247,2000
Vesicle adsorption and lipid bilayer formation on glass studied by atomic force microscopy,"H Schönherr, JM Johnson, P Lenz, CW Frank, SG Boxer","Langmuir 20 (26), 11600-11606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16301786898507434237,242,2004
Vibrational Stark effects calibrate the sensitivity of vibrational probes for electric fields in proteins,"IT Suydam, SG Boxer","Biochemistry 42 (41), 12050-12055",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5269826283656260847,237,2003
Effects of linker sequences on vesicle fusion mediated by lipid-anchored DNA oligonucleotides,"YHM Chan, B van Lengerich, SG Boxer","Proceedings of the National Academy of Sciences 106 (4), 979-984",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14365870133853107591,229,2009
Patterning and composition arrays of supported lipid bilayers by microcontact printing,"JS Hovis, SG Boxer","Langmuir 17 (11), 3400-3405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11220004382038019930,224,2001
Patterning hybrid surfaces of proteins and supported lipid bilayers,"LA Kung, L Kam, JS Hovis, SG Boxer","Langmuir 16 (17), 6773-6776",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13049176449931956865,223,2000
Vibrational stark spectroscopy in proteins: A probe and calibration for electrostatic fields,"ES Park, SS Andrews, RB Hu, SG Boxer","The Journal of Physical Chemistry B 103 (45), 9813-9817",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3101405410002496344,222,1999
Electroabsorption (Stark effect) spectroscopy of mono-and biruthenium charge-transfer complexes: measurements of changes in dipole moments and other electrooptic properties,"DH Oh, M Sano, SG Boxer","Journal of the American Chemical Society 113 (18), 6880-6890",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12383916886723643871,213,1991
A covalently bound dimeric derivative of pyrochlorophyllide a. A possible model for reaction center chlorophyll,"SG Boxer, GL Closs","Journal of the American Chemical Society 98 (17), 5406-5408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10341796010310975565,207,1976
Patterning barriers to lateral diffusion in supported lipid bilayer membranes by blotting and stamping,"JS Hovis, SG Boxer","Langmuir 16 (3), 894-897",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2273907041392756279,206,2000
Crystal structure and photodynamic behavior of the blue emission variant Y66H/Y145F of green fluorescent protein,"RM Wachter, BA King, R Heim, K Kallio, RY Tsien, SG Boxer, ...","Biochemistry 36 (32), 9759-9765",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8632536354623639735,204,1997
Extreme electric fields power catalysis in the active site of ketosteroid isomerase,"SD Fried, S Bagchi, SG Boxer","Science 346 (6216), 1510-1514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6024034797314171726,196,2014
Magnitude and direction of the change in dipole moment associated with excitation of the primary electron donor in Rhodopseudomonas sphaeroides reaction centers,"DJ Lockhart, SG Boxer","Biochemistry 26 (3), 664-668",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6257200338173888896,193,1987
Cell adhesion to protein‐micropatterned‐supported lipid bilayer membranes,"L Kam, SG Boxer",Journal of Biomedical Materials Research: An Official Journal of The Society …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7781918739704860029,182,2001
Substrate− membrane interactions: Mechanisms for imposing patterns on a fluid bilayer membrane,"JT Groves, N Ulman, PS Cremer, SG Boxer","Langmuir 14 (12), 3347-3350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2974764226658562997,182,1998
Stark effect spectroscopy of Rhodobacter sphaeroides and Rhodopseudomonas viridis reaction centers,"DJ Lockhart, SG Boxer","Proceedings of the National Academy of Sciences 85 (1), 107-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13593146681267388254,181,1988
"Excited states, electron-transfer reactions, and intermediates in bacterial photosynthetic reaction centers","SG Boxer, RA Goldstein, DJ Lockhart, TR Middendorf, L Takiff","The Journal of Physical Chemistry 93 (26), 8280-8294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11699915693512321636,175,1989
Model reactions in photosynthesis,SG Boxer,"Biochimica et Biophysica Acta (BBA)-Reviews on Bioenergetics 726 (4), 265-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11317423612449466119,174,1983
Site-specific conversion of cysteine thiols into thiocyanate creates an IR probe for electric fields in proteins,"AT Fafarman, LJ Webb, JI Chuang, SG Boxer","Journal of the American Chemical Society 128 (41), 13356-13357",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6887575236608501287,173,2006
