Title,Authors,Platform,Cited_url,Cited_count,Year
Angle-resolved photoemission studies of the cuprate superconductors,"A Damascelli, Z Hussain, ZX Shen","Reviews of modern physics 75 (2), 473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10318558313954895846,3616,2003
"Experimental realization of a three-dimensional topological insulator, Bi2Te3","YL Chen, JG Analytis, JH Chu, ZK Liu, SK Mo, XL Qi, HJ Zhang, DH Lu, ...","science 325 (5937), 178-181",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10959865362302169998,2969,2009
Evidence for ubiquitous strong electron–phonon coupling in high-temperature superconductors,"A Lanzara, PV Bogdanov, XJ Zhou, SA Kellar, DL Feng, ED Lu, T Yoshida, ...","Nature 412 (6846), 510",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13247463491010741839,1522,2001
"Discovery of a three-dimensional topological Dirac semimetal, Na3Bi","ZK Liu, B Zhou, Y Zhang, ZJ Wang, HM Weng, D Prabhakaran, SK Mo, ...","Science 343 (6173), 864-867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12962291623388664805,1425,2014
Excitation gap in the normal state of underdoped Bi2Sr2CaCu2O8+ δ,"AG Loeser, ZX Shen, DS Dessau, DS Marshall, CH Park, P Fournier, ...","Science 273 (5273), 325-329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=207776824508864382,1180,1996
Anomalously large gap anisotropy in the ,"ZX Shen, DS Dessau, BO Wells, DM King, WE Spicer, AJ Arko, D Marshall, ...","Physical Review Letters 70 (10), 1553","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16438212460105672416,16320810531436307923",1125,1993
A stable three-dimensional topological Dirac semimetal Cd,"ZK Liu, J Jiang, B Zhou, ZJ Wang, Y Zhang, HM Weng, D Prabhakaran, ...","Nature materials 13 (7), 677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4431812527666109820,963,2014
Massive Dirac fermion on the surface of a magnetically doped topological insulator,"YL Chen, JH Chu, JG Analytis, ZK Liu, K Igarashi, HH Kuo, XL Qi, SK Mo, ...","Science 329 (5992), 659-662",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14015515986553634668,946,2010
Giant bandgap renormalization and excitonic effects in a monolayer transition metal dichalcogenide semiconductor,"MM Ugeda, AJ Bradley, SF Shi, H Felipe, Y Zhang, DY Qiu, W Ruan, ...","Nature materials 13 (12), 1091",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9938599660809715338,929,2014
Unconventional Electronic Structure Evolution with Hole Doping in ,"DS Marshall, DS Dessau, AG Loeser, CH Park, AY Matsuura, JN Eckstein, ...","Physical Review Letters 76 (25), 4841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2678717093665279680,852,1996
Electronic structure and photoemission studies of late transition-metal oxides—Mott insulators and high-temperature superconductors,"ZX Shen, DS Dessau","Physics Reports 253 (1-3), 1-162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8430495904151840185,801,1995
Direct observation of the transition from indirect to direct bandgap in atomically thin epitaxial MoSe,"Y Zhang, TR Chang, B Zhou, YT Cui, H Yan, Z Liu, F Schmitt, J Lee, ...","Nature nanotechnology 9 (2), 111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17974228501299216552,772,2014
