Title,Authors,Platform,Cited_url,Cited_count,Year
Habitat structural complexity and the interaction between bluegills and their prey,"LB Crowder, WE Cooper","Ecology 63 (6), 1802-1813",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2454423553219714982,1512,1982
A stage‐based population model for loggerhead sea turtles and implications for conservation,"DT Crouse, LB Crowder, H Caswell","Ecology 68 (5), 1412-1423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3501653195376842117,1344,1987
Larval size and recruitment mechanisms in fishes: toward a conceptual framework,"TJ Miller, LB Crowder, JA Rice, EA Marschall","Canadian Journal of Fisheries and Aquatic Sciences 45 (9), 1657-1670",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3471817498289307469,1340,1988
Temperature as an ecological resource,"JJ Magnuson, LB Crowder, PA Medvick","American Zoologist 19 (1), 331-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16843359226838413552,1063,1979
Understanding impacts of fisheries bycatch on marine megafauna,"RL Lewison, LB Crowder, AJ Read, SA Freeman","Trends in ecology & evolution 19 (11), 598-604",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2919689289708022317,925,2004
The impact of United States recreational fisheries on marine fish populations,"FC Coleman, WF Figueira, JS Ueland, LB Crowder","science 305 (5692), 1958-1960",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11004076412405954917,630,2004
Quantifying the effects of fisheries on threatened species: the impact of pelagic longlines on loggerhead and leatherback sea turtles,"RL Lewison, SA Freeman, LB Crowder","Ecology letters 7 (3), 221-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3670973514622857081,617,2004
An index to assess the health and benefits of the global ocean,"BS Halpern, C Longo, D Hardy, KL McLeod, JF Samhouri, SK Katona, ...","Nature 488 (7413), 615","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12265823800364575927,1770209575226578619",608,2012
Life histories and elasticity patterns: perturbation analysis for species with minimal demographic data,"SS Heppell, H Caswell, LB Crowder","Ecology 81 (3), 654-665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3397325245331905536,577,2000
Essential ecological insights for marine ecosystem-based management and marine spatial planning,"L Crowder, E Norse","Marine policy 32 (5), 772-778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17187973443766295020,484,2008
Current normative concepts in conservation,"JB Callicott, LB Crowder, K Mumford","Conservation biology 13 (1), 22-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3938474847827477298,477,1999
Predicting the impact of turtle excluder devices on loggerhead sea turtle populations,"LB Crowder, DT Crouse, SS Heppell, TH Martin","Ecological Applications 4 (3), 437-445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3111908419219384687,472,1994
