Title,Authors,Platform,Cited_url,Cited_count,Year
Light field rendering,"M Levoy, P Hanrahan",Proceedings of the 23rd annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14296166925554874381,4604,1996
Volume rendering,"RA Drebin, L Carpenter, P Hanrahan","ACM Siggraph Computer Graphics 22 (4), 65-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18134214047804979489,2421,1988
Light field photography with a hand-held plenoptic camera,"R Ng, M Levoy, M Brédif, G Duval, M Horowitz, P Hanrahan","Computer Science Technical Report CSTR 2 (11), 1-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13481310972478505769,2125,2005
Brook for GPUs: stream computing on graphics hardware,"I Buck, T Foley, D Horn, J Sugerman, K Fatahalian, M Houston, ...","ACM transactions on graphics (TOG) 23 (3), 777-786",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4799794503580002524,1700,2004
Realistic image synthesis using photon mapping,HW Jensen,AK Peters/CRC Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4122032723751651280,1208,2001
Larrabee: a many-core x86 architecture for visual computing,"L Seiler, D Carmean, E Sprangle, T Forsyth, M Abrash, P Dubey, ...","ACM Transactions on Graphics (TOG) 27 (3), 18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16688585916114853445,1078,2008
A practical model for subsurface light transport,"HW Jensen, SR Marschner, M Levoy, P Hanrahan",Proceedings of the 28th annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15774324685083672540,1055,2001
Shapenet: An information-rich 3d model repository,"AX Chang, T Funkhouser, L Guibas, P Hanrahan, Q Huang, Z Li, ...",arXiv preprint arXiv:1512.03012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1341601736562194564,967,2015
Ray tracing on programmable graphics hardware,"TJ Purcell, I Buck, WR Mark, P Hanrahan","ACM SIGGRAPH 2005 Courses, 268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16333494083743841448,957,2005
A rapid hierarchical radiosity algorithm,"P Hanrahan, D Salzman, L Aupperle","ACM SIGGRAPH Computer Graphics 25 (4), 197-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1196590730158866734,846,1991
"Polaris: A system for query, analysis, and visualization of multidimensional relational databases","C Stolte, D Tang, P Hanrahan","IEEE Transactions on Visualization and Computer Graphics 8 (1), 52-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16493962604029080055,790,2002
An efficient representation for irradiance environment maps,"R Ramamoorthi, P Hanrahan",Proceedings of the 28th annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12395263200772239579,714,2001
Hierarchical splatting: A progressive refinement algorithm for volume rendering,"D Laur, P Hanrahan","ACM SIGGRAPH computer graphics 25 (4), 285-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15515855964407646645,664,1991
Reflection from layered surfaces due to subsurface scattering,"P Hanrahan, W Krueger",Proceedings of the 20th annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3646832297164059374,639,1993
A signal-processing framework for inverse rendering,"R Ramamoorthi, P Hanrahan",Proceedings of the 28th annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7806367190356385631,598,2001
Sequoia: Programming the memory hierarchy,"K Fatahalian, DR Horn, TJ Knight, L Leem, M Houston, JY Park, M Erez, ...","Proceedings of the 2006 ACM/IEEE conference on Supercomputing, 83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17056421116815730373,595,2006
Beam tracing polygonal objects,"PS Heckbert, P Hanrahan","ACM SIGGRAPH Computer Graphics 18 (3), 119-127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4919058874702740744,562,1984
Realistic modeling and rendering of plant ecosystems,"O Deussen, P Hanrahan, B Lintermann, R Měch, M Pharr, ...",Proceedings of the 25th annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17282862067735813291,548,1998
Photon mapping on programmable graphics hardware,"TJ Purcell, C Donner, M Cammarano, HW Jensen, P Hanrahan","ACM SIGGRAPH 2005 Courses, 258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12568995932733256776,511,2005
WireGL: a scalable graphics system for clusters,"G Humphreys, M Eldridge, I Buck, G Stoll, M Everett, P Hanrahan",Proceedings of the 28th annual conference on Computer graphics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15933895215017825051,493,2001
All-frequency shadows using non-linear wavelet lighting approximation,"R Ng, R Ramamoorthi, P Hanrahan","ACM Transactions on Graphics (TOG) 22 (3), 376-381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2806900280840448843,471,2003
On the relationship between radiance and irradiance: determining the illumination from images of a convex Lambertian object,"R Ramamoorthi, P Hanrahan","JOSA A 18 (10), 2448-2459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13765622357503311318,459,2001
ICrafter: A service framework for ubiquitous computing environments,"SR Ponnekanti, B Lee, A Fox, P Hanrahan, T Winograd","International Conference on Ubiquitous Computing, 56-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=77931849164076207,423,2001
Merrimac: Supercomputing with streams,"WJ Dally, F Labonte, A Das, P Hanrahan, JH Ahn, J Gummaraju, M Erez, ...","SC'03: Proceedings of the 2003 ACM/IEEE conference on Supercomputing, 35-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16731237826687168736,395,2003
Show me: Automatic presentation for visual analysis,"J Mackinlay, P Hanrahan, C Stolte","IEEE transactions on visualization and computer graphics 13 (6), 1137-1144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17596127639180308130,379,2007
Understanding the efficiency of GPU algorithms for matrix-matrix multiplication,"K Fatahalian, J Sugerman, P Hanrahan",Proceedings of the ACM SIGGRAPH/EUROGRAPHICS conference on Graphics hardware …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=324655767871498828,377,2004
Method and system for light field rendering,"M Levoy, P Hanrahan","US Patent 6,097,394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12994299801459871753,374,2000
Cognitive computing,"DS Modha, R Ananthanarayanan, SK Esser, A Ndirango, AJ Sherbondy, ...","Communications of the ACM 54 (8), 62-71","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2818597464200586750,15305032795146851643,2702107568237882989,5128654650691507074,14992972570149206913,10869433795188372592,17646590815216159063,9455214086829986417,746979734647686050",365,2011
Wavelet radiosity,"S Gortler, P Schröder, MF Cohen, P Hanrahan",Association for Computing Machinery,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12935458722730518567,361,1993
