Title,Authors,Platform,Cited_url,Cited_count,Year
Synthetic control methods for comparative case studies: Estimating the effect of California's Tobacco Control Program,"A Abadie, A Diamond, J Hainmueller","Journal of the American Statistical Association 105 (490), 493-505","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=812314985827981585,17597034842880791598,6022728349589762140,5126061553491620613,14410557876247092260,17181407682992090471",2578,2010
Entropy Balancing for Causal Effects: A Multivariate Reweighting Method to Produce Balanced Samples in Observational Studies,J Hainmueller,"Political Analysis 20 (1), 25-46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17098934616307910722,1798442252844389905",985,2012
Educated preferences: Explaining attitudes toward immigration in Europe,"J Hainmueller, MJ Hiscox","International Organization 60 (2), 399-442","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10832004134637735757,2964148939085418780",946,2007
Comparative Politics and the Synthetic Control Method,"A Abadie, A Diamond, J Hainmueller","American Journal of Political Science 59 (2), 495–510","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=252762348839731373,4783642256021339555",927,2014
Attitudes toward highly skilled and low-skilled immigration: Evidence from a survey experiment,"J Hainmueller, MJ Hiscox","American political science review 104 (1), 61-84","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13370630775723495674,1599254025096312427",762,2010
Public Attitudes Toward Immigration,"J Hainmueller, DJ Hopkins","Annual Review of Political Science 17, 225-249",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16317275653386057511,652,2014
Causal inference in conjoint analysis: Understanding multi-dimensional choices via stated preference experiments,"J Hainmueller, D Hopkins, T Yamamoto","Political Analysis 22 (1), 1-30","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12172913744434175111,16712473548484293858,13388669983078073184,11821176239363935326,7503822999416504554",542,2014
Learning to love globalization: Education and individual attitudes toward international trade,"J Hainmueller, MJ Hiscox","International Organization 60 (2), 469-498","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10123149968491078521,12424965186595028281,16607029886708701862,16814477824725672698",486,2006
The Hidden American Immigration Consensus: A Conjoint Analysis of Attitudes toward Immigrants,"J Hainmueller, D Hopkins","American Journal of Political Science 59 (3), 529–548","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12498811850881836788,2987958168702050746,14908662028210351411",379,2014
Validating vignette and conjoint survey experiments against real-world behavior,"J Hainmueller, D Hangartner, T Yamamoto","Proceedings of the National Academy of Sciences 112 (8), 2395-2400","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18410148008978016800,13198243144769266671,8242808317544536108",324,2015
On The Validity Of The Regression Discontinuity Design For Estimating Electoral Effects: New Evidence From Over 40000 Close Races,"A Eggers, A Fowler, J Hainmueller, AB Hall, JM Snyder","American Journal of Political Science 59 (1), 259–274","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6095576994147036425,9786666830518806972,14879178055014882890,14621928214957702709,13109604502030852556,16085566238254660090,11225861799262093765",317,2015
MPs for sale? Returns to office in postwar British politics,"AC Eggers, J Hainmueller","American Political Science Review 103 (4), 513-533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1841503265823199623,309,2009
Ebalance: A Stata package for entropy balancing,"J Hainmueller, Y Xu",Journal of Statistical Software 54 (7),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17004933150312485841,14106403307515708240",292,2013
Who gets a swiss passport? A natural experiment in immigrant discrimination,"J Hainmueller, D Hangartner","American Political Science Review 107 (1), 159-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11249146601993711369,255,2013
Synth: An R Package for Synthetic Control Methods in Comparative Case Studies,"A Abadie, A Diamond, J Hainmueller",Journal of Statistical Software 42 (13),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8190298632991251444,223,2011
"How economic, humanitarian, and religious concerns shape European attitudes toward asylum seekers","K Bansak, J Hainmueller, D Hangartner","Science 354 (6309), 217-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11349483054831526330,217,2016
Preferences for international redistribution: The divide over the Eurozone bailouts,"MM Bechtel, J Hainmueller, Y Margalit","American Journal of Political Science 58 (4), 835-856","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5102622941092445257,10377785513214941182",215,2014
Opium for the masses: How foreign media can stabilize authoritarian regimes,"HL Kern, J Hainmueller","Political Analysis 17 (4), 377-399","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1404351077464957769,5548240436410941376",213,2009
How Lasting Is Voter Gratitude? An Analysis of the Short‐and Long‐Term Electoral Returns to Beneficial Policy,"MM Bechtel, J Hainmueller","American Journal of Political Science 55 (4), 852-868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7710933900079835500,212,2011
Consumer demand for fair trade: Evidence from a multistore field experiment,"J Hainmueller, MJ Hiscox, S Sequeira","Review of Economics and Statistics 97 (2), 242-256","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2960269732544590816,15386255600244574509,8755416835656555901,8066333066942650948,10685246288985968661",205,2015
Incumbency as a source of spillover effects in mixed electoral systems: Evidence from a regression-discontinuity design,"J Hainmueller, HL Kern","Electoral Studies 27 (2), 213-227","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7111678291056453012,6152731883685642058,4852505936261515037,94157628137006860",177,2008
How much should we trust estimates from multiplicative interaction models? Simple tools to improve empirical practice,"J Hainmueller, J Mummolo, Y Xu","Political Analysis, 1-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10605343895432212849,170,2018
Do concerns about labor market competition shape attitudes toward immigration? New evidence,"J Hainmueller, MJ Hiscox, Y Margalit","Journal of International Economics 97 (1), 193-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16566540825847218672,126,2015
Kernel Regularized Least Squares: Reducing Misspecification Bias with a Flexible and Interpretable Machine Learning Approach,"J Hainmueller, C Hazlett","Political Analysis 22 (2), 143-168","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11910592001958957934,13299827948825160330",123,2014
Does lean improve labor standards? Management and social performance in the Nike supply chain,"G Distelhorst, J Hainmueller, RM Locke","Management Science 63 (3), 707-728",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13089474948817825261,99,2016
When lives are put on hold: Lengthy asylum processes decrease employment among refugees,"J Hainmueller, D Hangartner, D Lawrence","Science advances 2 (8), e1600432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15520103477805217936,95,2016
Policy Design and Domestic Support for International Bailouts,"M Bechtel, J Hainmueller, Y Margalit",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2163594,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1583984884026877871,16992202821163466966,15169964304937732269",83,2015
Naturalization fosters the long-term political integration of immigrants,"J Hainmueller, D Hangartner, G Pietrantuono","Proceedings of the National Academy of Sciences 112 (41), 12651-12656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2393508990054496194,80,2015
"Electoral balancing, divided government and ‘midterm’loss in German elections","H Lutz Kern, J Hainmueller","The Journal of Legislative Studies 12 (2), 127-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6591888741036831716,72,2006
Improving refugee integration through data-driven algorithmic assignment,"K Bansak, J Ferwerda, J Hainmueller, A Dillon, D Hangartner, ...","Science 359 (6373), 325-329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7942470191997304596,68,2018
Catalyst or crown: Does naturalization promote the long-term social integration of immigrants?,"J Hainmueller, D Hangartner, G Pietrantuono","American Political Science Review 111 (2), 256-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=80034353147502463,65,2017
Protecting unauthorized immigrant mothers improves their children’s mental health,"J Hainmueller, D Lawrence, L Martén, B Black, L Figueroa, M Hotard, ...","Science 357 (6355), 1041-1044",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5837125280527738102,57,2017
Control methods for comparative case studies: Estimating the effect of California’s tobacco control program,"A Abadie, A Diamond, J Hainmueller","American Statistical Association,(105), 493-505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5330765368634091835,55,2010
Do lower caseloads improve the performance of public employment services? New evidence from German employment offices,"J Hainmueller, B Hofmann, G Krug, K Wolf","The Scandinavian Journal of Economics 118 (4), 941-974","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2365435598100105546,5296938765000675322,8194894484759036867",53,2016
Reality bites: The limits of framing effects for salient and contested policy issues,"MM Bechtel, J Hainmueller, D Hangartner, M Helbling","Political Science Research and Methods 3 (3), 683-695",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3759923223123266495,53,2015
"Capitol Losses: The Mediocre Performance of Congressional Stock Portfolios, 2004-2008","A Eggers, J Hainmueller","Journal of Politics 75 (2), 535-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2486512046881464441,45,2013
The Socially Conscious Consumer? Field Experimental Tests of Consumer Support for Fair Labor Standards,"J Hainmueller, M Hiscox",MIT Political Science Department Research Paper No. 2012-15.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9268065291587017711,42,2012
Why do Europeans fly safer? The politics of airport security in Europe and the US,"J Hainmüller, JM Lemnitzer","Terrorism and political violence 15 (4), 1-36","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13042177282004331058,9620436292727582753",42,2003
Sustainable development for cocoa farmers in Ghana,"J Hainmueller, M Hiscox, M Tampe",Cambirdge (MA): MIT and Harvard University,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4193974730967309614,37,2011
Phylogenetic analysis and structural predictions of human adenovirus penton proteins as a basis for tissue-specific adenovirus vector design,"I Madisch, S Hofmayer, C Moritz, A Grintzalis, J Hainmueller, ...","Journal of virology 81 (15), 8270-8281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14137747210669511701,37,2007
Assessing the External Validity of Election RD Estimates: An Investigation of the Incumbency Advantage,"J Hainmueller, AB Hall, JM Snyder","Journal of Politics 77 (3), 707-720","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18325933610462490084,5169379163795555188",36,2015
