Title,Authors,Platform,Cited_url,Cited_count,Year
The global burden of typhoid fever,"JA Crump, SP Luby, ED Mintz","Bulletin of the World Health Organization 82, 346-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5495760798927454444,2071,2004
Effect of handwashing on child health: a randomised controlled trial,"SP Luby, M Agboatwalla, DR Feikin, J Painter, W Billhimer, A Altaf, ...","The Lancet 366 (9481), 225-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11618842468603903039,813,2005
"Efficacy of pentavalent rotavirus vaccine against severe rotavirus gastroenteritis in infants in developing countries in Asia: a randomised, double-blind, placebo-controlled trial","K Zaman, DD Anh, JC Victor, S Shin, M Yunus, MJ Dallas, G Podder, ...","The Lancet 376 (9741), 615-623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3316535465502464069,550,2010
"Foodborne transmission of Nipah virus, Bangladesh","SP Luby, M Rahman, MJ Hossain, LS Blum, MM Husain, E Gurley, ...","Emerging infectious diseases 12 (12), 1888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17259820229557984756,380,2006
Effect of intensive handwashing promotion on childhood diarrhea in high-risk communities in Pakistan: a randomized controlled trial,"SP Luby, M Agboatwalla, J Painter, A Altaf, WL Billhimer, RM Hoekstra","Jama 291 (21), 2547-2554",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4909606935170625833,356,2004
Person-to-person transmission of Nipah virus in a Bangladeshi community,"ES Gurley, JM Montgomery, MJ Hossain, M Bell, AK Azad, MR Islam, ...","Emerging infectious diseases 13 (7), 1031",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2699226779806553756,347,2007
"The relationship between therapeutic injections and high prevalence of hepatitis C infection in Hafizabad, Pakistan","SP Luby, K Qamruddin, AA Shah, A Omair, O Pahsa, AJ Khan, ...","Epidemiology & Infection 119 (3), 349-356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2237517565420923092,307,1997
Household environmental conditions are associated with enteropathy and impaired growth in rural Bangladesh,"A Lin, BF Arnold, S Afreen, R Goto, TMN Huda, R Haque, R Raqib, ...","The American journal of tropical medicine and hygiene 89 (1), 130-137","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10243549789524760091,6249533594331056651",302,2013
"Recurrent zoonotic transmission of Nipah virus into humans, Bangladesh, 2001–2007","SP Luby, MJ Hossain, ES Gurley, BN Ahmed, S Banu, SU Khan, ...","Emerging infectious diseases 15 (8), 1229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17673646013398021926,293,2009
Unsafe injections and the transmission of hepatitis B and C in a periurban community in Pakistan,"AJ Khan, SP Luby, F Fikree, A Karim, S Obaid, S Dellawala, S Mirza, ...","Bulletin of the World Health Organization 78, 956-963",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7827074985767618592,275,2000
Transmission of human infection with Nipah virus,"JM Hughes, ME Wilson, SP Luby, ES Gurley, MJ Hossain","Clinical Infectious Diseases 49 (11), 1743-1748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1190677319398659204,274,2009
"Bacteremic typhoid fever in children in an urban slum, Bangladesh","WA Brooks, A Hossain, D Goswami, AT Sharmeen, K Nahar, K Alam, ...","Emerging infectious diseases 11 (2), 326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13394970615139351846,243,2005
"The integrated behavioural model for water, sanitation, and hygiene: a systematic review of behavioural models and a framework for designing and evaluating behaviour change …","R Dreibelbis, PJ Winch, E Leontsini, KRS Hulland, PK Ram, L Unicomb, ...","BMC public health 13 (1), 1015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18096925626148617342,216,2013
Clinical presentation of nipah virus infection in Bangladesh,"MJ Hossain, ES Gurley, JM Montgomery, M Bell, DS Carroll, VP Hsu, ...","Clinical infectious diseases 46 (7), 977-984",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9809793633293828128,214,2008
"Hygiene: new hopes, new horizons","V Curtis, W Schmidt, S Luby, R Florez, O Touré, A Biran","The Lancet infectious diseases 11 (4), 312-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8953726410846680061,205,2011
A strategy to estimate unknown viral diversity in mammals,"SJ Anthony, JH Epstein, KA Murray, I Navarrete-Macias, ...","MBio 4 (5), e00598-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9732987288291912723,192,2013
"Diarrheal epidemics in Dhaka, Bangladesh, during three consecutive floods: 1988, 1998, and 2004","BS Schwartz, JB Harris, AI Khan, RC Larocque, DA Sack, MA Malek, ...","The American journal of tropical medicine and hygiene 74 (6), 1067-1073",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11174385645242490680,187,2006
A cluster-randomized controlled trial evaluating the effect of a handwashing-promotion program in Chinese primary schools,"A Bowen, H Ma, J Ou, W Billhimer, T Long, E Mintz, RM Hoekstra, S Luby","The American journal of tropical medicine and hygiene 76 (6), 1166-1173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12013146499580970053,184,2007
"Risk factors for hepatitis C virus infection in male adults in Rawalpindi–Islamabad, Pakistan","A Bari, S Akhtar, MH Rahbar, SP Luby","Tropical medicine & international health 6 (9), 732-738",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4450909463342311381,184,2001
"Estimating deaths and injuries due to road traffic accidents in Karachi, Pakistan, through the capture-recapture method","JA Razzak, SP Luby","International journal of epidemiology 27 (5), 866-870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16718043685369169083,184,1998
"Combining drinking water treatment and hand washing for diarrhoea prevention, a cluster randomised controlled trial","SP Luby, M Agboatwalla, J Painter, A Altaf, W Billhimer, B Keswick, ...","Tropical medicine & international health 11 (4), 479-489",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6129055921338554173,179,2006
A randomized controlled trial of household-based flocculant-disinfectant drinking water treatment for diarrhea prevention in rural Guatemala,"ME Reller, CE Mendoza, MB Lopez, M Alvarez, RM Hoekstra, CA Olson, ...","The American Journal of Tropical Medicine and Hygiene 69 (4), 411-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13608985278556465738,176,2003
The effect of handwashing at recommended times with water alone and with soap on child diarrhea in rural Bangladesh: an observational study,"SP Luby, AK Halder, T Huda, L Unicomb, RB Johnston","PLoS medicine 8 (6), e1001052",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4205422208732295658,171,2011
Household based treatment of drinking water with flocculant-disinfectant for preventing diarrhoea in areas with turbid source water in rural western Kenya: cluster randomised …,"JA Crump, PO Otieno, L Slutsker, BH Keswick, DH Rosen, RM Hoekstra, ...","Bmj 331 (7515), 478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11635374753406979923,171,2005
"Cluster-randomised controlled trials of individual and combined water, sanitation, hygiene and nutritional interventions in rural Bangladesh and Kenya: the WASH Benefits study …","BF Arnold, C Null, SP Luby, L Unicomb, CP Stewart, KG Dewey, T Ahmed, ...","BMJ open 3 (8), e003476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9052538662705737776,169,2013
"Effects of water quality, sanitation, handwashing, and nutritional interventions on diarrhoea and child growth in rural Bangladesh: a cluster randomised controlled trial","SP Luby, M Rahman, BF Arnold, L Unicomb, S Ashraf, PJ Winch, ...","The Lancet Global Health 6 (3), e302-e315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11504956804402617599,163,2018
Estimating the incidence of typhoid fever and other febrile illnesses in developing countries,"JA Crump, FG Youssef, SP Luby, MO Wasfy, JM Rangel, M Taalat, ...","Emerging infectious diseases 9 (5), 539",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4765745417855651360,159,2003
"Nipah virus: impact, origins, and causes of emergence","JH Epstein, HE Field, S Luby, JRC Pulliam, P Daszak","Current Infectious Disease Reports 8 (1), 59-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2160001884297804753,153,2006
