Title,Authors,Platform,Cited_url,Cited_count,Year
"TopHat2: accurate alignment of transcriptomes in the presence of insertions, deletions and gene fusions","D Kim, G Pertea, C Trapnell, H Pimentel, R Kelley, SL Salzberg","Genome biology 14 (4), R36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13992971485548583369,7551,2013
Differential gene and transcript expression analysis of RNA-seq experiments with TopHat and Cufflinks,"C Trapnell, A Roberts, L Goff, G Pertea, D Kim, DR Kelley, H Pimentel, ...","Nature protocols 7 (3), 562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14340268146857372033,7527,2012
Near-optimal probabilistic RNA-seq quantification,"NL Bray, H Pimentel, P Melsted, L Pachter","Nature biotechnology 34 (5), 525","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15817796957364212470,7520207251610084629",1951,2016
Identification of novel transcripts in annotated genomes using RNA-Seq,"A Roberts, H Pimentel, C Trapnell, L Pachter","Bioinformatics 27 (17), 2325-2329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9088397869193871667,813,2011
Differential analysis of RNA-seq incorporating quantification uncertainty,"H Pimentel, NL Bray, S Puente, P Melsted, L Pachter","Nature methods 14 (7), 687",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1639708055766929241,367,2017
A dynamic intron retention program enriched in RNA processing genes regulates gene expression during terminal erythropoiesis,"H Pimentel, M Parra, SL Gee, N Mohandas, L Pachter, JG Conboy","Nucleic acids research 44 (2), 838-851",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17045789353965793066,80,2015
A dynamic alternative splicing program regulates gene expression during terminal erythropoiesis,"H Pimentel, M Parra, S Gee, D Ghanem, X An, J Li, N Mohandas, ...","Nucleic acids research 42 (6), 4031-4042",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7582213144136942655,70,2014
Pseudoalignment for metagenomic read assignment,"L Schaeffer, H Pimentel, N Bray, P Melsted, L Pachter","Bioinformatics 33 (14), 2082-2088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9927582916613492093,42,2017
Intron retention is a source of neoepitopes in cancer,"AC Smart, CA Margolis, H Pimentel, MX He, D Miao, D Adeegbe, ...",Nature biotechnology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2986427542337865970,35,2018
Gene-level differential analysis at transcript-level resolution,"L Yi, H Pimentel, NL Bray, L Pachter","Genome biology 19 (1), 53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9692162279035708624,20,2018
The Lair: a resource for exploratory analysis of published RNA-Seq data,"H Pimentel, P Sturmfels, N Bray, P Melsted, L Pachter","BMC bioinformatics 17 (1), 490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1253154798278711865,15,2016
Keep me around: intron retention detection and analysis,"H Pimentel, JG Conboy, L Pachter",arXiv preprint arXiv:1510.00696,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4059076624711351160,8,2015
"TopHat2: Parallel mapping of transcriptomes to detect InDels, gene fusions, and more","DG Kim, G Pertea, C Trapnell, H Pimentel, R Kelley, SL Salzberg",TopHat2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15344760743032215666,6,2012
Zika infection of neural progenitor cells perturbs transcription in neurodevelopmental pathways,"L Yi, H Pimentel, L Pachter","PloS one 12 (4), e0175744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14315998891318693751,5,2017
Biclustering by sparse canonical correlation analysis,"H Pimentel, Z Hu, H Huang","Quantitative Biology 6 (1), 56-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11356874563537639712,4,2018
Fusion detection and quantification by pseudoalignment,"P Melsted, S Hateley, IC Joseph, H Pimentel, NL Bray, L Pachter","BioRxiv, 166322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11161955037426030809,2,2017
CabFriendly: A Cloud-based Mobile Web App,"A Roberts, H Pimentel, S Karayevm",Amazon’s EC2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9001564144557489287,2,2011
Near-optimal RNA-Seq quantification,"N Bray, H Pimentel, P Melsted, L Pachter",arXiv preprint 1505,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17393276165874723731,2,0
Intron retention as a novel source of cancer neoantigens,A Smart,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17488689036661513707,1,2019
Evolutionary persistence of DNA methylation for millions of years after ancient loss of a de novo methyltransferase,"S Catania, PA Dumesic, H Pimentel, A Nasif, CI Stoddard, JE Burke, ...","bioRxiv, 149385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11999777629919903239,1,2019
Compositional Data Analysis is necessary for simulating and analyzing RNA-Seq data,"WA McGee, H Pimentel, L Pachter, JY Wu",,,0,2019
RNA-based tumor neoantigens from intron retention,"CA Margolis, AC Smart, D Adeegbe, D Miao, MX He, H Pimentel, ...","Cancer Research 78 (13 Supplement), 5719-5719",,0,2018
Fast and accurate quantification and differential analysis of transcriptomes,HJ Pimentel,UC Berkeley,,0,2016
