Title,Authors,Platform,Cited_url,Cited_count,Year
Testing the efficiency and independence of attentional networks,"J Fan, BD McCandliss, T Sommer, A Raz, MI Posner","Journal of cognitive neuroscience 14 (3), 340-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11094300307071808240,3151,2002
The activation of attentional networks,"J Fan, BD McCandliss, J Fossella, JI Flombaum, MI Posner","Neuroimage 26 (2), 471-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11428111683887703712,1564,2005
The visual word form area: expertise for reading in the fusiform gyrus,"BD McCandliss, L Cohen, S Dehaene","Trends in cognitive sciences 7 (7), 293-299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12424830230383839999,1476,2003
Development of attentional networks in childhood,"MR Rueda, J Fan, BD McCandliss, JD Halparin, DB Gruber, LP Lercari, ...","Neuropsychologia 42 (8), 1029-1040",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6002526017618248988,1222,2004
"Training, maturation, and genetic influences on the development of executive attention","MR Rueda, MK Rothbart, BD McCandliss, L Saccomanno, MI Posner","Proceedings of the National Academy of Sciences 102 (41), 14931-14936","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18249894008502558480,6195078324845245856",1145,2005
Socioeconomic gradients predict individual differences in neurocognitive abilities,"KG Noble, BD McCandliss, MJ Farah","Developmental science 10 (4), 464-480",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15579506329221904651,860,2007
Cognitive and brain consequences of conflict,"J Fan, JI Flombaum, BD McCandliss, KM Thomas, MI Posner","Neuroimage 18 (1), 42-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17436624566020568966,721,2003
Extent of microstructural white matter injury in postconcussive syndrome correlates with impaired cognitive reaction time: a 3T diffusion tensor imaging study of mild traumatic …,"SN Niogi, P Mukherjee, J Ghajar, C Johnson, RA Kolster, R Sarkar, H Lee, ...","American Journal of Neuroradiology 29 (5), 967-973",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6683962851526654760,565,2008
Development of neural systems for reading,"BL Schlaggar, BD McCandliss","Annu. Rev. Neurosci. 30, 475-503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9544407831107372114,487,2007
The face-specific N170 component is modulated by emotional facial expression,"VC Blau, U Maurer, N Tottenham, BD McCandliss","Behavioral and brain functions 3 (1), 7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1036901316351422985,385,2007
