Title,Authors,Platform,Cited_url,Cited_count,Year
phyloseq: an R package for reproducible interactive analysis and graphics of microbiome census data,"PJ McMurdie, S Holmes","PloS one 8 (4), e61217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10444337127693249499,3116,2013
DADA2: high-resolution sample inference from Illumina amplicon data,"BJ Callahan, PJ McMurdie, MJ Rosen, AW Han, AJA Johnson, ...","Nature methods 13 (7), 581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1592655680316646386,1625,2016
"Waste Not, Want Not: Why Rarefying Microbiome Data Is Inadmissible.","PJ McMurdie, S Holmes",PLOS Computational Biology 10 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17405895254122315506,1087,2014
Bootstrap confidence levels for phylogenetic trees,"B Efron, E Halloran, S Holmes","Proceedings of the National Academy of Sciences 93 (23), 13429-13429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15398207120961797728,829,1996
Geometry of the space of phylogenetic trees,"LJ Billera, SP Holmes, K Vogtmann","Advances in Applied Mathematics 27 (4), 733-767","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3417076535920034620,15535487729448792911,8647161256853110784",505,2001
A back migration from Asia to sub-Saharan Africa is supported by high-resolution analysis of human Y-chromosome haplotypes,"F Cruciani, P Santolamazza, P Shen, V Macaulay, P Moral, A Olckers, ...","American journal of human genetics 70 (5), 1197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13991070164328655815,439,2002
Exact sequence variants should replace operational taxonomic units in marker-gene data analysis,"BJ Callahan, PJ McMurdie, SP Holmes","The ISME Journal, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12443551028095437322,394,2017
Temporal and spatial variation of the human microbiota during pregnancy,"DB DiGiulio, BJ Callahan, PJ McMurdie, EK Costello, DJ Lyell, ...","Proceedings of the National Academy of Sciences 112 (35), 11060-11065",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7270526094558284198,394,2015
Advancing our understanding of the human microbiome using QIIME,"JA Navas-Molina, JM Peralta-Sánchez, A González, PJ McMurdie, ...","Methods in enzymology 531, 371-444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8632454656587451214,345,2013
Colonic contribution to uremic solutes,"PA Aronov, FJG Luo, NS Plummer, Z Quan, S Holmes, TH Hostetter, ...","Journal of the American Society of Nephrology 22 (9), 1769-1776",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=478226069434061091,249,2011
Sequential Monte Carlo methods for statistical analysis of tables,"Y Chen, P Diaconis, SP Holmes, JS Liu","Journal of the American Statistical Association 100 (469), 109-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17506275940240220439,227,2005
Ultra-deep pyrosequencing of hepatitis B virus quasispecies from nucleoside and nucleotide reverse-transcriptase inhibitor (NRTI)–treated patients and NRTI-naive patients,"S Margeridon-Thermet, NS Shulman, A Ahmed, R Shahriar, T Liu, ...","The Journal of infectious diseases 199 (9), 1275-1285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6096443006108377530,226,2009
Profile of immune cells in axillary lymph nodes predicts disease-free survival in breast cancer,"HE Kohrt, N Nouri, K Nowels, D Johnson, S Holmes, PP Lee","PLoS medicine 2 (9), e284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8398241626536748679,219,2005
Analysis of a nonreversible Markov chain sampler,"P Diaconis, S Holmes, RM Neal","Annals of Applied Probability, 726-752",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15694805433223959152,216,2000
Dynamical bias in the coin toss,"P Diaconis, S Holmes, R Montgomery","SIAM review 49 (2), 211-235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16877003867074896522,213,2007
The molecular architecture of the eukaryotic chaperonin TRiC/CCT,"A Leitner, LA Joachimiak, A Bracher, L Mönkemeyer, T Walzthoeni, ...","Structure 20 (5), 814-825",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3949534078136480039,201,2012
"QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science","E Bolyen, JR Rideout, MR Dillon, NA Bokulich, C Abnet, GA Al-Ghalith, ...",PeerJ Preprints,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17795719731389093288,200,2018
Nasal microenvironments and interspecific interactions influence nasal microbiota complexity and S. aureus carriage,"M Yan, SJ Pamp, J Fukuyama, PH Hwang, DY Cho, S Holmes, ...","Cell host & microbe 14 (6), 631-640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8426947001983570871,192,2013
Impaired interferon signaling is a common immune defect in human cancer,"RJ Critchley-Thorne, DL Simons, N Yan, AK Miyahira, FM Dirbas, ...","Proceedings of the National Academy of Sciences 106 (22), 9010-9015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10371663955447486515,183,2009
50 years of data science,D Donoho,"Journal of Computational and Graphical Statistics 26 (4), 745-766","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5959906056734493404,6949246178251069699",181,2017
Genetically dictated change in host mucus carbohydrate landscape exerts a diet-dependent effect on the gut microbiota,"PC Kashyap, A Marcobal, LK Ursell, SA Smits, ED Sonnenburg, ...","Proceedings of the National Academy of Sciences 110 (42), 17059-17064",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4990633576747609837,159,2013
Localized plasticity in the streamlined genomes of vinyl chloride respiring Dehalococcoides,"PJ McMurdie, SF Behrens, JA Müller, J Göke, KM Ritalahti, R Wagner, ...","PLoS Genetics 5 (11), e1000714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4535672129059817231,158,2009
Gene expression network analysis and applications to immunology,"Ş Nacu, R Critchley-Thorne, P Lee, S Holmes","Bioinformatics 23 (7), 850-858",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4738100740568354941,153,2007
Bootstrapping phylogenetic trees: theory and methods,S Holmes,"Statistical Science, 241-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12990786429826634993,153,2003
Down-regulation of the interferon signaling pathway in T lymphocytes from patients with metastatic melanoma,"RJ Critchley-Thorne, N Yan, S Nacu, J Weber, SP Holmes, PP Lee","PLoS medicine 4 (5), e176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5205220448031665713,152,2007
Bioconductor workflow for microbiome data analysis: from raw reads to community analyses,"BJ Callahan, K Sankaran, JA Fukuyama, PJ McMurdie, SP Holmes",F1000Research 5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14575920441329281544,137,2016
Interpreting Prevotella and Bacteroides as biomarkers of diet and lifestyle,"A Gorvitovskaia, SP Holmes, SM Huse","Microbiome 4 (15), DOI: 10.1186/s40168-016-0160-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15919452378313867174,134,2016
Constraints on Yukawa-type deviations from Newtonian gravity at 20 microns,"SJ Smullin, AA Geraci, DM Weld, J Chiaverini, S Holmes, A Kapitulnik","Physical Review D 72 (12), 122001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17538469650300332710,133,2005
Natural variation of HIV-1 group M integrase: implications for a new class of antiretroviral inhibitors,"SY Rhee, TF Liu, M Kiuchi, R Zioni, RJ Gifford, SP Holmes, RW Shafer","Retrovirology 5 (1), 74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10979022875233612496,111,2008
Error distribution for gene expression data,"E Purdom, SP Holmes",Statistical applications in genetics and molecular biology 4 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2177552489602258562,111,2005
Addressing geographical data errors in a classification tree for soil unit prediction,"P Lagacherie, S Holmes","International Journal of Geographical Information Science 11 (2), 183-198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12587210076253598510,110,1997
HIV-1 subtype B protease and reverse transcriptase amino acid covariation,"SY Rhee, TF Liu, SP Holmes, RW Shafer","PLoS computational biology 3 (5), e87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3133304051787302746,105,2007
Gene expression diversity among Mycobacterium tuberculosis clinical isolates,"Q Gao, KE Kripke, AJ Saldanha, W Yan, S Holmes, PM Small","Microbiology 151 (1), 5-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11760356088679518357,105,2005
