Title,Authors,Platform,Cited_url,Cited_count,Year
Wireless communications,A Goldsmith,Cambridge university press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6501977700868400260,12621,2005
Variable-rate variable-power MQAM for fading channels,"AJ Goldsmith, SG Chua","IEEE transactions on communications 45 (10), 1218-1230",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11705755419918601264,2909,1997
Capacity limits of MIMO channels,"A Goldsmith, SA Jafar, N Jindal, S Vishwanath","IEEE Journal on selected areas in Communications 21 (5), 684-702",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8403952112054178280,2591,2003
Breaking spectrum gridlock with cognitive radios: An information theoretic perspective.,"AJ Goldsmith, SA Jafar, I Maric, S Srinivasa","Proceedings of the IEEE 97 (5), 894-914",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14776773793372405407,2401,2009
Capacity of fading channels with channel side information,"AJ Goldsmith, PP Varaiya","IEEE transactions on information theory 43 (6), 1986-1992",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17183815329848733118,2290,1997
On the optimality of multiantenna broadcast scheduling using zero-forcing beamforming,"T Yoo, A Goldsmith","IEEE Journal on selected areas in communications 24 (3), 528-541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9476549685881839246,2025,2006
Energy-efficiency of MIMO and cooperative MIMO techniques in sensor networks,"S Cui, AJ Goldsmith, A Bahai","IEEE Journal on selected areas in communications 22 (6), 1089-1098",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18368543023106409857,1942,2004
"Duality, achievable rates, and sum-rate capacity of Gaussian MIMO broadcast channels","S Vishwanath, N Jindal, A Goldsmith","IEEE Transactions on Information Theory 49 (10), 2658-2668",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16412176442401057946,1812,2003
Energy-constrained modulation optimization,"S Cui, AJ Goldsmith, A Bahai","IEEE transactions on wireless communications 4 (5), 2349-2360",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14945296502088666437,1554,2005
Degrees of freedom in adaptive modulation: a unified view,"ST Chung, AJ Goldsmith","IEEE Transactions on Communications 49 (9), 1561-1571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10499651764621527322,1486,2001
Design challenges for energy-constrained ad hoc wireless networks,"AJ Goldsmith, SB Wicker","IEEE wireless communications 9 (4), 8-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5625433364462817862,1426,2002
Adaptive coded modulation for fading channels,"AJ Goldsmith, SG Chua","IEEE Transactions on communications 46 (5), 595-602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6481006092837254076,1152,1998
MIMO wireless communications,"E Biglieri, R Calderbank, A Constantinides, A Goldsmith, A Paulraj, ...",Cambridge university press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15978903572890298527,1151,2007
