Title,Authors,Platform,Cited_url,Cited_count,Year
De Sitter vacua in string theory,"S Kachru, R Kallosh, A Linde, SP Trivedi","Physical Review D 68 (4), 046005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5530594568097070523,3208,2003
Towards inflation in string theory,"S Kachru, R Kallosh, A Linde, J Maldacena, L McAllister, SP Trivedi","Journal of Cosmology and Astroparticle Physics 2003 (10), 013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3372742237045770309,1315,2003
N= 2 extremal black holes,"S Ferrara, R Kallosh, A Strominger","Physical Review D 52 (10), R5412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2665428513934791086,993,1995
Supersymmetry and attractors,"S Ferrara, R Kallosh","Physical Review D 54 (2), 1514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1653781021369596929,798,1996
Black holes and critical points in moduli space,"S Ferrara, GW Gibbons, R Kallosh","Nuclear Physics B 500 (1-3), 75-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1988745404567693264,575,1997
University of supersymmetric attractors,"S Ferrara, R Kallosh","Physical Review D 54 (2), 1525",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11429824666732769141,559,1996
de Sitter string vacua from supersymmetric D-terms,"CP Burgess, R Kallosh, F Quevedo","Journal of High Energy Physics 2003 (10), 056",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16383061378466831057,456,2003
Supersymmetry as a cosmic censor,"R Kallosh, A Linde, T Ortin, A Peet, A Van Proeyen","Physical Review D 46 (12), 5278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11233667912763321208,423,1992
Superconformal inflationary α-attractors,"R Kallosh, A Linde, D Roest","Journal of High Energy Physics 2013 (11), 198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12810646001925501065,396,2013
Gravity and global symmetries,"R Kallosh, A Linde, D Linde, L Susskind","Physical Review D 52 (2), 912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6362670128589979302,392,1995
Solitonic strings and BPS saturated dyonic black holes,"M Cvetič, AA Tseytlin","Physical Review D 53 (10), 5619",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2235143987415224622,375,1996
Universality class in conformal inflation,"R Kallosh, A Linde","Journal of Cosmology and Astroparticle Physics 2013 (07), 002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9460176980878931281,345,2013
New formulations of D= 10 supersymmetry and D8-O8 domain walls,"E Bergshoeff, R Kallosh, T Ortin, D Roest, A Van Proeyen","Classical and Quantum Gravity 18 (17), 3359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9080372565307035971,302,2001
Minimal supergravity models of inflation,"S Ferrara, R Kallosh, A Linde, M Porrati","Physical Review D 88 (8), 085038",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2104807427709713855,295,2013
"Landscape, the scale of SUSY breaking, and inflation","R Kallosh, A Linde","Journal of High Energy Physics 2004 (12), 004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14218071109711378571,292,2004
Racetrack inflation,"JJ Blanco-Pillado, CP Burgess, JM Cline, C Escoda, M Gómez-Reino, ...","Journal of High Energy Physics 2004 (11), 063",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=739519082333030077,291,2005
D3-D7 inflationary model and M theory,"K Dasgupta, C Herdeiro, S Hirano, R Kallosh","Physical Review D 65 (12), 126002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6950514708247081225,279,2002
"κ-symmetry, supersymmetry and intersecting branes","E Bergshoeff, R Kallosh, T Ortín, G Papadopoulos","Nuclear Physics B 502 (1-2), 149-169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5327994399565373868,270,1997
Black holes and superconformal mechanics,"P Claus, M Derix, R Kallosh, J Kumar, PK Townsend, A Van Proeyen","Physical Review Letters 81 (21), 4553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11746547015777179568,263,1998
Modified Feynman rules in supergravity,RE Kallosh,"Nuclear Physics B 141 (1-2), 141-152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=216870490549440011,251,1978
Gravitino production after inflation,"R Kallosh, L Kofman, A Linde, A Van Proeyen","Physical Review D 61 (10), 103503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11393051551677734747,250,2000
New models of chaotic inflation in supergravity,"R Kallosh, A Linde","journal of Cosmology and Astroparticle Physics 2010 (11), 011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9424608475530339065,240,2010
Pyrotechnic universe,"R Kallosh, L Kofman, A Linde","Physical Review D 64 (12), 123523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2531229595673542555,235,2001
