Title,Authors,Platform,Cited_url,Cited_count,Year
Use of the Internet and e-mail for health care information: results from a national survey,"L Baker, TH Wagner, S Singer, MK Bundorf","Jama 289 (18), 2400-2406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12906970005718273278,1440,2003
Internet use and stigmatized illness,"M Berger, TH Wagner, LC Baker","Social science & medicine 61 (8), 1821-1827",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9344864620868427720,547,2005
Relationship of safety climate and safety performance in hospitals,"S Singer, S Lin, A Falwell, D Gaba, L Baker","Health services research 44 (2p1), 399-421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6547965291755445829,498,2009
Level and volume of neonatal intensive care and mortality in very-low-birth-weight infants,"CS Phibbs, LC Baker, AB Caughey, B Danielsen, SK Schmitt, RH Phibbs","New England Journal of Medicine 356 (21), 2165-2175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16035184154290362004,460,2007
Incidence of and risk factors for chronic opioid use among opioid-naive patients in the postoperative period,"EC Sun, BD Darnall, LC Baker, S Mackey","JAMA internal medicine 176 (9), 1286-1293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2821439005748783865,363,2016
Who searches the internet for health information?,"MK Bundorf, TH Wagner, SJ Singer, LC Baker","Health services research 41 (3p1), 819-836",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6315108067469775223,265,2006
Preparedness for practice: young physicians' views of their professional education,"JC Cantor, LC Baker, RG Hughes","Jama 270 (9), 1035-1040",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4479802907614174580,254,1993
The effect of HMOs on fee-for-service health care expenditures: evidence from Medicare,LC Baker,"Journal of health economics 16 (4), 453-481",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8418911970930836528,250,1997
Workforce perceptions of hospital safety culture: development and validation of the patient safety climate in healthcare organizations survey,"S Singer, M Meterko, L Baker, D Gaba, A Falwell, A Rosen","Health services research 42 (5), 1999-2021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1136715122972248736,246,2007
Managed care and technology adoption in health care: evidence from magnetic resonance imaging,LC Baker,"Journal of health economics 20 (3), 395-421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13948037056747860031,238,2001
Patient safety climate in 92 US hospitals: differences by work area and discipline,"SJ Singer, DM Gaba, A Falwell, S Lin, J Hayes, L Baker","Medical care 47 (1), 23-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14087980875660804272,236,2009
Physician service to the underserved: implications for affirmative action in medical education,"JC Cantor, EL Miles, LC Baker, DC Barker","Inquiry, 167-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3541197907849411656,215,1996
Excess cost of emergency department visits for nonurgent care,"LC Baker, LS Baker","Health Affairs 13 (5), 162-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4559769492298318225,208,1994
Factors associated with women's adherence to mammography screening guidelines.,"KA Phillips, K Kerlikowske, LC Baker, SW Chang, ML Brown","Health services research 33 (1), 29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10143635159439277526,204,1998
Identifying organizational cultures that promote patient safety,"SJ Singer, A Falwell, DM Gaba, M Meterko, A Rosen, CW Hartmann, ...","Health care management review 34 (4), 300-311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8813940399816726444,196,2009
Differences in earnings between male and female physicians,LC Baker,"New England Journal of Medicine 334 (15), 960-964",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7166307760594166291,194,1996
Vertical integration: hospital ownership of physician practices is associated with higher prices and spending,"LC Baker, MK Bundorf, DP Kessler","Health Affairs 33 (5), 756-763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14043390217049401363,192,2014
Quality improvement implementation and hospital performance on quality indicators,"BJ Weiner, JA Alexander, SM Shortell, LC Baker, M Becker, JJ Geppert","Health services research 41 (2), 307-334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11251204329839208186,192,2006
"Managed care, technology adoption, and health care: the adoption of neonatal intensive care","LC Baker, CS Phibbs",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11886757900501764713,192,2000
Association between concurrent use of prescription opioids and benzodiazepines and overdose: retrospective analysis,"EC Sun, A Dixit, K Humphreys, BD Darnall, LC Baker, S Mackey","bmj 356, j760",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1612017162815249261,189,2017
Association of managed care market share and health expenditures for fee-for-service Medicare patients,LC Baker,"Jama 281 (5), 432-437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5720380358089620000,185,1999
Association of coronary CT angiography or stress testing with subsequent utilization and spending among Medicare beneficiaries,"JB Shreibati, LC Baker, MA Hlatky","Jama 306 (19), 2128-2136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9678961986433961985,184,2011
Measuring competition in health care markets.,LC Baker,"Health services research 36 (1 Pt 2), 223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17052641086325121236,168,2001
The Relationship Between Technology Availability And Health Care Spending: Attempts to address technology availability and rising costs could end up badly misguided if …,"L Baker, H Birnbaum, J Geppert, D Mishol, E Moyneur","Health Affairs 22 (Suppl1), W3-537-W3-551","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1473689961703877272,17672056000899540441",161,2003
Variation in access to health care for different racial/ethnic groups by the racial/ethnic composition of an individual's county of residence,"JS Haas, KA Phillips, D Sonneborn, CE McCulloch, LC Baker, CP Kaplan, ...","Medical care 42 (7), 707-714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9230413291717793969,152,2004
Managed Care And Technology Diffusion: The Case Of MRI: Could managed care inhibit the spread of beneficial technologies? One case study—magnetic resonance imaging—provides …,"LC Baker, SK Wheeler","Health Affairs 17 (5), 195-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8738021413257739998,147,1998
PEER REVIEWED: Use of the Internet for Health Information by the Chronically Ill,"TH Wagner, LC Baker, MK Bundorf, S Singer",Preventing chronic disease 1 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9654514200179955021,140,2004
Expanded use of imaging technology and the challenge of measuring value,"LC Baker, SW Atlas, CC Afendulis","Health Affairs 27 (6), 1467-1478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5656530947258875681,136,2008
Physician satisfaction under managed care,"L Baker, JC Cantor","Health Affairs 12 (suppl 1), 258-270",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10239407240610988944,136,1993
Patient safety climate in US hospitals: variation by management level,"SJ Singer, A Falwell, DM Gaba, LC Baker","Medical care 46 (11), 1149-1156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16003428247924928743,131,2008
"Physicians’ Perceptions of Autonomy And Satisfaction In California: A disaffected workforce may threaten tomorrow's health care system, if today's trends continue.","MD Burdi, LC Baker","Health Affairs 18 (4), 134-145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9775482633693569917,127,1999
The role of organizational infrastructure in implementation of hospitals' quality improvement,"JA Alexander, BJ Weiner, SM Shortell, LC Baker, MP Becker","Hospital topics 84 (1), 11-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10320455465284714433,115,2006
Integrated telehealth and care management program for Medicare beneficiaries with chronic disease linked to savings,"LC Baker, SJ Johnson, D Macaulay, H Birnbaum","Health Affairs 30 (9), 1689-1697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8588777569665009468,107,2011
Competition'among employers offering health insurance,"D Dranove, KE Spier, L Baker","Journal of Health Economics 19 (1), 121-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17726336540827310200,100,2000
Job satisfaction and motivation among physicians in academic medical centers: insights from a cross-national study,"K Janus, VE Amelung, LC Baker, M Gaitanides, FW Schwartz, TG Rundall","Journal of Health Politics, Policy and Law 33 (6), 1133-1167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6378878638193767256,99,2008
"Medicaid policy, physician behavior, and health care for the low-income population","LC Baker, AB Royalty","Journal of Human resources, 480-502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8036638225913802335,98,2000
"Evaluating The Efficiency Of California Providers In Caring For Patients With Chronic Illnesses: Important opportunities exist for hospitals, in California and elsewhere, to …","JE Wennberg, ES Fisher, L Baker, SM Sharp, KK Bronner","Health affairs 24 (Suppl1), W5-526-W5-543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15309830918807985310,96,2005
HMO penetration and the cost of health care: market discipline or market segmentation?,"LC Baker, KS Corts","The American economic review 86 (2), 389-394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10152233021012452155,91,1996
