Title,Authors,Platform,Cited_url,Cited_count,Year
Significance analysis of microarrays applied to the ionizing radiation response,"VG Tusher, R Tibshirani, G Chu","Proceedings of the National Academy of Sciences 98 (9), 5116-5121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8131635958911896640,12872,2001
Diagnosis of multiple cancer types by shrunken centroids of gene expression,"R Tibshirani, T Hastie, B Narasimhan, G Chu","Proceedings of the National Academy of Sciences 99 (10), 6567-6572",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1781824200011765776,2929,2002
Separation of large DNA molecules by contour-clamped homogeneous electric fields,"G Chu, D Vollrath, RW Davis","Science 234 (4783), 1582-1585",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10011416408493240629,1716,1986
Electroporation for the efficient transfection of mammalian cells with DNA,"G Chu, H Hayakawa, P Berg","Nucleic acids research 15 (3), 1311-1326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4228308433944058653,956,1987
Cellular responses to cisplatin. The roles of DNA-binding proteins and DNA repair.,G Chu,"Journal of Biological Chemistry 269 (2), 787-790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4369447342886762861,871,1994
Expression of the p48 xeroderma pigmentosum gene is p53-dependent and is involved in global genomic repair,"BJ Hwang, JM Ford, PC Hanawalt, G Chu","Proceedings of the National Academy of Sciences 96 (2), 424-428",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1197041838577599126,664,1999
UV-induced ubiquitylation of XPC protein mediated by UV-DDB-ubiquitin ligase complex,"K Sugasawa, Y Okuda, M Saijo, R Nishi, N Matsuda, G Chu, T Mori, S Iwai, ...","Cell 121 (3), 387-400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17406598377355760519,566,2005
"Class prediction by nearest shrunken centroids, with applications to DNA microarrays","R Tibshirani, T Hastie, B Narasimhan, G Chu","Statistical Science 18 (1), 104-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7150362075867905912,458,2003
Xeroderma pigmentosum group E cells lack a nuclear factor that binds to damaged DNA,"G Chu, E Chang","Science 242 (4878), 564-567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6339174247291737961,433,1988
Synapsis of DNA ends by DNA‐dependent protein kinase,"LG DeFazio, RM Stansel, JD Griffith, G Chu","The EMBO journal 21 (12), 3192-3200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12220824835799234765,407,2002
Restoration of X-ray resistance and V (D) J recombination in mutant cells by Ku cDNA,"V Smider, WK Rathmell, MR Lieber, G Chu","Science 266 (5183), 288-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7027199375566252886,364,1994
Xeroderma pigmentosum p48 gene enhances global genomic repair and suppresses UV-induced mutagenesis,"JY Tang, BJ Hwang, JM Ford, PC Hanawalt, G Chu","Molecular cell 5 (4), 737-744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5223037083646310727,349,2000
Double strand break repair,G Chu,"Journal of Biological Chemistry 272 (39), 24097-24100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9334211739242649207,312,1997
DNA-dependent protein kinase: DNA binding and activation in the absence of Ku,"O Hammarsten, G Chu","Proceedings of the National Academy of Sciences 95 (2), 525-530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9249086201524577192,273,1998
Involvement of the Ku autoantigen in the cellular response to DNA double-strand breaks,"WK Rathmell, G Chu","Proceedings of the National Academy of Sciences 91 (16), 7623-7627",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9111230652658861193,217,1994
Cernunnos/XLF promotes the ligation of mismatched and noncohesive DNA ends,"CJ Tsai, SA Kim, G Chu","Proceedings of the National Academy of Sciences 104 (19), 7851-7856",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14765348796497964464,204,2007
Xeroderma pigmentosum complementation group E and UV-damaged DNA-binding protein,"J Tang, G Chu","DNA repair 1 (8), 601-616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14507296523377629726,200,2002
p48 Activates a UV-damaged-DNA binding factor and is defective in xeroderma pigmentosum group E cells that lack binding activity,"BJ Hwang, S Toering, U Francke, G Chu","Molecular and cellular biology 18 (7), 4391-4399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1891023867206659841,182,1998
A DNA end-binding factor involved in double-strand break repair and V (D) J recombination.,"WK Rathmell, G Chu","Molecular and Cellular Biology 14 (7), 4741-4748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9128939866256944822,180,1994
SV40 DNA transfection of cells in suspension: analysis of the efficiency of transcription and translation of T-antigen,"G Chu, PA Sharp","Gene 13 (2), 197-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11659303386480111962,178,1981
Cancer risk after use of recombinant bone morphogenetic protein-2 for spinal arthrodesis,"EJ Carragee, G Chu, R Rohatgi, EL Hurwitz, BK Weiner, ST Yoon, ...","JBJS 95 (17), 1537-1545",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16055920638263767315,176,2013
p53 Binds and activates the xeroderma pigmentosum DDB2 gene in humans but not mice,"T Tan, G Chu","Molecular and cellular biology 22 (10), 3247-3254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17305715049364159376,171,2002
Ku86 defines the genetic defect and restores X-ray resistance and V (D) J recombination to complementation group 5 hamster cell mutants.,"A Errami, V Smider, WK Rathmell, DM He, EA Hendrickson, ...","Molecular and cellular biology 16 (4), 1519-1526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11726136488324459485,169,1996
Cisplatin-resistant cells express increased levels of a factor that recognizes damaged DNA,"G Chu, E Chang","Proceedings of the National Academy of Sciences 87 (9), 3324-3327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15765163443623561870,169,1990
Portrait of transcriptional responses to ultraviolet and ionizing radiation in human cells,"KE Rieger, G Chu","Nucleic acids research 32 (16), 4786-4803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3193129992833065465,152,2004
Contributions of ATM mutations to familial breast and ovarian cancer,"YR Thorstenson, A Roxas, R Kroiss, MA Jenkins, MY Kristine, T Bachrich, ...","Cancer research 63 (12), 3325-3333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17675926955452790412,151,2003
Structure of DNA‐dependent protein kinase: implications for its regulation by DNA,"KK Leuther, O Hammarsten, RD Kornberg, G Chu","The EMBO journal 18 (5), 1114-1123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17187742088164742910,145,1999
SAM:“Significance Analysis of Microarrays” users guide and technical document,"G Chu, B Narasimhan, R Tibshirani, V Tusher",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8379220517548316236,14655331036696388844,15978620490399941123",137,2001
Crystal structure of human XLF: a twist in nonhomologous DNA end-joining,"SN Andres, M Modesti, CJ Tsai, G Chu, MS Junop","Molecular cell 28 (6), 1093-1101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1519874314331297374,136,2007
Processing of DNA for nonhomologous end‐joining by cell‐free extract,"J Budman, G Chu","The EMBO journal 24 (4), 849-860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3397961376689156690,136,2005
Toxicity from radiation therapy associated with abnormal transcriptional responses to DNA damage,"KE Rieger, WJ Hong, VG Tusher, J Tang, R Tibshirani, G Chu","Proceedings of the National Academy of Sciences 101 (17), 6635-6640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16315687630994248804,127,2004
Purification and characterization of a human protein that binds to damaged DNA,"BJ Hwang, G Chu","Biochemistry 32 (6), 1657-1666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3801625878974563875,119,1993
impute: Imputation for microarray data,"T Hastie, R Tibshirani, B Narasimhan, G Chu","Bioinformatics 17 (6), 520-525",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9746651118985650853,118,2001
Xeroderma pigmentosum group E binding factor recognizes a broad spectrum of DNA damage,"A Payne, G Chu",Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis 310 (1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5946387984282679923,118,1994
Microarrays and their use in a comparative experiment,"B Elton, R Tibshirani, V Goss, G Chu, SG Chu",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3345988627342851413,6923432421754420216",115,2000
Activation of DNA-dependent protein kinase by single-stranded DNA ends,"O Hammarsten, LG DeFazio, G Chu","Journal of Biological Chemistry 275 (3), 1541-1550",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5764955564550477274,105,2000
Global analysis of ATM polymorphism reveals significant functional constraint,"YR Thorstenson, P Shen, VG Tusher, TL Wayne, RW Davis, G Chu, ...","The American Journal of Human Genetics 69 (2), 396-412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14727756766497573273,104,2001
Massive cisplatin overdose by accidental substitution for carboplatin. Toxicity and management,"G Chu, R Mantin, YM Shen, G Baskett, H Sussman","Cancer 72 (12), 3707-3714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11329825622099383513,101,1993
DNA-dependent protein kinase is not required for accumulation of p53 or cell cycle arrest after DNA damage,"WK Rathmell, WK Kaufmann, JC Hurt, LL Byrd, G Chu","Cancer research 57 (1), 68-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6128409963876439186,98,1997
A gene chimaera of SV40 and mouse β-globin is transcribed and properly spliced,"G Chu, PA Sharp","Nature 289 (5796), 378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9100229645975378106,90,1981
"RAD3 gene of Saccharomyces cerevisiae: nucleotide sequence of wild-type and mutant alleles, transcript mapping, and aspects of gene regulation.","L Naumovski, G Chu, P Berg, EC Friedberg","Molecular and cellular biology 5 (1), 17-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14715403606798475603,89,1985
Three-dimensional imaging in the positron camera using Fourier techniques,"G Chu, KC Tam","Physics in Medicine & Biology 22 (2), 245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18404975776203909323,86,1977
"Xeroderma pigmentosum, Cockayne syndrome and trichothiodystrophy: do the genes explain the diseases?","G Chu, L Mayne","Trends in genetics 12 (5), 187-192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14064422011386689466,85,1996
Enhanced detection of the t (14; 18) translocation in malignant lymphoma using pulsed-field gel electrophoresis,"AD Zelenetz, G Chu, N Galili, CD Bangs, SJ Horning, TA Donlon, ...","Blood 78 (6), 1552-1560",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11646018891355663968,80,1991
The end-joining reaction in V (D) J recombination,"V Smider, G Chu","Seminars in immunology 9 (3), 189-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2906599125822423802,78,1997
"An information theoretic, microfluidic-based single cell analysis permits identification of subpopulations among putatively homogeneous stem cells","JP Glotzbach, M Januszyk, IN Vial, VW Wong, A Gelbard, T Kalisky, ...","PloS one 6 (6), e21211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13464276319187298678,68,2011
Pulsed-field electrophoresis of megabase-sized DNA.,"K Gunderson, G Chu","Molecular and cellular biology 11 (6), 3348-3354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15114514231672689500,65,1991
