Title,Authors,Platform,Cited_url,Cited_count,Year
Norm theory: Comparing reality to its alternatives.,"D Kahneman, DT Miller","Psychological review 93 (2), 136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16415309125497968264,3665,1986
Self-serving biases in the attribution of causality: Fact or fiction?,"DT Miller, M Ross","Psychological bulletin 82 (2), 213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2811145217362232058,2997,1975
Social stigma: The psychology of marked relationships,EE Jones,WH Freeman,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4380823476500887744,2661,1984
Just world research and the attribution process: Looking back and ahead.,"MJ Lerner, DT Miller","Psychological bulletin 85 (5), 1030",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17388723305697261099,1988,1978
Rediscovering social innovation,"JA Phills, K Deiglmeier, DT Miller","Stanford Social Innovation Review 6 (4), 34-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6286979580123900928,1602,2008
Pluralistic ignorance and alcohol use on campus: some consequences of misperceiving the social norm.,"DA Prentice, DT Miller","Journal of personality and social psychology 64 (2), 243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10487921981022630343,1278,1993
The norm of self-interest,DT Miller,"The next phase of business ethics: Integrating psychology and ethics, 193-210","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5844358194804536353,958480414535477328",1271,2001
Moral credentials and the expression of prejudice.,"B Monin, DT Miller","Journal of personality and social psychology 81 (1), 33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7922029535206345624,1011,2001
When small effects are impressive.,"DA Prentice, DT Miller","Psychological bulletin 112 (1), 160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6013661466722968317,949,1992
Disrespect and the experience of injustice,DT Miller,"Annual review of psychology 52 (1), 527-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13510389986631853188,908,2001
Expectancies and interpersonal processes,"DT Miller, W Turnbull","Annual review of psychology 37 (1), 233-256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6843632711074838338,641,1986
