Title,Authors,Platform,Cited_url,Cited_count,Year
Constitutions and commitment: the evolution of institutions governing public choice in seventeenth-century England,"DC North, BR Weingast","The journal of economic history 49 (04), 803-832","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12236553821668536542,9122312573968408234,7091652489696904821,2654164885210263800,4697987621631093462,14325303287136542311,15745789460359104102,10915656237456522379,3541725537724780943,13428360454293056834,4493647194283043917,18048852026482923706,2236758668831172239",5721,1989
Violence and social orders: a conceptual framework for interpreting recorded human history,"DC North, JJ Wallis, BR Weingast",Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6225287839413210333,8615860661613970182,607216266139179963,12779072485203652012,15787081637729422993,1062748283323422034,5673774511483679583,17474632233575247270,13265580424961625028,12887384158947322984,12578826656849533508,8849744438316994697,8186260516193629050,9967519168157283295,3824327993392870958,11189318366096872495,16270205244736993612,9863079867084491183,9864937587369079553,6208356200893974967,15970779284191288003,15608565590169619148,17134207260493805499,15719879836137192609,14057536619271664346,12734070333198746162,13487688509799878347,6843628383056649229",4243,2009
Administrative Procedures as Instruments of Political Control,"MD McCubbins, RG Noll, ВR Weingast (McNollgast)","Journal of Law, Economics and Organization 3, 243","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6622123549830834157,6887234404451424243,2351676279015743025,13674175197973278052,1633163762514113971,17356554037452578092,16222647884094960522,6645319552795845682,14662231724346734316",3223,1987
Economic Role of Political Institutions: Market-Preserving Federalism and Economic Development,BR Weingast,"JL Econ. & Org. 11, 1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5008796672878202418,9218379496038437106,13757746483211919191,254756956382490249,837850404161807653,17368227925066442023,3601742160986894976,1803151024017055846,11590881526177364043,4764448378340559856,14970747023397154662,8262630272652117110,6672041121430129506,8000234829501860432",3215,1995
Political economy of benefits and costs: A neoclassical approach to distributive politics,"BR Weingast, KA Shepsle, C Johnsen","The Journal of Political Economy, 642-664","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13117579863846712459,16888789136027510873,288861128800835619,12865214321673187846,13254162765202674452,764761294470649409,17299743850390111817,2206442227950996500,10871155134643525286,8430281077245481382,1960431225832808523,5969796286533014323,7518039406383964621",2205,1981
"""The role of institutions in the revival of trade: The law merchant, private judges, and the champagne fairs""","P Milgrom, DC North, BR Weingast","Economics & Politics 2 (1), 2-23","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13084551511722212821,3355956349757002176,10710988760880389294,11904172572457183973,5787510284448387041,11672258830532138044,10754508347422183571,14356125836306442593,7261376390675154668,8366152812032501361,6664033766442531515,17576059893031671192,5626243457496490797,9560931397805027948,8908240184006074299,1282969832091033081",2166,1990
"Structure and process, politics and policy: Administrative arrangements and the political control of agencies","MD McCubbins, RG Noll, BR Weingast, (McNollgast)","Virginia Law Review, 431-482","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7092875980473425311,967535964522206873,7813149643881463221,9583168333704832655,11795242690790603740,9153908441197369890,15114682748520213857,10583089093267497875,12125244421272500955,16764997515079749062,13312460457875538954",2111,1989
"The industrial organization of Congress; or, why legislatures, like firms, are not organized as markets","BR Weingast, WJ Marshall","The Journal of Political Economy, 132-163","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11511531026978890666,6160888514894443853,3855503872259422810,17201578342346044878,4299581627466058825,137740643978254719,10859388068811079064,15928581146582353716,4564010054552920580,15712756756277486254,15604089251520079278,4683621469517031584",2093,1988
Bureaucratic discretion or congressional control? Regulatory policymaking by the Federal Trade Commission,"BR Weingast, MJ Moran","The Journal of Political Economy, 765-800","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=536549347524785277,10809093292756767852,12481695753897986263,7236002526993270808,7182745849731091836,2997599897065410073",2010,1983
Federalism as a commitment to preserving market incentives,"Y Qian, BR Weingast","The Journal of Economic Perspectives, 83-92","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6931855302068282040,6458191513960722144,7853755292816150773,6775039015628203061,8605800498515937894,10973677641508106093",1998,1997
"The Political Foundations of Democracy and the Rule of the Law,",BR Weingast,"American Political Science Review 91 (June), 245-63","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16587037932133249026,2721809053687513269,269172934251370945,1629054378392445276",1967,1997
"Federalism, Chinese style","G Montinola, Y Qian, BR Weingast","World Politics 48 (1), 50-81","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15851975614232238610,12602370040441552708,1722362654159714905,11321623723927947928,16470038524828766603,5277042587016746036,5705510789139568507,5561338178371867643,3214490549648219061,8964156907784315576,8437547749232104410,4783956435606408828,289362075482126921,5501057861941995710",1950,1995
Analytic narratives,"R Bates, A Greif, M Levi, JL Rosenthal, BR Weingast",Princeton University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12978475662515198005,10868711735712824269,17152384026842242013,1220132740996971485,3034203319308279647,9544192756660848953,3016417155597196204,124029037021307462,17155577721570332697,14532930427357876275,9080346585827138200,8808403667703765632,3086330978253919539,7423618739445668554,18070814004010295280,16432506938436034279,9531794660957610415,5354783452414247640,3887834923218101913,1292581295179476804,11113484913021689072,7673079541095280911,7129417624215189892,10144083122032571785,5483553062311649544,3781993080157971655",1915,1998
Institutional foundations of committee power,"KA Shepsle, BR Weingast","The American Political Science Review, 85-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3462459764386891601,1548,1987
"Coordination, commitment, and enforcement: The case of the merchant guild","A Greif, P Milgrom, BR Weingast","Journal of political economy 102 (4), 745-776","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14251991908541062641,7777504277971250393,11662859010774947997",1499,1994
"Regional decentralization and fiscal incentives: Federalism, Chinese style","H Jin, Y Qian, BR Weingast","Journal of public economics 89 (9), 1719-1742","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14833743754420133139,10017039394809374,7446680629961367179,8558893406874090763,16957693960416117754,3437350022661626319,803939695685849887,17545554343784711847,12735998697134310824,9078827545420399305,7824285892091533652,4075840723460860357,2521927711958338119",1465,2005
Structure-induced equilibrium and legislative choice,"KA Shepsle, BR Weingast","Public choice 37 (3), 503-519","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18403910348014582777,6169885052336648225,17317665213737755290,8265336218185139706,12276081474652931609",989,1981
"Ideas, interests and institutions: Constructing the EC's internal market","G Garrett, BR Weingast",The Role of Ideas in Foreign Policy,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8516481182027193134,7168045805598202787,13803215062600609610,12712628578366090409,11158814723519891451,9572489657177545266,12990620098451095575,4070231584177201757,9526598570760754397,18039566371981756363,11667194775929872374,18217715861921336788,12574872974405631204,11699125866159989161,905185129972047642,5884093952261225494,7440839751496551791",985,1993
A theory of political control and agency discretion,"R Calvert, M McCubbins, BR Weingast",American journal of political science 33 (3),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=172715170859774596,14442022213330189673,12369942276941835748,16251288977828425873,10816326126820378880,5109899398386845005",911,1989
Second generation fiscal federalism: The implications of fiscal incentives,BR Weingast,"Journal of Urban Economics 65 (3), 279-293","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13913684593072072704,8442049148396006139,18261226017471243897,12070721324953198916,6681734975928471036,7413232760589323659",895,2009
Насилие и социальные порядки,"Д Норт, Д Уоллис, Б Вайнгаст",Концептуальные рамки для интерпретации письменной истории человечества. М …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3198257348196160724,12338530895049393804,13108798614530146514,12600778890455478068,11599892633755571428,12438880359110943756,10017727508110166947,7405329266226212614,3390578214896478547,2468977391538865259,1889152859307176154,16674292874857059976,18040899926234656248,6457727285490632404,4292802931311580371,13762017147679187335",864,2011
A Rational Choice Perspective on Congressional Norms,B Weingast,"Am. J. Pol. Sci 245, 246","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15192468437996629764,17189197649395219838,12306230702351309902",782,1979
The congressional-bureaucratic system: a principal agent perspective (with applications to the SEC),BR Weingast,"Public Choice 44 (1), 147-191","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15539059113984001399,18168506906232699682,4633618766437700750,5308594685025732601,8183708353147807270,4527840933577933583",772,1984
Political preferences for the pork barrel: A generalization,"KA Shepsle, BR Weingast","American journal of political science, 96-111","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=392893941535848381,10656405135800808341",707,1981
"China's transition to markets: market-preserving federalism, Chinese style","Y Qian, BR Weingast","The Journal of Policy Reform 1 (2), 149-185","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9650943869547786672,3267272438677618129,10074563743124121515,15096395540157243886,9004786486995545173,3170179150308065870,1256608322656151836",651,1996
Constitutions as governance structures: The political foundations of secure markets,BR Weingast,Journal of Institutional and Theoretical Economics (JITE)/Zeitschrift für …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13578466132183357077,2220459145013654598,17250818862524628454",618,1993
"From federalism, Chinese style to privatization, Chinese style","Y Cao, Y Qian, BR Weingast","Economics of Transition 7 (1), 103-131","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9033372434945212550,13450546240920218383,7362378086117013622,11231660550704209623,156571974148721120,4519753629286456807,2105741428144969562,12615791102996618625,11527818437922853044,18272416570195538430",606,1999
"Order, disorder and economic change: Latin America vs. North America","DC North, W Summerhill, BR Weingast",Governing for prosperity 19,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1318177914029626489,238442727828133044,11143072209809231887,17777141609247699400,15454762846902927514,17494670726322256779,10083991887200667143,8693866824622880662,8322371443440576583,15231423085289890087,10231481619738450366,13709193055269619123",584,2000
Positive theories of congressional institutions,"KA Shepsle, BR Weingast","Legislative Studies Quarterly, 149-179","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14451767432213191571,15620816263599286217,5587038292160820648,12018354162260551616,1373402908459680621",489,1994
Uncovered sets and sophisticated voting outcomes with implications for agenda institutions,"KA Shepsle, BR Weingast","American Journal of Political Science, 49-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4454807786480362381,466,1984
A positive theory of statutory interpretation,"JA Ferejohn, BR Weingast","International Review of Law and Economics 12 (2), 263-279","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7170125442201877493,7474346572539840521,15741388172782165038,14974665942436164795",458,1992
Limited Access Order in the Developing World: A New Approach to the Problems of Development. World Bank. 2007. 48 p,"DC North, JJ Wallis, SB Webb, BR Weingast",Policy Research Working Paper,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8857043503924765915,5004449237922399270,13845114932166764034",435,2007
The political control of bureaucracies under asymmetric information,"JS Banks, BR Weingast","American Journal of Political Science, 509-524",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=702857830158530545,432,1992
Oxford Handbook of Political Economy,"Weingast, Barry R., D Wittman",Oxford University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6258750375206224100,18407767760838369540,16496065662868338177,7351452651508122946,165660225353732545,3105958572801706929,10842144271092167155,4606111239922761509,10272225128787414712,779930462752993649,11082056057428923005,2803897381555858433,18001118831115034409,13335335177572764827",412,2006
A conceptual framework for understanding recorded human history,"DC North, JJ Wallis, BR Weingast",NBER Working Paper 12795 (12795),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10362754557205058636,15048739723473113475,13800293357141123865,14850815649554697477,9275525916678929638,903435504981059255,2578507357143837028,8037856682807367446,7799304433508267827,3088739090108786006",408,2006
Rational choice institutionalism,BR Weingast,"Political science: The state of the discipline, 660-692","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11288046924091882271,618050043549907609,11507791210273299482",405,2002
Positive Theories of Congressional Institutions,"KA Shepsle, BR Weingast",Ann Arbor: University of Michigan Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17660549309936769459,15255250439545747246,13480720882563766569,14366223003633187321",378,1995
The democratic advantage: institutional foundations of financial power in international competition,"KA Schultz, BR Weingast","International Organization 57 (01), 3-42","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13808278279702701457,1803599194866120670",369,2003
