Title,Authors,Platform,Cited_url,Cited_count,Year
Taking time seriously: A theory of socioemotional selectivity.,"LL Carstensen, DM Isaacowitz, ST Charles","American psychologist 54 (3), 165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9263736042463526827,4492,1999
Social and emotional patterns in adulthood: support for socioemotional selectivity theory.,LL Carstensen,"Psychology and aging 7 (3), 331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9681881239464806843,1980,1992
The influence of a sense of time on human development,LL Carstensen,"Science 312 (5782), 1913-1915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5077182006180300701,1821,2006
Emotional experience in everyday life across the adult life span.,"LL Carstensen, M Pasupathi, U Mayr, JR Nesselroade","Journal of personality and social psychology 79 (4), 644",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=886631123989165127,1744,2000
Aging and motivated cognition: The positivity effect in attention and memory,"M Mather, LL Carstensen","Trends in cognitive sciences 9 (10), 496-502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4560141159639691447,1726,2005
Socioemotional selectivity theory and the regulation of emotion in the second half of life,"LL Carstensen, HH Fung, ST Charles","Motivation and emotion 27 (2), 103-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=503300372335291021,1601,2003
Evidence for a life-span theory of socioemotional selectivity,LL Carstensen,"Current directions in Psychological science 4 (5), 151-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17705278010163727960,1585,1995
"Emotion and aging: Experience, expression, and control.","JJ Gross, LL Carstensen, M Pasupathi, J Tsai, C Götestam Skorpen, ...","Psychology and aging 12 (4), 590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11950975969331679350,1371,1997
Aging and emotional memory: the forgettable nature of negative images for older adults.,"ST Charles, M Mather, LL Carstensen","Journal of Experimental Psychology: General 132 (2), 310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4276551244531035146,1221,2003
"Time counts: future time perspective, goals, and social relationships.","FR Lang, LL Carstensen","Psychology and aging 17 (1), 125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11063186873167737639,1117,2002
At the intersection of emotion and cognition: Aging and the positivity effect,"LL Carstensen, JA Mikels","Current directions in psychological science 14 (3), 117-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3905864113677347455,1114,2005
Social and emotional aging,"ST Charles, LL Carstensen","Annual review of psychology 61, 383-409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9612315921154472185,1094,2010
The process of successful ageing,"MM Baltes, LL Carstensen","Ageing & Society 16 (4), 397-422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2713580295462926116,1082,1996
Emotional experience improves with age: evidence based on over 10 years of experience sampling.,"LL Carstensen, B Turan, S Scheibe, N Ram, H Ersner-Hershfield, ...","Psychology and aging 26 (1), 21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15559545339384698250,919,2011
Motivation for social contact across the life span: A theory of socioemotional selectivity,LL Carstensen,"Nebraska symposium on motivation 40, 209-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14635201491847153099,918,1993
Aging and attentional biases for emotional faces,"M Mather, LL Carstensen","Psychological science 14 (5), 409-415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13887327064846178304,860,2003
Emotional behavior in long-term marriage.,"LL Carstensen, JM Gottman, RW Levenson","Psychology and aging 10 (1), 140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11726382641555026170,855,1995
Selectivity theory: Social activity in life-span context,LL Carstensen,"Annual review of gerontology and geriatrics 11 (1), 195-217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6496396607499279714,776,1991
"Emotion, physiology, and expression in old age.","RW Levenson, LL Carstensen, WV Friesen, P Ekman","Psychology and aging 6 (1), 28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3490116424175900868,732,1991
Close emotional relationships in late life: Further support for proactive aging in the social domain.,"FR Lang, LL Carstensen","Psychology and aging 9 (2), 315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15907067575182867648,653,1994
"Long-term marriage: Age, gender, and satisfaction.","RW Levenson, LL Carstensen, JM Gottman","Psychology and aging 8 (2), 301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7977252749054804674,647,1993
Amygdala responses to emotionally valenced stimuli in older and younger adults,"M Mather, T Canli, T English, S Whitfield, P Wais, K Ochsner, DEG John, ...","Psychological Science 15 (4), 259-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17015414987086470040,641,2004
Choosing social partners: How old age and anticipated endings make people more selective.,"BL Fredrickson, LL Carstensen","Psychology and aging 5 (3), 335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9478943470165130697,631,1990
Emotional aging: Recent findings and future trends,"S Scheibe, LL Carstensen","The Journals of Gerontology: Series B 65 (2), 135-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6123140074761261831,604,2010
The role of motivation in the age-related positivity effect in autobiographical memory,"Q Kennedy, M Mather, LL Carstensen","Psychological science 15 (3), 208-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7779159150055332539,580,2004
"Influence of age and gender on affect, physiology, and their interrelations: A study of long-term marriages.","RW Levenson, LL Carstensen, JM Gottman","Journal of personality and social psychology 67 (1), 56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18310170971210134134,573,1994
"Differences in life expectancy due to race and educational differences are widening, and many may not catch up","SJ Olshansky, T Antonucci, L Berkman, RH Binstock, A Boersch-Supan, ...","Health affairs 31 (8), 1803-1813",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13115187420239517570,563,2012
The salience of emotion across the adult life span.,"LL Carstensen, S Turk-Charles","Psychology and aging 9 (2), 259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=142223186799353621,519,1994
The theory behind the age-related positivity effect,"AE Reed, LL Carstensen","Frontiers in psychology 3, 339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5007831795805241047,502,2012
"Socioemotional selectivity theory, aging, and health: The increasingly delicate balance between regulating emotions and making tough choices","CE Löckenhoff, LL Carstensen","Journal of personality 72 (6), 1395-1424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8158800984967157769,495,2004
Increasing saving behavior through age-progressed renderings of the future self,"HE Hershfield, DG Goldstein, WF Sharpe, J Fox, L Yeykelis, ...","Journal of Marketing Research 48 (SPL), S23-S37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4133936860412382224,472,2011
Influence of time on social preferences: Implications for life-span development.,"HH Fung, LL Carstensen, AM Lutz","Psychology and aging 14 (4), 595",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2904994533982311814,437,1999
Emotion regulation and aging,"ST Charles, LL Carstensen","Handbook of emotion regulation 307, 327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6685652873795088264,411,2007
"Aging and the intersection of cognition, motivation, and emotion","LL Carstensen, JA Mikels, M Mather","Handbook of the psychology of aging, 343-362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7650458403758812427,397,2006
Anticipation of monetary gain but not loss in healthy older adults,"GR Samanez-Larkin, SEB Gibbs, K Khanna, L Nielsen, LL Carstensen, ...","Nature neuroscience 10 (6), 787","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=469855955005420494,7193303774798291205",352,2007
"Autonomic, subjective, and expressive responses to emotional films in older and younger Chinese Americans and European Americans.","JL Tsai, RW Levenson, LL Carstensen","Psychology and aging 15 (4), 684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16391977321659958720,338,2000
Sending memorable messages to the old: age differences in preferences and memory for advertisements.,"HH Fung, LL Carstensen","Journal of personality and social psychology 85 (1), 163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6039997847248863669,333,2003
"Aging, emotion, and health-related decision strategies: motivational manipulations can reduce age differences.","CE Löckenhoff, LL Carstensen","Psychology and aging 22 (1), 134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9297088542361761602,329,2007
Emotion in the second half of life,"LL Carstensen, ST Charles","Current Directions in Psychological Science 7 (5), 144-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6234507757412904115,301,1998
Divergent trajectories in the aging mind: changes in working memory for affective versus visual information with age.,"JA Mikels, GR Larkin, PA Reuter-Lorenz, LL Carstensen","Psychology and aging 20 (4), 542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5980662165094597122,299,2005
The social context of emotional experience.,"LL Carstensen, JJ Gross, HH Fung",Springer Publishing Co,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8423388587849205705,8829255420078257981",288,1998
Influence of HIV status and age on cognitive representations of others.,"LL Carstensen, BL Fredrickson","Health Psychology 17 (6), 494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11210982323017334401,284,1998
Unpleasant situations elicit different emotional responses in younger and older adults.,"ST Charles, LL Carstensen","Psychology and aging 23 (3), 495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16430950244986220528,271,2008
Poignancy: Mixed emotional experience in the face of meaningful endings.,"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen","Journal of Personality and Social Psychology 94 (1), 158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10607482396720929189,269,2008
Age-related patterns in social networks among European Americans and African Americans: Implications for socioemotional selectivity across the life span,"HH Fung, LL Carstensen, FR Lang","The International Journal of Aging and Human Development 52 (3), 185-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1339283085656947686,256,2001
A life-span approach to social motivation.,LL Carstensen,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18272200150829826425,240,1998
Future time perspective scale,"LL Carstensen, FR Lang","Unpublished manuscript, Stanford University",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14371014727921486450,230,1996
Social-psychological theories and their applications to aging: From individual to collective.,"MM Baltes, LL Carstensen",Springer Publishing Co,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12122040846699398810,226,1999
Exercise holds immediate benefits for affect and cognition in younger and older adults.,"CL Hogan, J Mata, LL Carstensen","Psychology and aging 28 (2), 587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6550442474109438391,198,2013
Selective narrowing of social networks across adulthood is associated with improved emotional experience in daily life,"T English, LL Carstensen","International journal of behavioral development 38 (2), 195-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3251992728677173202,182,2014
Age and emotional experience during mutual reminiscing.,"M Pasupathi, LL Carstensen","Psychology and aging 18 (3), 430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6965053119513269018,180,2003
Motivational changes in response to blocked goals and foreshortened time: testing alternatives to socioemotional selectivity theory.,"HH Fung, LL Carstensen","Psychology and Aging 19 (1), 68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5654354005170279955,162,2004
"24 hours of sleep, sedentary behavior, and physical activity with nine wearable devices","ME Rosenberger, MP Buman, WL Haskell, MV McConnell, LL Carstensen","Medicine and science in sports and exercise 48 (3), 457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14331917958429224335,161,2016
"Goals change when life's fragility is primed: Lessons learned from older adults, the September 11 attacks and sars","HH Fung, LL Carstensen","Social Cognition 24 (3), 248-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6740379123313367904,158,2006
