Title,Authors,Platform,Cited_url,Cited_count,Year
Multiple‐rate mass transfer for modeling diffusion and surface reactions in media with pore‐scale heterogeneity,"R Haggerty, SM Gorelick","Water Resources Research 31 (10), 2383-2400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16524676954222685888,800,1995
A review of distributed parameter groundwater management modeling methods,SM Gorelick,"Water Resources Research 19 (2), 305-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5619298106826456451,639,1983
"Heterogeneity in sedimentary deposits: A review of structure‐imitating, process‐imitating, and descriptive approaches","CE Koltermann, SM Gorelick","Water Resources Research 32 (9), 2617-2658",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=50543973268201751,576,1996
Earthquake triggering and large-scale geologic storage of carbon dioxide,"MD Zoback, SM Gorelick","Proceedings of the National Academy of Sciences 109 (26), 10164-10168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9419920209446195119,549,2012
Optimal groundwater quality management under parameter uncertainty,"BJ Wagner, SM Gorelick","Water Resources Research 23 (7), 1162-1174","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10582857651374185780,5055170917012968862",408,1987
Aquifer reclamation design: The use of contaminant transport simulation combined with nonlinear programing,"SM Gorelick, CI Voss, PE Gill, W Murray, MA Saunders, MH Wright","Water Resources Research 20 (4), 415-427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12849275015959671772,331,1984
Identifying sources of groundwater pollution: An optimization approach,"SM Gorelick, B Evans, I Remson","Water Resources Research 19 (3), 779-790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=231919372622856473,273,1983
Saline tracer visualized with three‐dimensional electrical resistivity tomography: Field‐scale spatial moment analysis,"K Singha, SM Gorelick",Water Resources Research 41 (5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9590973807653260789,252,2005
Rate‐limited mass transfer or macrodispersion: Which dominates plume evolution at the Macrodispersion Experiment (MADE) site?,"C Harvey, SM Gorelick","Water Resources Research 36 (3), 637-650",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17600519241726338555,233,2000
Reliable aquifer remediation in the presence of spatially variable hydraulic conductivity: From data to design,"BJ Wagner, SM Gorelick","Water Resources Research 25 (10), 2211-2225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7229890459077254727,232,1989
