Title,Authors,Platform,Cited_url,Cited_count,Year
ING2 PHD domain links histone H3 lysine 4 methylation to active gene repression,"X Shi, T Hong, KL Walter, M Ewalt, E Michishita, T Hung, D Carney, ...","Nature 442 (7098), 96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14651311404250576427,936,2006
SIRT6 is a histone H3 lysine 9 deacetylase that modulates telomeric chromatin,"E Michishita, RA McCord, E Berber, M Kioi, H Padilla-Nash, M Damian, ...","Nature 452 (7186), 492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11216500089489543806,867,2008
Molecular mechanism of histone H3K4me3 recognition by plant homeodomain of ING2,"PV Pena, F Davrazou, X Shi, KL Walter, VV Verkhusha, O Gozani, R Zhao, ...","Nature 442 (7098), 100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=180638973466025639,639,2006
The PHD finger of the chromatin-associated protein ING2 functions as a nuclear phosphoinositide receptor,"O Gozani, P Karuman, DR Jones, D Ivanov, J Cha, AA Lugovskoy, ...","Cell 114 (1), 99-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11104698701100747361,530,2003
RAG2 PHD finger couples histone H3 lysine 4 trimethylation with V (D) J recombination,"AGW Matthews, AJ Kuo, S Ramón-Maiques, S Han, KS Champagne, ...","Nature 450 (7172), 1106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8924817500325869288,445,2007
Recognition of unmethylated histone H3 lysine 4 links BHC80 to LSD1-mediated gene repression,"F Lan, RE Collins, R De Cegli, R Alpatov, JR Horton, X Shi, O Gozani, ...","Nature 448 (7154), 718",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2222392655311543009,382,2007
Modulation of p53 function by SET8-mediated methylation at lysine 382,"X Shi, I Kachirskaia, H Yamaguchi, LE West, H Wen, EW Wang, S Dutta, ...","Molecular cell 27 (4), 636-646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17690543189662947786,381,2007
SIRT7 links H3K18 deacetylation to maintenance of oncogenic transformation,"MF Barber, E Michishita-Kioi, Y Xi, L Tasselli, M Kioi, Z Moqtaderi, ...","Nature 487 (7405), 114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17600824134522609786,379,2012
Members of the H3K4 trimethylation complex regulate lifespan in a germline-dependent manner in ,"EL Greer, TJ Maures, AG Hauswirth, EM Green, DS Leeman, GS Maro, ...","Nature 466 (7304), 383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17159992156954806299,348,2010
The Peutz-Jegher gene product LKB1 is a mediator of p53-dependent cell death,"P Karuman, O Gozani, RD Odze, XC Zhou, H Zhu, R Shaw, TP Brien, ...","Molecular cell 7 (6), 1307-1319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6625858636907910794,336,2001
TRIM24 links a non-canonical histone signature to breast cancer,"WW Tsai, Z Wang, TT Yiu, KC Akdemir, W Xia, S Winter, CY Tsai, X Shi, ...","Nature 468 (7326), 927",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8711411171108981029,291,2010
Cell cycle-dependent deacetylation of telomeric histone H3 lysine K56 by human SIRT6,"E Michishita, RA McCord, LD Boxer, MF Barber, T Hong, O Gozani, ...","Cell cycle 8 (16), 2664-2666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7313800669756339688,289,2009
A potential role for U2AF-SAP 155 interactions in recruiting U2 snRNP to the branch site,"O Gozani, J Potashkin, R Reed","Molecular and cellular biology 18 (8), 4752-4760",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2072905279622782435,272,1998
SIRT6 stabilizes DNA-dependent protein kinase at chromatin for DNA double-strand break repair,"RA McCord, E Michishita, T Hong, E Berber, LD Boxer, R Kusumoto, ...","Aging (Albany NY) 1 (1), 109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16524413711958668884,262,2009
NSD2 links dimethylation of histone H3 at lysine 36 to oncogenic programming,"AJ Kuo, P Cheung, K Chen, BM Zee, M Kioi, J Lauring, Y Xi, BH Park, ...","Molecular cell 44 (4), 609-620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14242361296959206521,258,2011
Evidence that sequence-independent binding of highly conserved U2 snRNP proteins upstream of the branch site is required for assembly of spliceosomal complex A.,"O Gozani, R Feld, R Reed","Genes & development 10 (2), 233-243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12910621722860331924,252,1996
Proteome-wide analysis in Saccharomyces cerevisiae identifies several PHD fingers as novel direct and selective binding modules of histone H3 methylated at either lysine 4 or …,"X Shi, I Kachirskaia, KL Walter, JHA Kuo, A Lake, F Davrazou, SM Chan, ...","Journal of Biological Chemistry 282 (4), 2450-2455",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6109469292553961684,244,2007
The BAH domain of ORC1 links H4K20me2 to DNA replication licensing and Meier–Gorlin syndrome,"AJ Kuo, J Song, P Cheung, S Ishibe-Murakami, S Yamazoe, JK Chen, ...","Nature 484 (7392), 115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17721098671243358911,232,2012
A novel set of spliceosome‐associated proteins and the essential splicing factor PSF bind stably to pre‐mRNA prior to catalytic step II of the splicing reaction.,"O Gozani, JG Patton, R Reed","The EMBO journal 13 (14), 3356-3367",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12663210389578557062,227,1994
SMYD3 links lysine methylation of MAP3K2 to Ras-driven cancer,"PK Mazur, N Reynoird, P Khatri, PWTC Jansen, AW Wilkinson, S Liu, ...","Nature 510 (7504), 283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4994954668737625399,219,2014
PtdIns (5) P activates the host cell PI3‐kinase/Akt pathway during Shigella flexneri infection,"C Pendaries, H Tronchère, L Arbibe, J Mounier, O Gozani, L Cantley, ...","The EMBO journal 25 (5), 1024-1034",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14310291496071133142,212,2006
The target of the NSD family of histone lysine methyltransferases depends on the nature of the substrate,"Y Li, P Trojer, CF Xu, P Cheung, A Kuo, WJ Drury, Q Qiao, TA Neubert, ...","Journal of Biological Chemistry 284 (49), 34283-34295",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17084555636687900266,208,2009
