Title,Authors,Platform,Cited_url,Cited_count,Year
Partially molten middle crust beneath southern Tibet: synthesis of project INDEPTH results,"KD Nelson, W Zhao, LD Brown, J Kuo, J Che, X Liu, SL Klemperer, ...","Science 274 (5293), 1684-1688",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=71757589067382698,1180,1996
Deep seismic reflection evidence for continental underthrusting beneath southern Tibet,"W Zhao, KD Nelson, J Che, J Quo, D Lu, C Wu, X Liu","Nature 366 (6455), 557-559","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16307537947121208644,10737432049955537953",733,1993
"The onset of India–Asia continental collision: early, steep subduction required by the timing of UHP metamorphism in the western Himalaya","ML Leech, S Singh, AK Jain, SL Klemperer, RM Manickavasagam","Earth and Planetary Science Letters 234 (1-2), 83-97",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6957165855850400968,483,2005
"The Moho in the northern Basin and Range province, Nevada, along the COCORP 40 N seismic-reflection transect","SL Klemperer, TA Hauge, EC Hauser, JE Oliver, CJ Potter","Geological Society of America Bulletin 97 (5), 603-618","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17751420720589267841,5183962257827254327",344,1986
Seismic imaging of the downwelling Indian lithosphere beneath central Tibet,"F Tilmann, J Ni, and the INDEPTH III Seismic Team","Science 300 (5624), 1424-1427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8607594921278970609,327,2003
An overview of the Izu-Bonin-Mariana subduction factory,SL Klemperer,"Inside the subduction factory 138, 175-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13189210444947504195,318,2003
Evidence for early Proterozoic plate tectonics from seismic reflection profiles in the Baltic shield,BW Group,"Nature 348, 34-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6871231305892540861,288,1990
"Crustal flow in Tibet: geophysical evidence for the physical state of Tibetan lithosphere, and inferred patterns of active flow",SL Klemperer,"Geological Society, London, Special Publications 268 (1), 39-70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6182878848615638123,247,2006
Origin of high mountains in the continents: The southern Sierra Nevada,"B Wernicke, R Clayton, M Ducea, CH Jones, S Park, S Ruppert, J Saleeby, ...","Science 271 (5246), 190-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8021763623482074864,238,1996
"Overview of the COCORP 40 N transect, western United States: The fabric of an orogenic belt","RW Allmendinger, TA Hauge, EC Hauser, CJ Potter, SL Klemperer, ...","Geological Society of America Bulletin 98 (3), 308-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14499388657637990549,238,1987
Crustal structure of central Tibet as derived from project INDEPTH wide-angle seismic data,"W Zhao, J Mechie, LD Brown, J Guo, S Haines, T Hearn, SL Klemperer, ...","Geophysical Journal International 145 (2), 486-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12733381833456704681,225,2001
Deep seismic reflection/refraction interpretation of crustal structure along BABEL profiles A and B in the southern Baltic Sea,BABEL Working Group,"Geophysical Journal International 112 (3), 325-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4505217300035868556,207,1993
Characteristics of volcanic rifted margins,"MA Menzies, SL Klemperer, CJ Ebinger, J Baker","Special Papers-Geological Society of America, 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4272890869965039708,204,2002
The BIRPS Atlas: Deep Seismic Reflection Profiles around the British Isles,"SL Klemperer, R Hobbs",Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3236611115076397771,18370887879250413247",168,1991
Three-dimensional seismic imaging of a protoridge axis in the Main Ethiopian rift,"K Keranen, SL Klemperer, R Gloaguen, EW Group","Geology 32 (11), 949-952",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3099345234399787550,167,2004
Integrated seismic studies of the Baltic Shield using data in the Gulf of Bothnia region,"no-firstname BABEL Working Group, H Thybo, A Berthelsen","Geophysical Journal International, 305-324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3813397954305755902,166,1993
Measuring the seismic properties of Tibetan bright spots: Evidence for free aqueous fluids in the Tibetan middle crust,"Y Makovsky, SL Klemperer","Journal of Geophysical Research: Solid Earth 104 (B5), 10795-10825",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3642519661250225571,165,1999
