Title,Authors,Platform,Cited_url,Cited_count,Year
Tcl und Tk: Entwicklung grafischer Benutzerschnittstellen für das X Window System,JK Ousterhout,Pearson Deutschland GmbH,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11889363046596205159,3849,1995
The design and implementation of a log-structured file system,"M Rosenblum, JK Ousterhout","ACM Transactions on Computer Systems (TOCS) 10 (1), 26-52","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17350290548879842724,9286720307203687003",3111,1992
Caching in the Sprite network file system,"MN Nelson, BB Welch, JK Ousterhout","ACM Transactions on Computer Systems (TOCS) 6 (1), 134-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14813037785929493171,1586,1988
In search of an understandable consensus algorithm,"D Ongaro, J Ousterhout","2014 {USENIX} Annual Technical Conference ({USENIX}{ATC} 14), 305-319","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12646889551697084617,15141061938475263862",1075,2014
Scripting: Higher level programming for the 21st century,JK Ousterhout,"Computer 31 (3), 23-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4793805797662885374,1072,1998
Measurements of a distributed file system,"MG Baker, JH Hartman, MD Kupfer, KW Shirriff, JK Ousterhout","ACM SIGOPS Operating Systems Review 25 (5), 198-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7874303365010128374,824,1991
The Sprite network operating system,"JK Ousterhout, AR Cherenson, F Douglis, MN Nelson, BB Welch","Computer 21 (2), 23-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17142691790282210637,806,1988
A trace-driven analysis of the UNIX 4.2 BSD file system,"JK Ousterhout, H Da Costa, D Harrison, JA Kunze, M Kupfer, ...",CALIFORNIA UNIV BERKELEY DEPT OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2332885172415706257,801,1985
Scheduling Techniques for Concurrebt Systems.,JK Ousterhout,"ICDCS 82, 22-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6603588046728339399,774,1982
Transparent process migration: Design alternatives and the Sprite implementation,"F Douglis, J Ousterhout","Software: Practice and Experience 21 (8), 757-785",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7849249873927354107,723,1991
The Zebra striped network file system,"JH Hartman, JK Ousterhout","ACM SIGOPS Operating Systems Review 27 (5), 29-43","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5724742755348240681,7733913276184772374",671,1994
Why aren’t operating systems getting faster as fast as hardware,J Ousterhout,In Summer USENIX’90,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14911897005751556331,639,1990
The case for RAMClouds: scalable high-performance storage entirely in DRAM,"J Ousterhout, P Agrawal, D Erickson, C Kozyrakis, J Leverich, D Mazières, ...","ACM SIGOPS Operating Systems Review 43 (4), 92-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6913523241804369970,595,2010
Tcl: An embeddable command language,JK Ousterhout,"University of California, Berkeley, Computer Science Division",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6279416880057759786,590,1989
Beating the I/O bottleneck: A case for log-structured file systems,"J Ousterhout, F Douglis","ACM SIGOPS Operating Systems Review 23 (1), 11-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1584778069297957507,504,1989
