Title,Authors,Platform,Cited_url,Cited_count,Year
Robust uncertainty principles: Exact signal reconstruction from highly incomplete frequency information,"EJ Candès, J Romberg, T Tao","IEEE Transactions on information theory 52 (2), 489-509","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16642498221976056243,3240633703747459928,4222164903016166348,5301409323420557068,10400629826062139891",15470,2006
An introduction to compressive sampling,"EJ Candès, MB Wakin","Signal Processing Magazine, IEEE 25 (2), 21-30","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6673268810008144744,12037133642854660524,3508385149641972789",9306,2008
Near-optimal signal recovery from random projections: Universal encoding strategies?,"EJ Candes, T Tao","IEEE transactions on information theory 52 (12), 5406-5425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=359323047171635440,7014,2006
Decoding by linear programming,"E Candes, T Tao",arXiv preprint math/0502327,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6224590091387683479,13243140010332307441",6993,2005
Stable signal recovery from incomplete and inaccurate measurements,"EJ Candes, JK Romberg, T Tao",Communications on Pure and Applied Mathematics: A Journal Issued by the …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17763231553720980518,6841,2006
Compressive sensing,RG Baraniuk,IEEE signal processing magazine 24 (4),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7704999988513226482,15028956991789046655",4922,2007
Robust principal component analysis?,"EJ Candès, X Li, Y Ma, J Wright","Journal of the ACM (JACM) 58 (3), 11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9000237782786002248,13953992857628273020",4873,2011
Exact matrix completion via convex optimization,"EJ Candès, B Recht","Foundations of Computational Mathematics 9 (6), 717-772","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13638398514313868138,903934472198587341",4471,2009
Enhancing Sparsity by Reweighted ,"EJ Candes, MB Wakin, SP Boyd","Journal of Fourier analysis and applications 14 (5-6), 877-905","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1499522419138006015,10699960304868889812,14912931986226562006,9128384261035896833",3946,2008
A singular value thresholding algorithm for matrix completion*,"JF Cai, EJ Candes, Z Shen","SIAM Journal on Optimization 20 (4), 2010","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12498454674980473103,11855921732826985309,10726269138808234279",3942,2010
Compressive sampling,EJ Candès,"Proceedings of the international congress of mathematicians 3, 1433-1452","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2433405536527577968,15625259407906723134",3928,2006
The restricted isometry property and its implications for compressed sensing,EJ Candes,"Comptes rendus mathematique 346 (9-10), 589-592",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1079943113608741972,3548,2008
The Dantzig selector: Statistical estimation when p is much larger than n,"E Candes, T Tao","The annals of Statistics 35 (6), 2313-2351","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9582013477817269729,17827951380827702250,11575283781593773745",3249,2007
Fast discrete curvelet transforms,"E Candes, L Demanet, D Donoho, L Ying","Multiscale Modeling & Simulation 5 (3), 861-899",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13033402568409352699,2993,2006
The curvelet transform for image denoising,"JL Starck, EJ Candès, DL Donoho","IEEE Transactions on image processing 11 (6), 670-684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4552831772772267824,2901,2002
Curvelets: A surprisingly effective nonadaptive representation for objects with edges,"EJ Candes, DL Donoho",Stanford Univ Ca Dept of Statistics,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16494878940778690242,16682718476299327429,4394495553419100882,4669384440688419137",2296,2000
New tight frames of curvelets and optimal representations of objects with piecewise C2 singularities,"EJ Candes, DL Donoho","Communications on pure and applied mathematics 57 (2), 219-266","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10023308774324429497,3912311789734605003,2228678742248688606,10133715534600333850,17641986575816832649",2181,2004
Sparsity and incoherence in compressive sampling,"E Candes, J Romberg","Inverse problems 23 (3), 969",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15120841640690981734,2165,2007
The power of convex relaxation: Near-optimal matrix completion,"EJ Candès, T Tao","Information Theory, IEEE Transactions on 56 (5), 2053-2080","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10992314938232382839,10402619633334257002",1825,2010
Matrix completion with noise,"EJ Candes, Y Plan","Proceedings of the IEEE 98 (6), 925-936","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11230666730374935398,13325333822179382394",1364,2010
Ridgelets: A key to higher-dimensional intermittency?,"EJ Candès, DL Donoho",Philosophical Transactions of the Royal Society of London. Series A …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7079988304689423753,791276959946688381",1221,1999
NESTA: A fast and accurate first-order method for sparse recovery,"S Becker, J Bobin, EJ Candès","SIAM Journal on Imaging Sciences 4 (1), 1-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15461407330200001737,1135,2011
l1-magic: Recovery of sparse signals via convex programming,"E Candes, J Romberg","URL: www. acm. caltech. edu/l1magic/downloads/l1magic. pdf 4, 14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15275895701574443820,12670715761291838114",1015,2005
Ridgelets: theory and applications,EJ Candes,Stanford University,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6703024405290165545,17186177062530486725",1001,1998
Phaselift: Exact and stable signal recovery from magnitude measurements via convex programming,"EJ Candes, T Strohmer, V Voroninski","Communications on Pure and Applied Mathematics 66 (8), 1241-1274","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7493782083937418092,18133491522105783955",873,2013
