Title,Authors,Platform,Cited_url,Cited_count,Year
Petroleum reservoir simulation,K Aziz,Applied Science Publishers 476,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9866525318844147416,2845095636032484701",3842,1979
The flow of complex mixtures in pipes,"GW Govier, K Aziz",Van Nostrand Reinhold,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7753764865790470436,1328,1972
A flow pattern map for gas—liquid flow in horizontal pipes,"JM Mandhane, GA Gregory, K Aziz","International Journal of Multiphase Flow 1 (4), 537-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13135923519634952717,1296,1974
An efficient discrete fracture model applicable for general purpose reservoir simulators,"M Karimi-Fard, LJ Durlofsky, K Aziz",SPE Reservoir Simulation Symposium,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1363472689328608506,683,2003
"Optimization of nonconventional well type, location, and trajectory","B Yeten, LJ Durlofsky, K Aziz","SPE Journal 8 (03), 200-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12662031269050713069,378,2003
Pressure drop in wells producing oil and gas,"K Aziz, GW Govier",Journal of Canadian Petroleum Technology 11 (03),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10872776534418631176,341,1972
Numerical solution of the three‐dimensional equations of motion for laminar natural convection,"K Aziz, JD Hellums","The physics of fluids 10 (2), 314-324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9917302298032125776,328,1967
Matrix-fracture transfer shape factors for dual-porosity simulators,"KT Lim, K Aziz","Journal of Petroleum Science and Engineering 13 (3-4), 169-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2732459175438158762,300,1995
Correlation of the liquid volume fraction in the slug for horizontal gas-liquid slug flow,"GA Gregory, MK Nicholson, K Aziz","International Journal of Multiphase Flow 4 (1), 33-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10090352311978295550,284,1978
Intermittent two phase flow in horizontal pipes: predictive models,"MK Nicholson, K Aziz, GA Gregory","The Canadian Journal of chemical engineering 56 (6), 653-663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8369363388128383308,270,1978
Efficient real-time reservoir management using adjoint-based optimal control and model updating,"P Sarma, LJ Durlofsky, K Aziz, WH Chen","Computational Geosciences 10 (1), 3-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=563328535218628961,263,2006
Experimental study of two and three phase flows in large diameter inclined pipes,"G Oddie, H Shi, LJ Durlofsky, K Aziz, B Pfeffer, JA Holmes","International Journal of Multiphase Flow 29 (4), 527-558",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4848121772158085484,256,2003
A mechanistic model for multiphase flow in pipes,"N Petalas, K Aziz",Journal of Canadian Petroleum Technology 39 (06),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12792579384657652846,251,2000
Drift-flux modeling of two-phase flow in wellbores,"H Shi, JA Holmes, LJ Durlofsky, K Aziz, L Diaz, B Alkaya, G Oddie","Spe Journal 10 (01), 24-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14205699628202525622,216,2005
Implementation of adjoint solution for optimal control of smart wells,"P Sarma, K Aziz, LJ Durlofsky",SPE reservoir simulation symposium,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16174831260355789534,216,2005
"Kernel principal component analysis for efficient, differentiable parameterization of multipoint geostatistics","P Sarma, LJ Durlofsky, K Aziz","Mathematical Geosciences 40 (1), 3-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7670115438107666541,196,2008
