Title,Authors,Platform,Cited_url,Cited_count,Year
STIM is a Ca2+ sensor essential for Ca2+-store-depletion-triggered Ca2+ influx,"J Liou, ML Kim, W Do Heo, JT Jones, JW Myers, JE Ferrell Jr, T Meyer","Current biology 15 (13), 1235-1241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16353132760561326830,1925,2005
"Range of messenger action of calcium ion and inositol 1, 4, 5-trisphosphate","NL Allbritton, T Meyer, L Stryer","Science 258 (5089), 1812-1815",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6849502311419288720,1159,1992
Protein kinase C as a molecular machine for decoding calcium and diacylglycerol signals,"E Oancea, T Meyer","Cell 95 (3), 307-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7866197370954566630,712,1998
"Phosphatidylinositol 4, 5-bisphosphate functions as a second messenger that regulates cytoskeleton–plasma membrane adhesion","D Raucher, T Stauffer, W Chen, K Shen, S Guo, JD York, MP Sheetz, ...","Cell 100 (2), 221-228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1837022545539058001,703,2000
"Receptor-induced transient reduction in plasma membrane PtdIns (4, 5) P2 concentration monitored in living cells","TP Stauffer, S Ahn, T Meyer","Current Biology 8 (6), 343-346",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8995070339665304398,692,1998
"PI (3, 4, 5) P3 and PI (4, 5) P2 lipids target proteins with polybasic clusters to the plasma membrane","W Do Heo, T Inoue, WS Park, ML Kim, BO Park, TJ Wandless, T Meyer","Science 314 (5804), 1458-1461","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10592980331546726442,1335302906198840475",679,2006
Dynamic control of CaMKII translocation and localization in hippocampal neurons by NMDA receptor stimulation,"K Shen, T Meyer","Science 284 (5411), 162-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8148732047360442862,679,1999
Calmodulin trapping by calcium-calmodulin-dependent protein kinase,"T Meyer, PI Hanson, L Stryer, H Schulman","Science 256 (5060), 1199-1202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13649262832068783093,620,1992
STIM2 is a feedback regulator that stabilizes basal cytosolic and endoplasmic reticulum Ca2+ levels,"O Brandman, J Liou, WS Park, T Meyer","Cell 131 (7), 1327-1339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5739018609240506371,612,2007
Live-cell imaging reveals sequential oligomerization and local plasma membrane targeting of stromal interaction molecule 1 after Ca2+ store depletion,"J Liou, M Fivaz, T Inoue, T Meyer","Proceedings of the National Academy of Sciences 104 (22), 9301-9306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1039104178158574293,561,2007
"Localized biphasic changes in phosphatidylinositol-4, 5-bisphosphate at sites of phagocytosis","RJ Botelho, M Teruel, R Dierckman, R Anderson, A Wells, JD York, ...","The Journal of cell biology 151 (7), 1353-1368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10860355778136194469,523,2000
Molecular model for receptor-stimulated calcium spiking,"T Meyer, L Stryer","Proceedings of the National Academy of Sciences 85 (14), 5051-5055",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13249708146031948876,471,1988
Dual role of calmodulin in autophosphorylation of multifunctional CaM kinase may underlie decoding of calcium signals,"PI Hanson, T Meyer, L Stryer, H Schulman","Neuron 12 (5), 943-956",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8593040465932120512,460,1994
Interlinked fast and slow positive feedback loops drive reliable cell decisions,"O Brandman, JE Ferrell, R Li, T Meyer","Science 310 (5747), 496-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7771747503528393771,454,2005
"Rapid chemically induced changes of PtdIns (4, 5) P2 gate KCNQ ion channels","BC Suh, T Inoue, T Meyer, B Hille","Science 314 (5804), 1454-1457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15395809283502351870,435,2006
A genome-wide siRNA screen reveals diverse cellular processes and pathways that mediate genome stability,"RD Paulsen, DV Soni, R Wollman, AT Hahn, MC Yee, A Guan, JA Hesley, ...","Molecular cell 35 (2), 228-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7129624256746946027,411,2009
Calcium spiking,"T Meyer, L Stryer","Annual review of biophysics and biophysical chemistry 20 (1), 153-174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16192756703808601875,408,1991
Estrogen-induced activation of mitogen-activated protein kinase requires mobilization of intracellular calcium,"T Improta-Brears, AR Whorton, F Codazzi, JD York, T Meyer, ...","Proceedings of the National Academy of Sciences 96 (8), 4686-4691",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2288245772821528788,386,1999
Feedback loops shape cellular signals in space and time,"O Brandman, T Meyer","Science 322 (5900), 390-395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2351952344882927442,382,2008
CaMKIIβ functions as an F-actin targeting module that localizes CaMKIIα/β heterooligomers to dendritic spines,"K Shen, MN Teruel, K Subramanian, T Meyer","Neuron 21 (3), 593-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15306799383401484002,358,1998
Green fluorescent protein (GFP)-tagged cysteine-rich domains from protein kinase C as fluorescent indicators for diacylglycerol signaling in living cells,"E Oancea, MN Teruel, AFG Quest, T Meyer","The Journal of cell biology 140 (3), 485-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13370220722612956705,355,1998
Spatial sensing in fibroblasts mediated by 3′ phosphoinositides,"JM Haugh, F Codazzi, M Teruel, T Meyer","The Journal of cell biology 151 (6), 1269-1280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9900558180178653549,346,2000
Selective regulation of neurite extension and synapse formation by the β but not the α isoform of CaMKII,"CC Fink, KU Bayer, JW Myers, JE Ferrell Jr, H Schulman, T Meyer","Neuron 39 (2), 283-297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1058886130680796765,340,2003
