Title,Authors,Platform,Cited_url,Cited_count,Year
Neural population dynamics during reaching,"MM Churchland, JP Cunningham, MT Kaufman, JD Foster, P Nuyujukian, ...","Nature 487 (7405), 51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8014364509039595385,773,2012
Stimulus onset quenches neural variability: a widespread cortical phenomenon,"MM Churchland, MY Byron, JP Cunningham, LP Sugrue, MR Cohen, ...","Nature neuroscience 13 (3), 369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5164929508757710403,718,2010
A high-performance brain–computer interface,"G Santhanam, SI Ryu, MY Byron, A Afshar, KV Shenoy","nature 442 (7099), 195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1895346262043421400,691,2006
Context-dependent computation by recurrent dynamics in prefrontal cortex,"V Mante, D Sussillo, KV Shenoy, WT Newsome","nature 503 (7474), 78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12846888445613473165,658,2013
An optogenetic toolbox designed for primates,"I Diester, MT Kaufman, M Mogri, R Pashaie, W Goo, O Yizhar, ...","Nature neuroscience 14 (3), 387",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6513134354497068737,403,2011
Gaussian-process factor analysis for low-dimensional single-trial analysis of neural population activity,"MY Byron, JP Cunningham, G Santhanam, SI Ryu, KV Shenoy, M Sahani","Advances in neural information processing systems, 1881-1888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1508301678433031860,385,2009
A high-performance neural prosthesis enabled by control algorithm design,"V Gilja, P Nuyujukian, CA Chestek, JP Cunningham, MY Byron, JM Fan, ...","Nature neuroscience 15 (12), 1752",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16332129096392223000,360,2012
Cortical control of arm movements: a dynamical systems perspective,"KV Shenoy, M Sahani, MM Churchland","Annual review of neuroscience 36, 337-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10141980032914769487,350,2013
Neural variability in premotor cortex provides a signature of motor preparation,"MM Churchland, MY Byron, SI Ryu, G Santhanam, KV Shenoy","Journal of Neuroscience 26 (14), 3697-3712",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11636274709812559928,342,2006
A central source of movement variability,"MM Churchland, A Afshar, KV Shenoy","Neuron 52 (6), 1085-1096",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5435553373919621074,327,2006
Cortical activity in the null space: permitting preparation without movement,"MT Kaufman, MM Churchland, SI Ryu, KV Shenoy","Nature neuroscience 17 (3), 440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1504630999937148575,261,2014
Mechanisms of heading perception in primate visual cortex,"DC Bradley, M Maxwell, RA Andersen, MS Banks, KV Shenoy","Science 273 (5281), 1544-1547","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=497877545455347295,9502485287713493493",260,1996
Cortical preparatory activity: representation of movement or first cog in a dynamical machine?,"MM Churchland, JP Cunningham, MT Kaufman, SI Ryu, KV Shenoy","Neuron 68 (3), 387-400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9410055069328797721,249,2010
Wireless neural recording with single low-power integrated circuit,"RR Harrison, RJ Kier, CA Chestek, V Gilja, P Nuyujukian, S Ryu, B Greger, ...",IEEE transactions on neural systems and rehabilitation engineering 17 (4 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16180587253301036004,247,2009
Neural prosthetic control signals from plan activity,"KV Shenoy, D Meeker, S Cao, SA Kureshi, B Pesaran, CA Buneo, ...","Neuroreport 14 (4), 591-596",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7454275330440275222,233,2003
Long-term stability of neural prosthetic control signals from silicon cortical arrays in rhesus macaque motor cortex,"CA Chestek, V Gilja, P Nuyujukian, JD Foster, JM Fan, MT Kaufman, ...","Journal of neural engineering 8 (4), 045005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17895259556894845223,218,2011
Preparatory activity in premotor and motor cortex reflects the speed of the upcoming reach,"MM Churchland, G Santhanam, KV Shenoy","Journal of neurophysiology 96 (6), 3130-3146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10646566860670608780,212,2006
Temporal complexity and heterogeneity of single-neuron activity in premotor and motor cortex,"MM Churchland, KV Shenoy","Journal of neurophysiology 97 (6), 4235-4257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9949487407267702914,204,2007
A neural network that finds a naturalistic solution for the production of muscle activity,"D Sussillo, MM Churchland, MT Kaufman, KV Shenoy","Nature neuroscience 18 (7), 1025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14591553082443212807,170,2015
HermesE: A 96-Channel Full Data Rate Direct Neural Interface in 0.13,"H Gao, RM Walker, P Nuyujukian, KAA Makinwa, KV Shenoy, B Murmann, ...","IEEE Journal of Solid-State Circuits 47 (4), 1043-1055",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11990678163346149799,167,2012
Power feasibility of implantable digital spike sorting circuits for neural prosthetic systems,"ZS Zumsteg, C Kemere, S O'Driscoll, G Santhanam, RE Ahmed, ...",IEEE Transactions on Neural Systems and Rehabilitation Engineering 13 (3 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4731931274597905254,167,2005
Visual self-motion perception during head turns,"JA Crowell, MS Banks, KV Shenoy, RA Andersen","Nature neuroscience 1 (8), 732",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9046737534290058954,164,1998
Clinical translation of a high-performance neural prosthesis,"V Gilja, C Pandarinath, CH Blabe, P Nuyujukian, JD Simeral, AA Sarma, ...","Nature medicine 21 (10), 1142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2564570063116006482,160,2015
Challenges and opportunities for next-generation intracortically based neural prostheses,"V Gilja, CA Chestek, I Diester, JM Henderson, K Deisseroth, KV Shenoy","IEEE Transactions on Biomedical Engineering 58 (7), 1891-1899",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7925657877028946172,159,2011
HermesD: A high-rate long-range wireless transmission system for simultaneous multichannel neural recording applications,"H Miranda, V Gilja, CA Chestek, KV Shenoy, TH Meng","IEEE Transactions on Biomedical Circuits and Systems 4 (3), 181-191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4006587825600524737,157,2010
Techniques for extracting single-trial activity patterns from large-scale neural recordings,"MM Churchland, MY Byron, M Sahani, KV Shenoy","Current opinion in neurobiology 17 (5), 609-618",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16320975721743846179,155,2007
Mixture of trajectory models for neural decoding of goal-directed movements,"BM Yu, C Kemere, G Santhanam, A Afshar, SI Ryu, TH Meng, M Sahani, ...","Journal of neurophysiology 97 (5), 3763-3780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3746824809017631335,154,2007
Empirical models of spiking in neural populations,"JH Macke, L Buesing, JP Cunningham, MY Byron, KV Shenoy, M Sahani","Advances in neural information processing systems, 1350-1358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11789815298086937420,149,2011
Single-trial neural correlates of arm movement preparation,"A Afshar, G Santhanam, MY Byron, SI Ryu, M Sahani, KV Shenoy","Neuron 71 (3), 555-564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8535616859040682240,141,2011
HermesB: a continuous neural recording system for freely behaving primates,"G Santhanam, MD Linderman, V Gilja, A Afshar, SI Ryu, TH Meng, ...","IEEE Transactions on Biomedical Engineering 54 (11), 2037-2050",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=563641060223089365,138,2007
A closed-loop human simulator for investigating the role of feedback control in brain-machine interfaces,"JP Cunningham, P Nuyujukian, V Gilja, CA Chestek, SI Ryu, KV Shenoy","Journal of neurophysiology 105 (4), 1932-1949",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7070365807877640311,137,2010
Detecting neural-state transitions using hidden Markov models for motor cortical prostheses,"C Kemere, G Santhanam, BM Yu, A Afshar, SI Ryu, TH Meng, KV Shenoy","Journal of neurophysiology 100 (4), 2441-2452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6074274838810777981,131,2008
HermesC: low-power wireless neural recording system for freely moving primates,"CA Chestek, V Gilja, P Nuyujukian, RJ Kier, F Solzbacher, SI Ryu, ...",IEEE Transactions on Neural Systems and Rehabilitation Engineering 17 (4 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9082347875139576093,126,2009
Virtual typing by people with tetraplegia using a self-calibrating intracortical brain-computer interface,"B Jarosiewicz, AA Sarma, D Bacher, NY Masse, JD Simeral, B Sorice, ...","Science translational medicine 7 (313), 313ra179-313ra179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17881859419959375199,123,2015
Single-neuron stability during repeated reaching in macaque premotor cortex,"CA Chestek, AP Batista, G Santhanam, MY Byron, A Afshar, ...","Journal of Neuroscience 27 (40), 10742-10750",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12126555993790426589,123,2007
Reference frames for reach planning in macaque dorsal premotor cortex,"AP Batista, G Santhanam, BM Yu, SI Ryu, A Afshar, KV Shenoy","Journal of neurophysiology 98 (2), 966-983",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14930152272296467710,123,2007
A recurrent neural network for closed-loop intracortical brain–machine interface decoders,"D Sussillo, P Nuyujukian, JM Fan, JC Kao, SD Stavisky, S Ryu, K Shenoy","Journal of neural engineering 9 (2), 026027",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=151717727808994710,121,2012
High performance communication by people with paralysis using an intracortical brain-computer interface,"C Pandarinath, P Nuyujukian, CH Blabe, BL Sorice, J Saab, FR Willett, ...","Elife 6, e18554",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10201823677528242259,112,2017
Influence of gaze rotation on the visual response of primate MSTd neurons,"KV Shenoy, DC Bradley, RA Andersen","Journal of Neurophysiology 81 (6), 2764-2786",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2836610624769439186,107,1999
Delay of movement caused by disruption of cortical preparatory activity,"MM Churchland, KV Shenoy","Journal of neurophysiology 97 (1), 348-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5590548395609474801,105,2007
Human cortical prostheses: lost in translation?,"SI Ryu, KV Shenoy","Neurosurgical focus 27 (1), E5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10540830944072873344,101,2009
Model-based neural decoding of reaching movements: a maximum likelihood approach,"C Kemere, KV Shenoy, TH Meng","IEEE Transactions on Biomedical Engineering 51 (6), 925-932",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8466713691516768274,96,2004
Single-trial dynamics of motor cortex and their applications to brain-machine interfaces,"JC Kao, P Nuyujukian, SI Ryu, MM Churchland, JP Cunningham, ...","Nature communications 6, 7759",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11835790299651909297,93,2015
Combining decoder design and neural adaptation in brain-machine interfaces,"KV Shenoy, JM Carmena","Neuron 84 (4), 665-680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6100841764710581384,91,2014
Inferring single-trial neural population dynamics using sequential auto-encoders,"C Pandarinath, DJ O’Shea, J Collins, R Jozefowicz, SD Stavisky, JC Kao, ...","Nature methods, 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9466276572520659234,87,2018
Inferring neural firing rates from spike trains using Gaussian processes,"JP Cunningham, MY Byron, KV Shenoy, M Sahani","Advances in neural information processing systems, 329-336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15646815522348580641,87,2008
Neural dynamics of reaching following incorrect or absent motor preparation,"KC Ames, SI Ryu, KV Shenoy","Neuron 81 (2), 438-451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6809961985105636050,86,2014
Fast Gaussian process methods for point process intensity estimation,"JP Cunningham, KV Shenoy, M Sahani","Proceedings of the 25th international conference on Machine learning, 192-199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=144041956764713643,85,2008
Roles of monkey premotor neuron classes in movement preparation and execution,"MT Kaufman, MM Churchland, G Santhanam, BM Yu, A Afshar, SI Ryu, ...","Journal of neurophysiology 104 (2), 799-810",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2240654389196084312,82,2010
"Methods for estimating neural firing rates, and their application to brain–machine interfaces","JP Cunningham, V Gilja, SI Ryu, KV Shenoy","Neural Networks 22 (9), 1235-1246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3560573883195001435,81,2009
Signal processing challenges for neural prostheses,"MD Linderman, G Santhanam, CT Kemere, V Gilja, S O'Driscoll, MY Byron, ...","IEEE Signal Processing Magazine 25 (1), 18-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9424138021309032998,81,2007
"Vacillation, indecision and hesitation in moment-by-moment decoding of monkey motor cortex","MT Kaufman, MM Churchland, SI Ryu, KV Shenoy","Elife 4, e04677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=185555608895915022,80,2015
A coaxial optrode as multifunction write-read probe for optogenetic studies in non-human primates,"I Ozden, J Wang, Y Lu, T May, J Lee, W Goo, DJ O'Shea, P Kalanithi, ...","Journal of neuroscience methods 219 (1), 142-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6708320188217205178,80,2013
Hand posture classification using electrocorticography signals in the gamma band over human sensorimotor brain areas,"CA Chestek, V Gilja, CH Blabe, BL Foster, KV Shenoy, J Parvizi, ...","Journal of neural engineering 10 (2), 026002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3086176700136897603,80,2013
Free-paced high-performance brain–computer interfaces,"N Achtman, A Afshar, G Santhanam, MY Byron, SI Ryu, KV Shenoy","Journal of neural engineering 4 (3), 336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13889147573191708993,80,2007
Extracting dynamical structure embedded in neural activity,"MY Byron, A Afshar, G Santhanam, SI Ryu, KV Shenoy, M Sahani","Advances in neural information processing systems, 1545-1552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6725371102501148141,80,2006
Optogenetics: 10 years after ChR2 in neurons—views from the community,"A Adamantidis, S Arber, JS Bains, E Bamberg, A Bonci, G Buzsáki, ...","Nature neuroscience 18 (9), 1202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3032349357367719519,72,2015
Factor-analysis methods for higher-performance neural prostheses,"G Santhanam, BM Yu, V Gilja, SI Ryu, A Afshar, M Sahani, KV Shenoy","Journal of neurophysiology 102 (2), 1315-1330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13589793049380220922,70,2009
Validation of adaptive threshold spike detector for neural recording,"PT Watkins, G Santhanam, KV Shenoy, RR Harrison",The 26th Annual International Conference of the IEEE Engineering in Medicine …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14176346640760509241,69,2004
The contributions of vestibular signals to the representations of space in the posterior parietal cortex,"RA Andersen, KV Shenoy, LH Snyder, DC Bradley, JA Crowell","Annals of the New York Academy of Sciences 871 (1), 282-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4628338608009642125,68,1999
Pursuit speed compensation in cortical area MSTd,"KV Shenoy, JA Crowell, RA Andersen","Journal of Neurophysiology 88 (5), 2630-2647",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=25873077027872714,64,2002
A dynamical systems view of motor preparation: implications for neural prosthetic system design,"KV Shenoy, MT Kaufman, M Sahani, MM Churchland","Progress in brain research 192, 33-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17695117242301932623,63,2011
Brain-Computer Interfaces [from the guest editors],"P Sajda, KR Muller, KV Shenoy","IEEE Signal Processing Magazine 25 (1), 16-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17858577821633286036,59,2007
Response of MSTd neurons to simulated 3D orientation of rotating planes,"H Sugihara, I Murakami, KV Shenoy, RA Andersen, H Komatsu","Journal of Neurophysiology 87 (1), 273-285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8246355907140254577,58,2002
Assessment of brain–machine interfaces from the perspective of people with paralysis,"CH Blabe, V Gilja, CA Chestek, KV Shenoy, KD Anderson, JM Henderson","Journal of neural engineering 12 (4), 043002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=631104170801604780,56,2015
A high performing brain–machine interface driven by low-frequency local field potentials alone and together with spikes,"SD Stavisky, JC Kao, P Nuyujukian, SI Ryu, KV Shenoy","Journal of neural engineering 12 (3), 036009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6199800164212162486,56,2015
Intention estimation in brain–machine interfaces,"JM Fan, P Nuyujukian, JC Kao, CA Chestek, SI Ryu, KV Shenoy","Journal of neural engineering 11 (1), 016004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9956509201027634239,56,2014
An extensible infrastructure for fully automated spike sorting during online experiments,"G Santhanam, M Sahani, SI Ryu, KV Shenoy",The 26th Annual International Conference of the IEEE Engineering in Medicine …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14881132567043227245,56,2004
Information systems opportunities in brain–machine interface decoders,"JC Kao, SD Stavisky, D Sussillo, P Nuyujukian, KV Shenoy","Proceedings of the IEEE 102 (5), 666-682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16037961172172088648,52,2014
Making brain–machine interfaces robust to future neural variability,"D Sussillo, SD Stavisky, JC Kao, SI Ryu, KV Shenoy","Nature communications 7, 13749",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12389661506977743406,51,2016
Adaptive resolution ADC array for an implantable neural sensor,"S O'Driscoll, KV Shenoy, TH Meng","IEEE Transactions on biomedical circuits and systems 5 (2), 120-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3840010885402524802,48,2011
Neural prosthetic systems: current problems and future directions,"CA Chestek, JP Cunningham, V Gilja, P Nuyujukian, SI Ryu, KV Shenoy",2009 Annual International Conference of the IEEE Engineering in Medicine and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16653964091339622492,48,2009
The largest response component in the motor cortex reflects movement timing but not movement type,"MT Kaufman, JS Seely, D Sussillo, SI Ryu, KV Shenoy, MM Churchland",ENeuro 3 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7899983453106513050,45,2016
Unsupervised feature learning via sparse hierarchical representations,H Lee,Stanford University,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17817464495239422139,45,2010
Cognitive state machine for prosthetic systems,"RA Andersen, B Pesaran, P Mitra, D Meeker, KV Shenoy, S Cao, ...","US Patent 6,952,687","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6766943571479725111,11449860264152182053",45,2005
Local field potential measurement with low-power analog integrated circuit,"RR Harrison, G Santhanam, KV Shenoy",The 26th Annual International Conference of the IEEE Engineering in Medicine …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1496966135302124920,43,2004
A high-performance keyboard neural prosthesis enabled by task optimization,"P Nuyujukian, JM Fan, JC Kao, SI Ryu, KV Shenoy","IEEE Transactions on Biomedical Engineering 62 (1), 21-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2628598925414903773,41,2014
A freely-moving monkey treadmill model,"JD Foster, P Nuyujukian, O Freifeld, H Gao, R Walker, SI Ryu, TH Meng, ...","Journal of neural engineering 11 (4), 046020",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5696175917610642581,40,2014
