Title,Authors,Platform,Cited_url,Cited_count,Year
Logical foundations of artificial intelligence,"MR Genesereth, NJ Nilsson",Morgan Kaufmann,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14387619173937118120,3003,2012
Software Agents Michael R. Genesereth Logic Group Computer Science Department Stanford University,MR Genesereth,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13111700685072211584,2180,1994
Knowledge interchange format-version 3.0: reference manual,"MR Genesereth, RE Fikes","Computer Science Department, Stanford University",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8688909853237581053,1378,1992
PACT: An experiment in integrating concurrent engineering systems,"MR Cutkosky, RS Engelmore, RE Fikes, MR Genesereth, TR Gruber, ...","Computer 26 (1), 28-37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9838928279545244971,896,1993
The use of design descriptions in automated diagnosis,MR Genesereth,"Artificial Intelligence 24 (1-3), 411-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1990201306229854018,814,1984
Knowledge interchange format,MR Genesereth,Proceedings of the Second International Conference on Principles of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3334365636073943567,574,1991
Infomaster: An information integration system,"MR Genesereth, AM Keller, OM Duschka","ACM SIGMOD Record 26 (2), 539-542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16288574500030886084,568,1997
General game playing: Overview of the AAAI competition,"M Genesereth, N Love, B Pell","AI magazine 26 (2), 62-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1966224098763075103,566,2005
The conceptual basis for mediation services,"G Wiederhold, M Genesereth","IEEE Expert 12 (5), 38-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6135650284266914228,441,1997
Deals among rational agents,"JS Rosenschein, MR Genesereth","Readings in Distributed Artificial Intelligence, 227-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14404632712131586983,402,1988
Answering recursive queries using views,"OM Duschka, MR Genesereth","PODS 97, 109-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1433829062655419109,391,1997
Cooperation without communication,"MR Genesereth, ML Ginsberg, JS Rosenschein","Readings in distributed artificial Intelligence, 220-226",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3902411662342666810,314,1988
General game playing: Game description language specification,"N Love, T Hinrichs, D Haley, E Schkufza, M Genesereth",Stanford Logic Group Computer Science Department Stanford University …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16161558628607454849,286,2008
Recursive query plans for data integration,"OM Duschka, MR Genesereth, AY Levy","The Journal of Logic Programming 43 (1), 49-73",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7758831611476452743,230,2000
"Knowledge interchange format, version 3.0","MR Genesereth, RE Fikes",Reference Manual,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5316443108292173602,209,1992
Diagnosis Using Ilierarchical Design Models,MR Genesereth,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1937980073592642073,188,1982
Draft specification of the KQML agent-communication language,"T Finin, J Weber, G Wiederhold, M Genesereth, R Fritzson, D McKay, ...",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16344691772920272138,173,1993
Query planning in infomaster,"OM Duschka, MR Genesereth","SAC 97, 109-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16768505389542951893,154,1997
