Title,Authors,Platform,Cited_url,Cited_count,Year
A review of micropumps,"DJ Laser, JG Santiago","Journal of micromechanics and microengineering 14 (6), R35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2363192903731764385,2103,2004
The MEMS handbook,M Gad-el-Hak,CRC press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4734755287753855229,9848095883552630715,4553311660439713134",1575,2001
A particle image velocimetry system for microfluidics,"JG Santiago, ST Wereley, CD Meinhart, DJ Beebe, RJ Adrian","Experiments in fluids 25 (4), 316-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2917978494322875868,1510,1998
Passive mixing in a three-dimensional serpentine microchannel,"RH Liu, MA Stremler, KV Sharp, MG Olsen, JG Santiago, RJ Adrian, ...","Journal of Microelectromechanical Systems 9 (2), 190-197","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10554565631716571089,4875806904851678516,12778495743834223573",1454,2000
PIV measurements of a microchannel flow,"CD Meinhart, ST Wereley, JG Santiago","Experiments in fluids 27 (5), 414-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=747135391963669855,1078,1999
Electrokinetic instability micromixing,"MH Oddy, JG Santiago, JC Mikkelsen","Analytical chemistry 73 (24), 5822-5832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1910766804184002345,800,2001
A PIV algorithm for estimating time-averaged velocity fields,"CD Meinhart, ST Wereley, JG Santiago","Journal of Fluids Engineering 122 (2), 285-289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7882091182250004234,594,2000
Fabrication and characterization of electroosmotic micropumps,"S Zeng, CH Chen, JC Mikkelsen Jr, JG Santiago","Sensors and Actuators B: Chemical 79 (2-3), 107-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11756870460617290851,570,2001
Electroosmotic capillary flow with nonuniform zeta potential,"AE Herr, JI Molho, JG Santiago, MG Mungal, TW Kenny, MG Garguilo","Analytical Chemistry 72 (5), 1053-1057",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10688840374458845913,459,2000
Measurements and modeling of two-phase flow in microchannels with nearly constant heat flux boundary conditions,"L Zhang, JM Koo, L Jiang, M Asheghi, KE Goodson, JG Santiago, ...","Journal of microelectromechanical systems 11 (1), 12-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6531213582813786184,363,2002
